Mon Jul 29 09:33:20 2024
Group	Group
	diff	lwr	upr	p adj
MDB-MDC	37.8	-49.918842448467	125.518842448467	0.882346154014254
HDC-MDC	48.4000000000001	-39.3188424484668	136.118842448467	0.669726449298934
HDA-MDC	63.4	-24.318842448467	151.118842448467	0.323402140146061
HDB-MDC	63.6	-24.1188424484669	151.318842448467	0.319474853976879
MDA-MDC	75.8000000000001	-11.9188424484669	163.518842448467	0.13626768397789
NCB-MDC	152.2	64.4811575515331	239.918842448467	5.31196104147647e-05
NCC-MDC	173.6	85.8811575515331	261.318842448467	4.64148269052611e-06
NCA-MDC	181.4	93.6811575515332	269.118842448467	1.91685312844747e-06
HDC-MDB	10.6000000000001	-77.1188424484668	98.3188424484671	0.999977118110209
HDA-MDB	25.6	-62.1188424484669	113.318842448467	0.987035621584997
HDB-MDB	25.8000000000001	-61.9188424484669	113.518842448467	0.986379599278021
MDA-MDB	38.0000000000001	-49.7188424484668	125.718842448467	0.879315078852714
NCB-MDB	114.4	26.6811575515332	202.118842448467	0.00354738088401318
NCC-MDB	135.8	48.0811575515331	223.518842448467	0.000339647335936388
NCA-MDB	143.6	55.8811575515332	231.318842448467	0.000141022526784718
HDA-HDC	14.9999999999999	-72.718842448467	102.718842448467	0.99968450282948
HDB-HDC	15.1999999999999	-72.518842448467	102.918842448467	0.999652086991061
MDA-HDC	27.4	-60.318842448467	115.118842448467	0.98017390750424
NCB-HDC	103.8	16.081157551533	191.518842448467	0.0106749911921213
NCC-HDC	125.2	37.481157551533	212.918842448467	0.0011025859666477
NCA-HDC	133	45.2811575515331	220.718842448467	0.000464607717444609
HDB-HDA	0.200000000000045	-87.5188424484669	87.918842448467	1
MDA-HDA	12.4000000000001	-75.3188424484668	100.118842448467	0.999924191328669
NCB-HDA	88.8000000000001	1.08115755153314	176.518842448467	0.0453455921945316
NCC-HDA	110.2	22.4811575515331	197.918842448467	0.00552351166559029
NCA-HDA	118	30.2811575515332	205.718842448467	0.00241342754768414
MDA-HDB	12.2	-75.5188424484669	99.918842448467	0.999932988422767
NCB-HDB	88.6	0.881157551533093	176.318842448467	0.0461761683652471
NCC-HDB	110	22.2811575515331	197.718842448467	0.0056401325097416
NCA-HDB	117.8	30.0811575515331	205.518842448467	0.00246593333990952
NCB-MDA	76.4	-11.318842448467	164.118842448467	0.130031049790983
NCC-MDA	97.8	10.081157551533	185.518842448467	0.019393774325172
NCA-MDA	105.6	17.8811575515331	193.318842448467	0.00888808499404337
NCC-NCB	21.4	-66.318842448467	109.118842448467	0.996022828591879
