bray_curtis	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	0.577	0.604	0.607	0.581	0.603	0.624	0.582	0.628	0.447	0.569	0.512	0.561	0.560	0.548	0.590	0.673	0.641	0.711	0.920	0.707	0.922	0.607	0.577	0.547	0.636	0.645	0.595	0.574	0.604	0.752	0.765	0.785	0.777	0.794	0.783	0.780	0.757	0.767	0.719	0.725	0.772	0.762	0.791	0.758
HD10	0.577	0	0.506	0.535	0.554	0.458	0.526	0.527	0.601	0.477	0.607	0.404	0.400	0.559	0.365	0.645	0.528	0.547	0.656	0.919	0.600	0.923	0.526	0.508	0.414	0.411	0.552	0.500	0.603	0.518	0.723	0.763	0.758	0.770	0.779	0.725	0.743	0.728	0.726	0.720	0.696	0.780	0.735	0.798	0.737
HD11	0.604	0.506	0	0.326	0.336	0.384	0.400	0.670	0.683	0.514	0.743	0.489	0.486	0.501	0.477	0.646	0.645	0.532	0.561	0.917	0.570	0.923	0.581	0.560	0.549	0.598	0.666	0.526	0.451	0.507	0.779	0.761	0.732	0.735	0.745	0.749	0.755	0.787	0.783	0.747	0.751	0.771	0.771	0.821	0.773
HD12	0.607	0.535	0.326	0	0.418	0.352	0.397	0.651	0.661	0.536	0.730	0.484	0.527	0.539	0.564	0.611	0.645	0.530	0.529	0.889	0.590	0.897	0.566	0.553	0.543	0.623	0.609	0.460	0.554	0.569	0.734	0.746	0.723	0.693	0.733	0.775	0.734	0.769	0.741	0.708	0.723	0.761	0.751	0.814	0.750
HD13	0.581	0.554	0.336	0.418	0	0.440	0.363	0.675	0.698	0.551	0.734	0.525	0.491	0.379	0.460	0.661	0.664	0.558	0.552	0.936	0.581	0.939	0.563	0.554	0.539	0.634	0.712	0.554	0.524	0.461	0.788	0.760	0.771	0.764	0.787	0.762	0.778	0.829	0.802	0.729	0.762	0.794	0.807	0.866	0.798
HD14	0.603	0.458	0.384	0.352	0.440	0	0.368	0.535	0.690	0.547	0.622	0.483	0.506	0.543	0.471	0.674	0.652	0.538	0.585	0.906	0.597	0.917	0.559	0.568	0.517	0.481	0.628	0.537	0.581	0.559	0.763	0.763	0.748	0.738	0.753	0.729	0.757	0.787	0.769	0.727	0.746	0.779	0.765	0.829	0.758
HD15	0.624	0.526	0.400	0.397	0.363	0.368	0	0.665	0.681	0.579	0.731	0.541	0.500	0.487	0.503	0.695	0.675	0.601	0.550	0.926	0.600	0.935	0.559	0.563	0.521	0.624	0.668	0.570	0.597	0.553	0.783	0.753	0.765	0.764	0.783	0.785	0.766	0.811	0.794	0.727	0.755	0.792	0.777	0.846	0.771
HD2	0.582	0.527	0.670	0.651	0.675	0.535	0.665	0	0.642	0.563	0.290	0.592	0.587	0.668	0.606	0.659	0.678	0.660	0.724	0.919	0.696	0.918	0.630	0.597	0.567	0.406	0.664	0.638	0.666	0.668	0.713	0.753	0.787	0.793	0.812	0.753	0.769	0.715	0.742	0.691	0.684	0.786	0.748	0.783	0.739
HD3	0.628	0.601	0.683	0.661	0.698	0.690	0.681	0.642	0	0.479	0.639	0.558	0.576	0.606	0.678	0.432	0.533	0.593	0.711	0.916	0.666	0.920	0.571	0.522	0.478	0.669	0.552	0.564	0.736	0.602	0.547	0.712	0.738	0.695	0.784	0.789	0.704	0.639	0.541	0.646	0.622	0.756	0.694	0.737	0.704
HD4	0.447	0.477	0.514	0.536	0.551	0.547	0.579	0.563	0.479	0	0.605	0.389	0.466	0.516	0.487	0.519	0.534	0.531	0.670	0.912	0.610	0.915	0.492	0.446	0.390	0.535	0.537	0.472	0.582	0.543	0.620	0.705	0.731	0.710	0.746	0.739	0.698	0.655	0.625	0.655	0.637	0.716	0.666	0.728	0.680
HD5	0.569	0.607	0.743	0.730	0.734	0.622	0.731	0.290	0.639	0.605	0	0.640	0.670	0.719	0.648	0.687	0.720	0.736	0.791	0.932	0.773	0.925	0.653	0.646	0.619	0.478	0.718	0.693	0.732	0.740	0.718	0.786	0.815	0.817	0.839	0.804	0.792	0.738	0.726	0.709	0.716	0.812	0.775	0.796	0.754
HD6	0.512	0.404	0.489	0.484	0.525	0.483	0.541	0.592	0.558	0.389	0.640	0	0.430	0.554	0.480	0.523	0.527	0.531	0.651	0.914	0.637	0.917	0.549	0.512	0.453	0.485	0.489	0.417	0.508	0.542	0.692	0.748	0.759	0.726	0.766	0.747	0.740	0.704	0.667	0.699	0.681	0.742	0.709	0.761	0.709
HD7	0.561	0.400	0.486	0.527	0.491	0.506	0.500	0.587	0.576	0.466	0.670	0.430	0	0.513	0.326	0.622	0.545	0.536	0.610	0.923	0.570	0.920	0.502	0.438	0.432	0.455	0.601	0.505	0.596	0.444	0.712	0.733	0.759	0.763	0.787	0.754	0.748	0.723	0.705	0.687	0.666	0.785	0.724	0.803	0.745
HD8	0.560	0.559	0.501	0.539	0.379	0.543	0.487	0.668	0.606	0.516	0.719	0.554	0.513	0	0.507	0.604	0.598	0.527	0.618	0.929	0.553	0.930	0.513	0.504	0.512	0.664	0.643	0.542	0.552	0.424	0.713	0.681	0.741	0.723	0.773	0.750	0.723	0.775	0.719	0.660	0.687	0.776	0.762	0.834	0.758
HD9	0.548	0.365	0.477	0.564	0.460	0.471	0.503	0.606	0.678	0.487	0.648	0.480	0.326	0.507	0	0.677	0.623	0.532	0.645	0.926	0.576	0.927	0.521	0.524	0.477	0.471	0.642	0.549	0.575	0.483	0.771	0.768	0.772	0.793	0.785	0.747	0.771	0.766	0.760	0.734	0.732	0.791	0.747	0.814	0.759
MD1	0.590	0.645	0.646	0.611	0.661	0.674	0.695	0.659	0.432	0.519	0.687	0.523	0.622	0.604	0.677	0	0.644	0.602	0.763	0.914	0.714	0.922	0.632	0.599	0.557	0.655	0.567	0.572	0.595	0.645	0.661	0.737	0.770	0.735	0.773	0.798	0.753	0.704	0.662	0.686	0.675	0.740	0.709	0.712	0.694
MD10	0.673	0.528	0.645	0.645	0.664	0.652	0.675	0.678	0.533	0.534	0.720	0.527	0.545	0.598	0.623	0.644	0	0.546	0.536	0.920	0.576	0.927	0.410	0.416	0.509	0.537	0.495	0.358	0.642	0.447	0.572	0.680	0.729	0.697	0.786	0.752	0.611	0.658	0.557	0.658	0.632	0.772	0.714	0.769	0.743
MD11	0.641	0.547	0.532	0.530	0.558	0.538	0.601	0.660	0.593	0.531	0.736	0.531	0.536	0.527	0.532	0.602	0.546	0	0.583	0.897	0.417	0.908	0.571	0.564	0.530	0.634	0.546	0.471	0.610	0.484	0.694	0.739	0.702	0.681	0.742	0.734	0.689	0.739	0.705	0.710	0.695	0.767	0.742	0.781	0.741
MD12	0.711	0.656	0.561	0.529	0.552	0.585	0.550	0.724	0.711	0.670	0.791	0.651	0.610	0.618	0.645	0.763	0.536	0.583	0	0.895	0.453	0.910	0.510	0.511	0.615	0.670	0.714	0.537	0.677	0.494	0.679	0.669	0.742	0.675	0.781	0.734	0.655	0.789	0.702	0.683	0.718	0.805	0.781	0.847	0.782
MD13	0.920	0.919	0.917	0.889	0.936	0.906	0.926	0.919	0.916	0.912	0.932	0.914	0.923	0.929	0.926	0.914	0.920	0.897	0.895	0	0.901	0.350	0.919	0.918	0.918	0.922	0.907	0.910	0.927	0.930	0.896	0.918	0.904	0.907	0.911	0.925	0.910	0.900	0.908	0.905	0.896	0.923	0.900	0.904	0.913
MD14	0.707	0.600	0.570	0.590	0.581	0.597	0.600	0.696	0.666	0.610	0.773	0.637	0.570	0.553	0.576	0.714	0.576	0.417	0.453	0.901	0	0.910	0.562	0.539	0.556	0.653	0.695	0.525	0.693	0.478	0.690	0.707	0.706	0.690	0.749	0.723	0.678	0.758	0.683	0.663	0.675	0.781	0.745	0.817	0.761
MD15	0.922	0.923	0.923	0.897	0.939	0.917	0.935	0.918	0.920	0.915	0.925	0.917	0.920	0.930	0.927	0.922	0.927	0.908	0.910	0.350	0.910	0	0.926	0.918	0.920	0.922	0.911	0.913	0.930	0.934	0.913	0.923	0.909	0.913	0.919	0.924	0.911	0.913	0.913	0.915	0.912	0.920	0.915	0.918	0.919
MD2	0.607	0.526	0.581	0.566	0.563	0.559	0.559	0.630	0.571	0.492	0.653	0.549	0.502	0.513	0.521	0.632	0.410	0.571	0.510	0.919	0.562	0.926	0	0.305	0.375	0.503	0.609	0.414	0.614	0.432	0.615	0.652	0.738	0.723	0.798	0.780	0.637	0.703	0.623	0.633	0.638	0.765	0.721	0.802	0.724
MD3	0.577	0.508	0.560	0.553	0.554	0.568	0.563	0.597	0.522	0.446	0.646	0.512	0.438	0.504	0.524	0.599	0.416	0.564	0.511	0.918	0.539	0.918	0.305	0	0.321	0.513	0.589	0.441	0.632	0.389	0.595	0.639	0.716	0.702	0.766	0.759	0.619	0.696	0.611	0.610	0.613	0.744	0.691	0.771	0.707
MD4	0.547	0.414	0.549	0.543	0.539	0.517	0.521	0.567	0.478	0.390	0.619	0.453	0.432	0.512	0.477	0.557	0.509	0.530	0.615	0.918	0.556	0.920	0.375	0.321	0	0.479	0.548	0.443	0.611	0.496	0.645	0.677	0.712	0.720	0.772	0.734	0.704	0.688	0.655	0.645	0.631	0.741	0.688	0.772	0.692
MD5	0.636	0.411	0.598	0.623	0.634	0.481	0.624	0.406	0.669	0.535	0.478	0.485	0.455	0.664	0.471	0.655	0.537	0.634	0.670	0.922	0.653	0.922	0.503	0.513	0.479	0	0.602	0.503	0.614	0.607	0.714	0.757	0.766	0.765	0.789	0.713	0.734	0.718	0.710	0.709	0.691	0.785	0.722	0.785	0.736
MD6	0.645	0.552	0.666	0.609	0.712	0.628	0.668	0.664	0.552	0.537	0.718	0.489	0.601	0.643	0.642	0.567	0.495	0.546	0.714	0.907	0.695	0.911	0.609	0.589	0.548	0.602	0	0.490	0.592	0.638	0.686	0.775	0.782	0.766	0.799	0.785	0.752	0.706	0.674	0.723	0.713	0.771	0.722	0.769	0.745
MD7	0.595	0.500	0.526	0.460	0.554	0.537	0.570	0.638	0.564	0.472	0.693	0.417	0.505	0.542	0.549	0.572	0.358	0.471	0.537	0.910	0.525	0.913	0.414	0.441	0.443	0.503	0.490	0	0.546	0.485	0.632	0.704	0.723	0.671	0.769	0.763	0.661	0.693	0.605	0.654	0.643	0.766	0.719	0.770	0.735
MD8	0.574	0.603	0.451	0.554	0.524	0.581	0.597	0.666	0.736	0.582	0.732	0.508	0.596	0.552	0.575	0.595	0.642	0.610	0.677	0.927	0.693	0.930	0.614	0.632	0.611	0.614	0.592	0.546	0	0.567	0.789	0.791	0.808	0.793	0.808	0.793	0.800	0.799	0.807	0.752	0.777	0.788	0.780	0.831	0.781
MD9	0.604	0.518	0.507	0.569	0.461	0.559	0.553	0.668	0.602	0.543	0.740	0.542	0.444	0.424	0.483	0.645	0.447	0.484	0.494	0.930	0.478	0.934	0.432	0.389	0.496	0.607	0.638	0.485	0.567	0	0.659	0.685	0.750	0.734	0.795	0.752	0.670	0.758	0.678	0.670	0.682	0.790	0.760	0.825	0.767
NC1	0.752	0.723	0.779	0.734	0.788	0.763	0.783	0.713	0.547	0.620	0.718	0.692	0.712	0.713	0.771	0.661	0.572	0.694	0.679	0.896	0.690	0.913	0.615	0.595	0.645	0.714	0.686	0.632	0.789	0.659	0	0.583	0.649	0.590	0.677	0.727	0.536	0.383	0.305	0.425	0.370	0.668	0.577	0.614	0.602
NC10	0.765	0.763	0.761	0.746	0.760	0.763	0.753	0.753	0.712	0.705	0.786	0.748	0.733	0.681	0.768	0.737	0.680	0.739	0.669	0.918	0.707	0.923	0.652	0.639	0.677	0.757	0.775	0.704	0.791	0.685	0.583	0	0.624	0.571	0.649	0.664	0.516	0.656	0.564	0.452	0.572	0.425	0.364	0.590	0.408
NC11	0.785	0.758	0.732	0.723	0.771	0.748	0.765	0.787	0.738	0.731	0.815	0.759	0.759	0.741	0.772	0.770	0.729	0.702	0.742	0.904	0.706	0.909	0.738	0.716	0.712	0.766	0.782	0.723	0.808	0.750	0.649	0.624	0	0.440	0.411	0.573	0.452	0.696	0.646	0.642	0.646	0.613	0.629	0.572	0.632
NC12	0.777	0.770	0.735	0.693	0.764	0.738	0.764	0.793	0.695	0.710	0.817	0.726	0.763	0.723	0.793	0.735	0.697	0.681	0.675	0.907	0.690	0.913	0.723	0.702	0.720	0.765	0.766	0.671	0.793	0.734	0.590	0.571	0.440	0	0.483	0.519	0.366	0.670	0.555	0.598	0.587	0.601	0.607	0.650	0.602
NC13	0.794	0.779	0.745	0.733	0.787	0.753	0.783	0.812	0.784	0.746	0.839	0.766	0.787	0.773	0.785	0.773	0.786	0.742	0.781	0.911	0.749	0.919	0.798	0.766	0.772	0.789	0.799	0.769	0.808	0.795	0.677	0.649	0.411	0.483	0	0.573	0.513	0.678	0.676	0.645	0.650	0.604	0.614	0.617	0.613
NC14	0.783	0.725	0.749	0.775	0.762	0.729	0.785	0.753	0.789	0.739	0.804	0.747	0.754	0.750	0.747	0.798	0.752	0.734	0.734	0.925	0.723	0.924	0.780	0.759	0.734	0.713	0.785	0.763	0.793	0.752	0.727	0.664	0.573	0.519	0.573	0	0.582	0.754	0.726	0.686	0.739	0.710	0.689	0.744	0.669
NC15	0.780	0.743	0.755	0.734	0.778	0.757	0.766	0.769	0.704	0.698	0.792	0.740	0.748	0.723	0.771	0.753	0.611	0.689	0.655	0.910	0.678	0.911	0.637	0.619	0.704	0.734	0.752	0.661	0.800	0.670	0.536	0.516	0.452	0.366	0.513	0.582	0	0.655	0.539	0.567	0.564	0.583	0.577	0.646	0.603
NC2	0.757	0.728	0.787	0.769	0.829	0.787	0.811	0.715	0.639	0.655	0.738	0.704	0.723	0.775	0.766	0.704	0.658	0.739	0.789	0.900	0.758	0.913	0.703	0.696	0.688	0.718	0.706	0.693	0.799	0.758	0.383	0.656	0.696	0.670	0.678	0.754	0.655	0	0.423	0.512	0.368	0.647	0.582	0.558	0.630
NC3	0.767	0.726	0.783	0.741	0.802	0.769	0.794	0.742	0.541	0.625	0.726	0.667	0.705	0.719	0.760	0.662	0.557	0.705	0.702	0.908	0.683	0.913	0.623	0.611	0.655	0.710	0.674	0.605	0.807	0.678	0.305	0.564	0.646	0.555	0.676	0.726	0.539	0.423	0	0.468	0.436	0.629	0.578	0.619	0.591
NC4	0.719	0.720	0.747	0.708	0.729	0.727	0.727	0.691	0.646	0.655	0.709	0.699	0.687	0.660	0.734	0.686	0.658	0.710	0.683	0.905	0.663	0.915	0.633	0.610	0.645	0.709	0.723	0.654	0.752	0.670	0.425	0.452	0.642	0.598	0.645	0.686	0.567	0.512	0.468	0	0.387	0.579	0.526	0.667	0.507
NC5	0.725	0.696	0.751	0.723	0.762	0.746	0.755	0.684	0.622	0.637	0.716	0.681	0.666	0.687	0.732	0.675	0.632	0.695	0.718	0.896	0.675	0.912	0.638	0.613	0.631	0.691	0.713	0.643	0.777	0.682	0.370	0.572	0.646	0.587	0.650	0.739	0.564	0.368	0.436	0.387	0	0.610	0.547	0.572	0.588
NC6	0.772	0.780	0.771	0.761	0.794	0.779	0.792	0.786	0.756	0.716	0.812	0.742	0.785	0.776	0.791	0.740	0.772	0.767	0.805	0.923	0.781	0.920	0.765	0.744	0.741	0.785	0.771	0.766	0.788	0.790	0.668	0.425	0.613	0.601	0.604	0.710	0.583	0.647	0.629	0.579	0.610	0	0.319	0.470	0.385
NC7	0.762	0.735	0.771	0.751	0.807	0.765	0.777	0.748	0.694	0.666	0.775	0.709	0.724	0.762	0.747	0.709	0.714	0.742	0.781	0.900	0.745	0.915	0.721	0.691	0.688	0.722	0.722	0.719	0.780	0.760	0.577	0.364	0.629	0.607	0.614	0.689	0.577	0.582	0.578	0.526	0.547	0.319	0	0.477	0.380
NC8	0.791	0.798	0.821	0.814	0.866	0.829	0.846	0.783	0.737	0.728	0.796	0.761	0.803	0.834	0.814	0.712	0.769	0.781	0.847	0.904	0.817	0.918	0.802	0.771	0.772	0.785	0.769	0.770	0.831	0.825	0.614	0.590	0.572	0.650	0.617	0.744	0.646	0.558	0.619	0.667	0.572	0.470	0.477	0	0.484
NC9	0.758	0.737	0.773	0.750	0.798	0.758	0.771	0.739	0.704	0.680	0.754	0.709	0.745	0.758	0.759	0.694	0.743	0.741	0.782	0.913	0.761	0.919	0.724	0.707	0.692	0.736	0.745	0.735	0.781	0.767	0.602	0.408	0.632	0.602	0.613	0.669	0.603	0.630	0.591	0.507	0.588	0.385	0.380	0.484	0
