unifrac	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	0.387	0.409	0.381	0.425	0.362	0.385	0.340	0.448	0.298	0.334	0.324	0.348	0.400	0.367	0.383	0.420	0.397	0.435	0.724	0.386	0.719	0.360	0.361	0.318	0.383	0.465	0.382	0.352	0.389	0.458	0.431	0.508	0.457	0.484	0.464	0.483	0.488	0.451	0.375	0.386	0.456	0.465	0.582	0.430
HD10	0.387	0	0.349	0.344	0.384	0.258	0.346	0.264	0.406	0.294	0.282	0.259	0.235	0.307	0.210	0.439	0.353	0.291	0.378	0.843	0.373	0.864	0.348	0.335	0.246	0.190	0.394	0.329	0.450	0.321	0.449	0.465	0.547	0.447	0.529	0.384	0.496	0.448	0.449	0.379	0.403	0.506	0.497	0.593	0.386
HD11	0.409	0.349	0	0.186	0.140	0.243	0.218	0.368	0.535	0.323	0.441	0.368	0.326	0.216	0.338	0.459	0.352	0.275	0.157	0.868	0.205	0.880	0.231	0.294	0.344	0.369	0.513	0.336	0.191	0.170	0.447	0.305	0.414	0.351	0.335	0.378	0.369	0.534	0.470	0.260	0.412	0.457	0.503	0.607	0.406
HD12	0.381	0.344	0.186	0	0.256	0.190	0.218	0.352	0.505	0.294	0.426	0.317	0.318	0.244	0.343	0.413	0.317	0.229	0.259	0.815	0.227	0.824	0.260	0.284	0.302	0.366	0.417	0.243	0.295	0.253	0.426	0.323	0.387	0.327	0.329	0.370	0.342	0.525	0.443	0.275	0.396	0.447	0.481	0.592	0.396
HD13	0.425	0.384	0.140	0.256	0	0.276	0.211	0.386	0.595	0.381	0.433	0.419	0.336	0.179	0.297	0.517	0.414	0.344	0.182	0.877	0.229	0.884	0.262	0.329	0.377	0.388	0.583	0.412	0.228	0.159	0.508	0.331	0.474	0.420	0.387	0.398	0.430	0.596	0.535	0.286	0.470	0.493	0.550	0.672	0.433
HD14	0.362	0.258	0.243	0.190	0.276	0	0.179	0.255	0.520	0.298	0.324	0.316	0.207	0.209	0.226	0.427	0.375	0.250	0.273	0.847	0.297	0.858	0.312	0.344	0.301	0.259	0.442	0.304	0.337	0.273	0.456	0.372	0.445	0.351	0.408	0.311	0.424	0.534	0.463	0.299	0.404	0.431	0.473	0.602	0.335
HD15	0.385	0.346	0.218	0.218	0.211	0.179	0	0.348	0.559	0.341	0.414	0.369	0.287	0.195	0.304	0.472	0.376	0.307	0.260	0.878	0.273	0.888	0.289	0.321	0.335	0.347	0.516	0.356	0.301	0.250	0.477	0.337	0.452	0.391	0.377	0.373	0.414	0.564	0.506	0.281	0.438	0.442	0.498	0.640	0.375
HD2	0.340	0.264	0.368	0.352	0.386	0.255	0.348	0	0.423	0.310	0.185	0.332	0.208	0.317	0.253	0.411	0.414	0.335	0.343	0.859	0.385	0.865	0.374	0.380	0.336	0.192	0.475	0.398	0.423	0.339	0.406	0.399	0.514	0.401	0.498	0.373	0.470	0.449	0.433	0.311	0.347	0.449	0.474	0.552	0.340
HD3	0.448	0.406	0.535	0.505	0.595	0.520	0.559	0.423	0	0.282	0.410	0.304	0.447	0.542	0.496	0.250	0.362	0.427	0.538	0.874	0.506	0.879	0.428	0.383	0.335	0.401	0.381	0.353	0.533	0.503	0.306	0.526	0.545	0.497	0.544	0.543	0.493	0.387	0.309	0.445	0.399	0.515	0.468	0.553	0.465
HD4	0.298	0.294	0.323	0.294	0.381	0.298	0.341	0.310	0.282	0	0.357	0.172	0.256	0.331	0.335	0.323	0.247	0.260	0.371	0.869	0.305	0.876	0.237	0.227	0.169	0.262	0.318	0.223	0.344	0.309	0.271	0.357	0.432	0.360	0.411	0.374	0.377	0.375	0.296	0.289	0.291	0.408	0.403	0.510	0.363
HD5	0.334	0.282	0.441	0.426	0.433	0.324	0.414	0.185	0.410	0.357	0	0.361	0.282	0.379	0.255	0.438	0.475	0.393	0.419	0.807	0.453	0.813	0.419	0.409	0.375	0.217	0.498	0.448	0.479	0.401	0.441	0.475	0.589	0.477	0.579	0.429	0.518	0.473	0.449	0.375	0.419	0.523	0.499	0.593	0.391
HD6	0.324	0.259	0.368	0.317	0.419	0.316	0.369	0.332	0.304	0.172	0.361	0	0.258	0.380	0.347	0.323	0.259	0.277	0.391	0.825	0.350	0.843	0.328	0.298	0.223	0.276	0.308	0.217	0.374	0.358	0.334	0.409	0.462	0.370	0.445	0.418	0.415	0.389	0.312	0.326	0.317	0.425	0.419	0.530	0.372
HD7	0.348	0.235	0.326	0.318	0.336	0.207	0.287	0.208	0.447	0.256	0.282	0.258	0	0.246	0.183	0.389	0.341	0.283	0.314	0.853	0.325	0.863	0.298	0.283	0.236	0.176	0.433	0.312	0.368	0.260	0.409	0.372	0.490	0.388	0.460	0.334	0.442	0.463	0.412	0.273	0.336	0.437	0.446	0.569	0.336
HD8	0.400	0.307	0.216	0.244	0.179	0.209	0.195	0.317	0.542	0.331	0.379	0.380	0.246	0	0.253	0.445	0.351	0.313	0.232	0.883	0.259	0.890	0.234	0.274	0.314	0.306	0.515	0.356	0.268	0.179	0.473	0.271	0.435	0.376	0.358	0.339	0.400	0.547	0.483	0.239	0.407	0.441	0.486	0.625	0.356
HD9	0.367	0.210	0.338	0.343	0.297	0.226	0.304	0.253	0.496	0.335	0.255	0.347	0.183	0.253	0	0.453	0.435	0.310	0.351	0.849	0.346	0.856	0.344	0.367	0.309	0.199	0.471	0.393	0.415	0.296	0.487	0.428	0.534	0.442	0.515	0.389	0.486	0.486	0.477	0.352	0.403	0.482	0.463	0.582	0.358
MD1	0.383	0.439	0.459	0.413	0.517	0.427	0.472	0.411	0.250	0.323	0.438	0.323	0.389	0.445	0.453	0	0.388	0.386	0.483	0.869	0.437	0.877	0.369	0.363	0.317	0.388	0.397	0.353	0.408	0.446	0.381	0.433	0.482	0.416	0.458	0.493	0.460	0.422	0.352	0.378	0.351	0.420	0.406	0.518	0.375
MD10	0.420	0.353	0.352	0.317	0.414	0.375	0.376	0.414	0.362	0.247	0.475	0.259	0.341	0.351	0.435	0.388	0	0.292	0.355	0.846	0.314	0.854	0.234	0.222	0.273	0.336	0.265	0.152	0.338	0.322	0.278	0.349	0.397	0.390	0.362	0.450	0.334	0.391	0.260	0.299	0.318	0.433	0.423	0.539	0.425
MD11	0.397	0.291	0.275	0.229	0.344	0.250	0.307	0.335	0.427	0.260	0.393	0.277	0.283	0.313	0.310	0.386	0.292	0	0.302	0.820	0.248	0.839	0.286	0.306	0.277	0.300	0.382	0.206	0.361	0.282	0.318	0.371	0.394	0.295	0.380	0.343	0.361	0.394	0.357	0.279	0.302	0.450	0.437	0.519	0.365
MD12	0.435	0.378	0.157	0.259	0.182	0.273	0.260	0.343	0.538	0.371	0.419	0.391	0.314	0.232	0.351	0.483	0.355	0.302	0	0.843	0.223	0.859	0.263	0.317	0.396	0.352	0.537	0.365	0.222	0.174	0.444	0.315	0.444	0.373	0.367	0.364	0.387	0.535	0.481	0.253	0.424	0.485	0.519	0.625	0.395
MD13	0.724	0.843	0.868	0.815	0.877	0.847	0.878	0.859	0.874	0.869	0.807	0.825	0.853	0.883	0.849	0.869	0.846	0.820	0.843	0	0.851	0.190	0.877	0.860	0.855	0.863	0.816	0.808	0.861	0.882	0.855	0.878	0.862	0.871	0.869	0.886	0.869	0.855	0.865	0.859	0.857	0.883	0.862	0.858	0.872
MD14	0.386	0.373	0.205	0.227	0.229	0.297	0.273	0.385	0.506	0.305	0.453	0.350	0.325	0.259	0.346	0.437	0.314	0.248	0.223	0.851	0	0.872	0.186	0.239	0.294	0.371	0.485	0.303	0.241	0.180	0.379	0.325	0.415	0.374	0.328	0.413	0.369	0.469	0.434	0.247	0.355	0.468	0.464	0.572	0.427
MD15	0.719	0.864	0.880	0.824	0.884	0.858	0.888	0.865	0.879	0.876	0.813	0.843	0.863	0.890	0.856	0.877	0.854	0.839	0.859	0.190	0.872	0	0.883	0.865	0.869	0.868	0.821	0.823	0.869	0.890	0.877	0.885	0.877	0.879	0.887	0.890	0.878	0.876	0.879	0.874	0.878	0.887	0.883	0.879	0.882
MD2	0.360	0.348	0.231	0.260	0.262	0.312	0.289	0.374	0.428	0.237	0.419	0.328	0.298	0.234	0.344	0.369	0.234	0.286	0.263	0.877	0.186	0.883	0	0.127	0.194	0.304	0.393	0.241	0.222	0.183	0.350	0.302	0.422	0.401	0.349	0.425	0.343	0.447	0.384	0.253	0.332	0.431	0.443	0.579	0.420
MD3	0.361	0.335	0.294	0.284	0.329	0.344	0.321	0.380	0.383	0.227	0.409	0.298	0.283	0.274	0.367	0.363	0.222	0.306	0.317	0.860	0.239	0.865	0.127	0	0.164	0.297	0.370	0.227	0.283	0.226	0.323	0.332	0.428	0.428	0.365	0.434	0.341	0.457	0.376	0.267	0.350	0.440	0.425	0.552	0.435
MD4	0.318	0.246	0.344	0.302	0.377	0.301	0.335	0.336	0.335	0.169	0.375	0.223	0.236	0.314	0.309	0.317	0.273	0.277	0.396	0.855	0.294	0.869	0.194	0.164	0	0.247	0.342	0.240	0.355	0.293	0.335	0.393	0.458	0.407	0.442	0.407	0.416	0.420	0.355	0.326	0.301	0.416	0.419	0.543	0.392
MD5	0.383	0.190	0.369	0.366	0.388	0.259	0.347	0.192	0.401	0.262	0.217	0.276	0.176	0.306	0.199	0.388	0.336	0.300	0.352	0.863	0.371	0.868	0.304	0.297	0.247	0	0.381	0.320	0.424	0.323	0.381	0.405	0.506	0.402	0.493	0.357	0.442	0.395	0.373	0.315	0.325	0.441	0.423	0.532	0.326
MD6	0.465	0.394	0.513	0.417	0.583	0.442	0.516	0.475	0.381	0.318	0.498	0.308	0.433	0.515	0.471	0.397	0.265	0.382	0.537	0.816	0.485	0.821	0.393	0.370	0.342	0.381	0	0.268	0.455	0.506	0.396	0.490	0.545	0.522	0.530	0.570	0.510	0.434	0.333	0.468	0.405	0.478	0.407	0.524	0.476
MD7	0.382	0.329	0.336	0.243	0.412	0.304	0.356	0.398	0.353	0.223	0.448	0.217	0.312	0.356	0.393	0.353	0.152	0.206	0.365	0.808	0.303	0.823	0.241	0.227	0.240	0.320	0.268	0	0.346	0.334	0.277	0.391	0.382	0.358	0.363	0.420	0.341	0.382	0.288	0.317	0.326	0.435	0.418	0.536	0.412
MD8	0.352	0.450	0.191	0.295	0.228	0.337	0.301	0.423	0.533	0.344	0.479	0.374	0.368	0.268	0.415	0.408	0.338	0.361	0.222	0.861	0.241	0.869	0.222	0.283	0.355	0.424	0.455	0.346	0	0.218	0.457	0.293	0.435	0.404	0.345	0.442	0.416	0.524	0.468	0.293	0.398	0.428	0.441	0.622	0.448
MD9	0.389	0.321	0.170	0.253	0.159	0.273	0.250	0.339	0.503	0.309	0.401	0.358	0.260	0.179	0.296	0.446	0.322	0.282	0.174	0.882	0.180	0.890	0.183	0.226	0.293	0.323	0.506	0.334	0.218	0	0.426	0.311	0.458	0.390	0.381	0.368	0.392	0.518	0.464	0.230	0.397	0.487	0.505	0.624	0.407
NC1	0.458	0.449	0.447	0.426	0.508	0.456	0.477	0.406	0.306	0.271	0.441	0.334	0.409	0.473	0.487	0.381	0.278	0.318	0.444	0.855	0.379	0.877	0.350	0.323	0.335	0.381	0.396	0.277	0.457	0.426	0	0.395	0.391	0.327	0.382	0.404	0.328	0.238	0.149	0.293	0.230	0.418	0.380	0.449	0.388
NC10	0.431	0.465	0.305	0.323	0.331	0.372	0.337	0.399	0.526	0.357	0.475	0.409	0.372	0.271	0.428	0.433	0.349	0.371	0.315	0.878	0.325	0.885	0.302	0.332	0.393	0.405	0.490	0.391	0.293	0.311	0.395	0	0.389	0.318	0.294	0.379	0.334	0.468	0.404	0.205	0.324	0.246	0.277	0.456	0.241
NC11	0.508	0.547	0.414	0.387	0.474	0.445	0.452	0.514	0.545	0.432	0.589	0.462	0.490	0.435	0.534	0.482	0.397	0.394	0.444	0.862	0.415	0.877	0.422	0.428	0.458	0.506	0.545	0.382	0.435	0.458	0.391	0.389	0	0.245	0.188	0.317	0.252	0.498	0.391	0.370	0.410	0.402	0.429	0.389	0.398
NC12	0.457	0.447	0.351	0.327	0.420	0.351	0.391	0.401	0.497	0.360	0.477	0.370	0.388	0.376	0.442	0.416	0.390	0.295	0.373	0.871	0.374	0.879	0.401	0.428	0.407	0.402	0.522	0.358	0.404	0.390	0.327	0.318	0.245	0	0.262	0.210	0.217	0.432	0.326	0.292	0.311	0.387	0.407	0.516	0.320
