bray_curtis	HD1	HD10	HD4	HD6	MD7	HD7	HD9	MD10	MD2	MD3	MD4	MD9	HD2	HD5	MD5	HD11	HD12	HD13	HD15	HD14	HD8	MD8	MD11	MD12	MD14	MD6	HD3	MD1	NC1	NC3	NC5	NC2	NC4	NC10	NC6	NC7	NC9	NC8	NC11	NC13	NC12	NC15	NC14	MD13	MD15
HD1	0	0.701	0.563	0.643	0.730	0.669	0.659	0.862	0.808	0.707	0.654	0.742	0.669	0.689	0.792	0.771	0.767	0.706	0.764	0.783	0.690	0.699	0.813	0.878	0.865	0.776	0.818	0.708	0.924	0.922	0.871	0.906	0.869	0.922	0.906	0.938	0.907	0.899	0.967	1.000	0.952	0.951	0.938	1.000	1.000
HD10	0.701	0	0.568	0.416	0.593	0.484	0.467	0.638	0.639	0.667	0.468	0.628	0.646	0.758	0.492	0.625	0.635	0.654	0.661	0.524	0.683	0.708	0.680	0.797	0.723	0.664	0.767	0.791	0.860	0.872	0.851	0.839	0.866	0.904	0.935	0.888	0.889	0.912	0.883	0.920	0.934	0.917	0.824	0.986	1.000
HD4	0.563	0.568	0	0.377	0.532	0.568	0.603	0.688	0.659	0.587	0.472	0.631	0.679	0.759	0.675	0.612	0.638	0.657	0.728	0.717	0.638	0.649	0.635	0.814	0.725	0.652	0.585	0.600	0.754	0.762	0.754	0.776	0.783	0.857	0.840	0.778	0.811	0.825	0.884	0.937	0.854	0.851	0.905	0.986	1.000
HD6	0.643	0.416	0.377	0	0.426	0.474	0.609	0.629	0.674	0.639	0.533	0.634	0.678	0.738	0.585	0.574	0.540	0.562	0.591	0.568	0.655	0.552	0.594	0.787	0.748	0.542	0.634	0.592	0.803	0.797	0.806	0.825	0.818	0.884	0.869	0.826	0.842	0.852	0.895	0.913	0.867	0.880	0.870	0.987	1.000
MD7	0.730	0.593	0.532	0.426	0	0.626	0.714	0.476	0.488	0.513	0.577	0.563	0.783	0.802	0.636	0.622	0.552	0.636	0.675	0.648	0.632	0.643	0.565	0.622	0.628	0.569	0.672	0.684	0.734	0.710	0.733	0.805	0.763	0.823	0.902	0.855	0.888	0.852	0.849	0.919	0.769	0.782	0.919	0.986	1.000
HD7	0.669	0.484	0.568	0.474	0.626	0	0.367	0.685	0.607	0.550	0.500	0.535	0.708	0.818	0.508	0.594	0.619	0.504	0.581	0.619	0.556	0.662	0.648	0.750	0.708	0.695	0.752	0.701	0.860	0.856	0.785	0.823	0.815	0.872	0.935	0.872	0.889	0.897	0.883	0.920	0.918	0.883	0.872	0.986	1.000
HD9	0.659	0.467	0.603	0.609	0.714	0.367	0	0.821	0.661	0.655	0.600	0.568	0.730	0.781	0.542	0.597	0.672	0.550	0.633	0.607	0.639	0.667	0.636	0.790	0.714	0.795	0.888	0.831	0.936	0.917	0.915	0.933	0.896	0.934	0.950	0.917	0.951	0.939	0.931	0.950	0.966	0.931	0.901	0.986	1.000
MD10	0.862	0.638	0.688	0.629	0.476	0.685	0.821	0	0.456	0.496	0.638	0.485	0.850	0.852	0.664	0.802	0.814	0.765	0.827	0.829	0.705	0.774	0.703	0.618	0.699	0.582	0.697	0.781	0.636	0.656	0.726	0.732	0.787	0.781	0.937	0.844	0.907	0.871	0.837	0.938	0.808	0.707	0.859	0.986	1.000
MD2	0.808	0.639	0.659	0.674	0.488	0.607	0.661	0.456	0	0.390	0.492	0.465	0.766	0.769	0.633	0.746	0.694	0.679	0.705	0.742	0.645	0.703	0.724	0.540	0.688	0.721	0.764	0.788	0.685	0.724	0.765	0.836	0.761	0.740	0.951	0.870	0.903	0.955	0.881	0.984	0.867	0.729	0.919	0.986	1.000
MD3	0.707	0.667	0.587	0.639	0.513	0.550	0.655	0.496	0.390	0	0.450	0.456	0.730	0.813	0.678	0.661	0.672	0.643	0.717	0.770	0.639	0.762	0.752	0.565	0.651	0.764	0.680	0.723	0.680	0.719	0.726	0.817	0.739	0.752	0.900	0.835	0.885	0.879	0.845	0.934	0.797	0.707	0.917	0.986	1.000
