bray_curtis_binary	HD1	HD10	HD11	HD12	HD14	HD13	HD15	HD8	HD4	HD6	HD7	MD2	MD4	MD3	HD9	MD10	MD7	MD9	MD6	MD1	HD3	MD8	HD2	HD5	MD5	MD11	NC1	NC3	NC2	NC5	NC10	NC4	NC9	NC6	NC7	NC8	NC11	NC12	NC15	NC13	MD12	MD14	NC14	MD13	MD15
HD1	0	0.590	0.688	0.692	0.696	0.630	0.658	0.575	0.471	0.571	0.506	0.657	0.512	0.534	0.541	0.768	0.636	0.605	0.650	0.552	0.761	0.529	0.515	0.661	0.667	0.759	0.893	0.892	0.855	0.818	0.857	0.821	0.868	0.824	0.884	0.840	0.944	0.917	0.915	1.000	0.803	0.810	0.913	1.000	1.000
HD10	0.590	0	0.518	0.524	0.459	0.586	0.561	0.581	0.505	0.400	0.446	0.500	0.409	0.544	0.425	0.600	0.518	0.563	0.605	0.644	0.699	0.595	0.528	0.631	0.462	0.596	0.802	0.825	0.760	0.807	0.842	0.833	0.854	0.892	0.813	0.852	0.818	0.897	0.870	0.870	0.714	0.644	0.813	0.972	1.000
HD11	0.688	0.518	0	0.325	0.310	0.349	0.358	0.553	0.587	0.573	0.488	0.653	0.586	0.564	0.494	0.757	0.585	0.512	0.694	0.667	0.750	0.534	0.690	0.813	0.662	0.500	0.900	0.899	0.892	0.902	0.893	0.880	0.901	0.836	0.865	0.900	0.789	0.844	0.868	0.789	0.605	0.528	0.838	0.972	1.000
HD12	0.692	0.524	0.325	0	0.271	0.471	0.366	0.605	0.634	0.533	0.494	0.579	0.568	0.570	0.575	0.707	0.566	0.609	0.721	0.699	0.781	0.622	0.611	0.692	0.641	0.551	0.852	0.875	0.840	0.831	0.868	0.833	0.854	0.838	0.867	0.877	0.792	0.821	0.870	0.792	0.584	0.644	0.893	0.944	0.965
HD14	0.696	0.459	0.310	0.271	0	0.432	0.325	0.563	0.638	0.538	0.548	0.662	0.640	0.700	0.531	0.789	0.595	0.591	0.724	0.757	0.865	0.573	0.589	0.667	0.595	0.533	0.902	0.901	0.921	0.881	0.922	0.859	0.880	0.840	0.895	0.927	0.846	0.848	0.897	0.821	0.641	0.626	0.842	0.945	0.966
HD13	0.630	0.586	0.349	0.471	0.432	0	0.247	0.371	0.646	0.570	0.372	0.595	0.582	0.561	0.470	0.718	0.628	0.400	0.753	0.684	0.816	0.558	0.707	0.794	0.704	0.609	0.905	0.880	0.923	0.860	0.848	0.839	0.906	0.870	0.923	0.929	0.850	0.852	0.850	0.875	0.600	0.570	0.846	1.000	1.000
HD15	0.658	0.561	0.358	0.366	0.325	0.247	0	0.452	0.648	0.500	0.432	0.595	0.558	0.610	0.513	0.726	0.605	0.506	0.714	0.690	0.803	0.556	0.686	0.746	0.658	0.609	0.899	0.897	0.918	0.852	0.838	0.854	0.875	0.833	0.863	0.924	0.813	0.842	0.840	0.867	0.627	0.591	0.836	0.971	1.000
HD8	0.575	0.581	0.553	0.605	0.563	0.371	0.452	0	0.621	0.565	0.412	0.615	0.578	0.580	0.537	0.636	0.647	0.438	0.636	0.573	0.680	0.579	0.757	0.791	0.725	0.582	0.831	0.805	0.818	0.741	0.769	0.744	0.833	0.868	0.818	0.928	0.823	0.800	0.873	0.873	0.747	0.630	0.844	0.973	1.000
HD4	0.471	0.505	0.587	0.634	0.638	0.646	0.648	0.621	0	0.313	0.457	0.553	0.423	0.500	0.506	0.595	0.500	0.542	0.600	0.488	0.463	0.590	0.580	0.649	0.586	0.571	0.711	0.708	0.690	0.696	0.788	0.720	0.780	0.783	0.690	0.756	0.837	0.793	0.791	0.907	0.767	0.677	0.881	0.975	1.000
HD6	0.571	0.400	0.573	0.533	0.538	0.570	0.500	0.565	0.313	0	0.371	0.537	0.447	0.529	0.558	0.556	0.393	0.548	0.413	0.418	0.494	0.425	0.538	0.577	0.476	0.474	0.724	0.744	0.753	0.730	0.805	0.733	0.773	0.775	0.704	0.747	0.831	0.833	0.807	0.855	0.759	0.667	0.827	0.974	1.000
