jaccard_binary	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	0.742	0.815	0.818	0.773	0.821	0.794	0.680	0.864	0.641	0.796	0.727	0.672	0.730	0.702	0.712	0.869	0.863	0.891	1.000	0.895	1.000	0.793	0.696	0.677	0.800	0.788	0.778	0.692	0.754	0.944	0.923	0.971	0.957	1.000	0.955	0.956	0.922	0.943	0.901	0.900	0.903	0.938	0.913	0.930
HD10	0.742	0	0.683	0.688	0.739	0.629	0.719	0.691	0.823	0.671	0.774	0.571	0.617	0.735	0.596	0.783	0.750	0.746	0.833	0.986	0.784	1.000	0.667	0.705	0.581	0.632	0.754	0.683	0.746	0.721	0.890	0.914	0.900	0.946	0.931	0.897	0.931	0.864	0.904	0.909	0.893	0.943	0.897	0.920	0.921
HD11	0.815	0.683	0	0.491	0.517	0.473	0.527	0.817	0.857	0.740	0.897	0.729	0.656	0.712	0.661	0.800	0.862	0.667	0.754	0.986	0.691	1.000	0.790	0.721	0.739	0.797	0.819	0.738	0.696	0.677	0.947	0.944	0.882	0.915	0.882	0.912	0.930	0.943	0.947	0.936	0.949	0.910	0.928	0.947	0.948
HD12	0.818	0.688	0.491	0	0.641	0.426	0.536	0.759	0.877	0.776	0.818	0.696	0.661	0.754	0.730	0.823	0.828	0.710	0.738	0.971	0.784	0.982	0.733	0.726	0.725	0.781	0.838	0.723	0.767	0.757	0.920	0.930	0.884	0.901	0.884	0.944	0.931	0.913	0.933	0.909	0.908	0.912	0.929	0.934	0.921
HD13	0.773	0.739	0.517	0.641	0	0.603	0.396	0.828	0.899	0.785	0.885	0.726	0.542	0.541	0.639	0.813	0.836	0.757	0.750	1.000	0.726	1.000	0.746	0.719	0.736	0.826	0.859	0.771	0.717	0.571	0.950	0.918	0.919	0.920	0.933	0.917	0.919	0.960	0.936	0.913	0.925	0.931	0.960	0.963	0.951
HD14	0.821	0.629	0.473	0.426	0.603	0	0.491	0.741	0.928	0.779	0.800	0.700	0.708	0.721	0.694	0.862	0.882	0.696	0.781	0.972	0.770	0.982	0.797	0.824	0.781	0.746	0.840	0.746	0.729	0.743	0.949	0.959	0.917	0.918	0.901	0.914	0.946	0.959	0.948	0.924	0.937	0.913	0.944	0.962	0.936
HD15	0.794	0.719	0.527	0.536	0.396	0.491	0	0.814	0.891	0.787	0.855	0.667	0.603	0.623	0.678	0.817	0.841	0.757	0.770	0.986	0.743	1.000	0.746	0.758	0.716	0.794	0.833	0.754	0.714	0.672	0.947	0.912	0.897	0.914	0.929	0.910	0.913	0.957	0.946	0.921	0.920	0.909	0.926	0.961	0.933
HD2	0.680	0.691	0.817	0.759	0.828	0.741	0.814	0	0.827	0.734	0.441	0.700	0.709	0.862	0.741	0.729	0.855	0.851	0.879	1.000	0.870	1.000	0.745	0.712	0.754	0.465	0.825	0.776	0.735	0.810	0.887	0.897	0.952	0.969	0.984	0.914	0.934	0.855	0.903	0.875	0.855	0.912	0.895	0.869	0.906
HD3	0.864	0.823	0.857	0.877	0.899	0.928	0.891	0.827	0	0.633	0.773	0.661	0.759	0.810	0.887	0.591	0.720	0.762	0.935	0.983	0.855	1.000	0.774	0.692	0.758	0.845	0.707	0.714	0.855	0.794	0.679	0.818	0.900	0.825	0.918	0.933	0.842	0.720	0.722	0.783	0.737	0.875	0.745	0.814	0.836
HD4	0.641	0.671	0.740	0.776	0.785	0.779	0.787	0.734	0.633	0	0.787	0.477	0.627	0.766	0.672	0.656	0.746	0.727	0.868	0.988	0.807	1.000	0.712	0.667	0.594	0.739	0.750	0.667	0.742	0.703	0.831	0.882	0.911	0.885	0.951	0.937	0.883	0.817	0.829	0.837	0.821	0.878	0.817	0.861	0.877
HD5	0.796	0.774	0.897	0.818	0.885	0.800	0.855	0.441	0.773	0.787	0	0.732	0.769	0.883	0.804	0.744	0.809	0.871	0.926	1.000	0.908	1.000	0.733	0.776	0.789	0.595	0.845	0.769	0.804	0.847	0.852	0.860	0.964	0.946	0.982	0.923	0.906	0.833	0.849	0.818	0.836	0.900	0.833	0.873	0.875
HD6	0.727	0.571	0.729	0.696	0.726	0.700	0.667	0.700	0.661	0.477	0.732	0	0.541	0.722	0.716	0.589	0.714	0.643	0.863	0.987	0.800	1.000	0.698	0.692	0.618	0.645	0.585	0.565	0.596	0.708	0.840	0.892	0.908	0.909	0.922	0.905	0.893	0.859	0.853	0.846	0.844	0.873	0.826	0.855	0.872
HD7	0.672	0.617	0.656	0.661	0.542	0.708	0.603	0.709	0.759	0.627	0.769	0.541	0	0.583	0.537	0.667	0.746	0.725	0.794	0.986	0.746	1.000	0.585	0.582	0.525	0.625	0.731	0.677	0.673	0.613	0.873	0.881	0.899	0.931	0.930	0.912	0.899	0.825	0.871	0.847	0.812	0.942	0.879	0.904	0.905
HD8	0.730	0.735	0.712	0.754	0.541	0.721	0.623	0.862	0.810	0.766	0.883	0.722	0.583	0	0.698	0.729	0.778	0.736	0.855	0.986	0.773	1.000	0.762	0.734	0.732	0.841	0.778	0.786	0.733	0.609	0.908	0.870	0.903	0.889	0.932	0.915	0.932	0.900	0.892	0.853	0.851	0.930	0.900	0.962	0.909
HD9	0.702	0.596	0.661	0.730	0.639	0.694	0.678	0.741	0.887	0.672	0.804	0.716	0.537	0.698	0	0.810	0.873	0.712	0.841	0.985	0.754	1.000	0.691	0.684	0.623	0.702	0.845	0.766	0.727	0.639	0.945	0.941	0.942	0.972	0.957	0.940	0.942	0.940	0.930	0.919	0.932	0.955	0.924	0.945	0.960
MD1	0.712	0.783	0.800	0.823	0.813	0.862	0.817	0.729	0.591	0.656	0.744	0.589	0.667	0.729	0.810	0	0.720	0.721	0.935	0.983	0.887	1.000	0.750	0.692	0.717	0.759	0.611	0.737	0.688	0.774	0.793	0.879	0.918	0.864	0.918	0.933	0.900	0.815	0.850	0.823	0.800	0.855	0.815	0.814	0.817
MD10	0.869	0.750	0.862	0.828	0.836	0.882	0.841	0.855	0.720	0.746	0.809	0.714	0.746	0.778	0.873	0.720	0	0.750	0.764	0.984	0.791	1.000	0.604	0.627	0.683	0.698	0.672	0.520	0.818	0.655	0.800	0.883	0.847	0.850	0.938	0.881	0.847	0.755	0.817	0.846	0.806	0.934	0.821	0.857	0.926
MD11	0.863	0.746	0.667	0.710	0.757	0.696	0.757	0.851	0.762	0.727	0.871	0.643	0.725	0.736	0.712	0.721	0.750	0	0.794	0.987	0.681	1.000	0.773	0.800	0.792	0.814	0.700	0.625	0.726	0.722	0.883	0.920	0.877	0.893	0.907	0.933	0.907	0.919	0.910	0.901	0.914	0.918	0.904	0.911	0.926
MD12	0.891	0.833	0.754	0.738	0.750	0.781	0.770	0.879	0.935	0.868	0.926	0.863	0.794	0.855	0.841	0.935	0.764	0.794	0	0.968	0.593	0.980	0.698	0.780	0.809	0.855	0.903	0.733	0.845	0.689	0.896	0.887	0.871	0.908	0.923	0.867	0.923	0.903	0.877	0.900	0.930	1.000	0.954	0.986	0.958
MD13	1.000	0.986	0.986	0.971	1.000	0.972	0.986	1.000	0.983	0.988	1.000	0.987	0.986	0.986	0.985	0.983	0.984	0.987	0.968	0	0.974	0.594	0.984	0.985	0.987	0.985	0.986	0.986	1.000	0.986	0.970	0.984	0.968	0.969	0.968	0.984	0.984	0.967	0.970	0.986	0.971	1.000	0.967	0.985	0.986
MD14	0.895	0.784	0.691	0.784	0.726	0.770	0.743	0.870	0.855	0.807	0.908	0.800	0.746	0.773	0.754	0.887	0.791	0.681	0.593	0.974	0	0.984	0.758	0.731	0.763	0.817	0.878	0.746	0.857	0.708	0.899	0.907	0.847	0.923	0.922	0.859	0.908	0.905	0.897	0.889	0.901	0.961	0.920	0.976	0.952
MD15	1.000	1.000	1.000	0.982	1.000	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.980	0.594	0.984	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
MD2	0.793	0.667	0.790	0.733	0.746	0.797	0.746	0.745	0.774	0.712	0.733	0.698	0.585	0.762	0.691	0.750	0.604	0.773	0.698	0.984	0.758	1.000	0	0.551	0.491	0.654	0.742	0.558	0.680	0.614	0.803	0.847	0.905	0.923	0.985	0.937	0.887	0.845	0.839	0.848	0.846	0.952	0.864	0.957	0.928
