unifrac	HD1	HD10	HD11	HD13	MD12	MD14	MD9	HD15	HD12	MD2	MD8	MD3	HD8	HD14	HD4	HD6	MD4	MD10	MD7	HD2	HD5	HD7	MD5	HD9	NC10	NC4	NC9	NC5	NC6	NC7	MD11	NC11	NC13	NC12	NC14	NC15	NC2	NC1	NC3	MD6	HD3	MD1	NC8	MD13	MD15
HD1	0	0.601	0.590	0.575	0.589	0.575	0.548	0.553	0.559	0.561	0.464	0.578	0.539	0.574	0.481	0.485	0.503	0.567	0.571	0.460	0.462	0.507	0.545	0.569	0.530	0.526	0.612	0.524	0.611	0.649	0.606	0.700	0.666	0.626	0.637	0.734	0.635	0.669	0.597	0.632	0.664	0.516	0.735	0.806	0.756
HD10	0.601	0	0.501	0.499	0.552	0.530	0.476	0.526	0.515	0.564	0.610	0.559	0.396	0.353	0.450	0.373	0.392	0.492	0.490	0.380	0.383	0.325	0.307	0.314	0.634	0.524	0.497	0.496	0.723	0.695	0.415	0.731	0.711	0.607	0.497	0.732	0.549	0.622	0.602	0.566	0.628	0.590	0.771	0.915	0.975
HD11	0.590	0.501	0	0.178	0.182	0.250	0.256	0.298	0.233	0.323	0.242	0.389	0.333	0.376	0.449	0.544	0.491	0.477	0.450	0.513	0.571	0.483	0.471	0.477	0.403	0.376	0.564	0.521	0.669	0.688	0.368	0.574	0.454	0.466	0.503	0.483	0.666	0.563	0.571	0.712	0.766	0.656	0.770	0.964	1.000
HD13	0.575	0.499	0.178	0	0.202	0.264	0.212	0.219	0.293	0.308	0.287	0.400	0.253	0.347	0.498	0.546	0.498	0.506	0.513	0.479	0.486	0.441	0.465	0.434	0.413	0.347	0.555	0.542	0.665	0.725	0.432	0.646	0.517	0.516	0.502	0.501	0.707	0.587	0.622	0.746	0.794	0.684	0.793	0.957	0.968
MD12	0.589	0.552	0.182	0.202	0	0.259	0.236	0.328	0.320	0.283	0.246	0.406	0.306	0.423	0.496	0.560	0.541	0.458	0.496	0.466	0.523	0.435	0.459	0.489	0.372	0.311	0.532	0.524	0.688	0.689	0.414	0.620	0.518	0.478	0.500	0.525	0.676	0.567	0.574	0.730	0.784	0.668	0.788	0.934	0.970
MD14	0.575	0.530	0.250	0.264	0.259	0	0.191	0.345	0.278	0.271	0.300	0.329	0.330	0.427	0.409	0.487	0.405	0.399	0.442	0.499	0.559	0.443	0.463	0.465	0.379	0.337	0.564	0.448	0.687	0.637	0.345	0.597	0.502	0.489	0.550	0.484	0.573	0.473	0.520	0.648	0.708	0.599	0.739	0.941	0.985
MD9	0.548	0.476	0.256	0.212	0.236	0.191	0	0.327	0.336	0.233	0.296	0.311	0.269	0.393	0.402	0.476	0.370	0.382	0.453	0.453	0.498	0.390	0.408	0.435	0.384	0.317	0.555	0.461	0.700	0.671	0.391	0.645	0.548	0.494	0.519	0.481	0.601	0.504	0.527	0.628	0.688	0.604	0.776	0.966	0.989
HD15	0.553	0.526	0.298	0.219	0.328	0.345	0.327	0	0.287	0.409	0.388	0.481	0.246	0.295	0.483	0.513	0.483	0.488	0.462	0.472	0.497	0.419	0.451	0.456	0.400	0.345	0.511	0.535	0.605	0.669	0.423	0.628	0.506	0.515	0.499	0.540	0.706	0.599	0.606	0.707	0.781	0.653	0.797	0.952	0.976
HD12	0.559	0.515	0.233	0.293	0.320	0.278	0.336	0.287	0	0.379	0.367	0.433	0.328	0.272	0.405	0.467	0.442	0.405	0.341	0.487	0.532	0.473	0.458	0.468	0.399	0.347	0.548	0.484	0.649	0.658	0.336	0.558	0.419	0.439	0.512	0.469	0.662	0.560	0.549	0.585	0.725	0.606	0.733	0.906	0.943
MD2	0.561	0.564	0.323	0.308	0.283	0.271	0.233	0.409	0.379	0	0.223	0.226	0.351	0.535	0.379	0.478	0.329	0.292	0.370	0.542	0.562	0.487	0.449	0.555	0.370	0.390	0.592	0.499	0.635	0.601	0.451	0.630	0.519	0.558	0.622	0.457	0.621	0.453	0.474	0.539	0.635	0.503	0.749	0.945	0.968
