unifrac	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	0.601	0.590	0.559	0.575	0.574	0.553	0.460	0.664	0.481	0.462	0.485	0.507	0.539	0.569	0.516	0.567	0.606	0.589	0.806	0.575	0.756	0.561	0.578	0.503	0.545	0.632	0.571	0.464	0.548	0.669	0.530	0.700	0.626	0.666	0.637	0.734	0.635	0.597	0.526	0.524	0.611	0.649	0.735	0.612
HD10	0.601	0	0.501	0.515	0.499	0.353	0.526	0.380	0.628	0.450	0.383	0.373	0.325	0.396	0.314	0.590	0.492	0.415	0.552	0.915	0.530	0.975	0.564	0.559	0.392	0.307	0.566	0.490	0.610	0.476	0.622	0.634	0.731	0.607	0.711	0.497	0.732	0.549	0.602	0.524	0.496	0.723	0.695	0.771	0.497
HD11	0.590	0.501	0	0.233	0.178	0.376	0.298	0.513	0.766	0.449	0.571	0.544	0.483	0.333	0.477	0.656	0.477	0.368	0.182	0.964	0.250	1.000	0.323	0.389	0.491	0.471	0.712	0.450	0.242	0.256	0.563	0.403	0.574	0.466	0.454	0.503	0.483	0.666	0.571	0.376	0.521	0.669	0.688	0.770	0.564
HD12	0.559	0.515	0.233	0	0.293	0.272	0.287	0.487	0.725	0.405	0.532	0.467	0.473	0.328	0.468	0.606	0.405	0.336	0.320	0.906	0.278	0.943	0.379	0.433	0.442	0.458	0.585	0.341	0.367	0.336	0.560	0.399	0.558	0.439	0.419	0.512	0.469	0.662	0.549	0.347	0.484	0.649	0.658	0.733	0.548
HD13	0.575	0.499	0.178	0.293	0	0.347	0.219	0.479	0.794	0.498	0.486	0.546	0.441	0.253	0.434	0.684	0.506	0.432	0.202	0.957	0.264	0.968	0.308	0.400	0.498	0.465	0.746	0.513	0.287	0.212	0.587	0.413	0.646	0.516	0.517	0.502	0.501	0.707	0.622	0.347	0.542	0.665	0.725	0.793	0.555
HD14	0.574	0.353	0.376	0.272	0.347	0	0.295	0.356	0.754	0.473	0.389	0.489	0.348	0.285	0.319	0.655	0.543	0.363	0.423	0.923	0.427	0.946	0.535	0.598	0.452	0.333	0.637	0.475	0.511	0.393	0.649	0.540	0.622	0.509	0.572	0.402	0.623	0.691	0.596	0.405	0.520	0.649	0.685	0.789	0.460
HD15	0.553	0.526	0.298	0.287	0.219	0.295	0	0.472	0.781	0.483	0.497	0.513	0.419	0.246	0.456	0.653	0.488	0.423	0.328	0.952	0.345	0.976	0.409	0.481	0.483	0.451	0.707	0.462	0.388	0.327	0.599	0.400	0.628	0.515	0.506	0.499	0.540	0.706	0.606	0.345	0.535	0.605	0.669	0.797	0.511
HD2	0.460	0.380	0.513	0.487	0.479	0.356	0.472	0	0.628	0.421	0.221	0.473	0.259	0.355	0.360	0.567	0.572	0.485	0.466	0.953	0.499	0.975	0.542	0.542	0.473	0.226	0.662	0.587	0.521	0.453	0.587	0.490	0.715	0.549	0.709	0.467	0.686	0.554	0.596	0.410	0.447	0.647	0.668	0.706	0.465
HD3	0.664	0.628	0.766	0.725	0.794	0.754	0.781	0.628	0	0.404	0.609	0.431	0.656	0.747	0.744	0.333	0.534	0.616	0.784	0.977	0.708	1.000	0.635	0.592	0.481	0.614	0.565	0.532	0.714	0.688	0.418	0.704	0.727	0.702	0.745	0.757	0.684	0.549	0.451	0.608	0.552	0.727	0.664	0.703	0.683
HD4	0.481	0.450	0.449	0.405	0.498	0.473	0.483	0.421	0.404	0	0.485	0.240	0.410	0.435	0.515	0.445	0.341	0.348	0.496	0.962	0.409	0.985	0.379	0.382	0.263	0.373	0.484	0.329	0.411	0.402	0.394	0.424	0.587	0.492	0.583	0.536	0.543	0.469	0.388	0.402	0.391	0.588	0.529	0.640	0.496
HD5	0.462	0.383	0.571	0.532	0.486	0.389	0.497	0.221	0.609	0.485	0	0.489	0.360	0.422	0.318	0.567	0.611	0.518	0.523	0.878	0.559	0.900	0.562	0.622	0.526	0.273	0.673	0.597	0.589	0.498	0.600	0.558	0.772	0.613	0.755	0.535	0.685	0.567	0.569	0.423	0.497	0.659	0.644	0.716	0.445
HD6	0.485	0.373	0.544	0.467	0.546	0.489	0.513	0.473	0.431	0.240	0.489	0	0.366	0.500	0.519	0.419	0.343	0.417	0.560	0.893	0.487	0.942	0.478	0.455	0.309	0.399	0.416	0.276	0.465	0.476	0.462	0.533	0.631	0.539	0.625	0.585	0.605	0.487	0.424	0.476	0.420	0.595	0.539	0.661	0.520
