unifrac_binary	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	0.451	0.417	0.383	0.418	0.439	0.362	0.293	0.553	0.369	0.503	0.497	0.283	0.347	0.421	0.346	0.493	0.475	0.358	0.925	0.381	0.979	0.388	0.383	0.389	0.370	0.469	0.499	0.268	0.346	0.564	0.337	0.553	0.508	0.507	0.456	0.581	0.526	0.529	0.356	0.486	0.422	0.497	0.648	0.443
HD10	0.451	0	0.383	0.410	0.443	0.334	0.448	0.402	0.543	0.352	0.539	0.380	0.314	0.342	0.294	0.433	0.391	0.333	0.495	0.904	0.411	0.954	0.408	0.396	0.314	0.325	0.459	0.390	0.468	0.398	0.532	0.542	0.608	0.582	0.561	0.454	0.592	0.485	0.495	0.519	0.475	0.633	0.557	0.665	0.444
HD11	0.417	0.383	0	0.197	0.196	0.292	0.266	0.480	0.645	0.422	0.597	0.555	0.374	0.360	0.359	0.553	0.541	0.338	0.252	0.924	0.264	1.000	0.443	0.386	0.397	0.428	0.591	0.447	0.321	0.282	0.544	0.348	0.383	0.413	0.405	0.385	0.457	0.587	0.541	0.347	0.515	0.534	0.575	0.692	0.474
HD12	0.383	0.410	0.197	0	0.294	0.186	0.248	0.396	0.619	0.399	0.466	0.493	0.341	0.334	0.351	0.538	0.466	0.313	0.308	0.860	0.269	0.936	0.389	0.428	0.342	0.384	0.511	0.387	0.332	0.322	0.562	0.408	0.457	0.431	0.413	0.432	0.477	0.587	0.539	0.346	0.470	0.514	0.558	0.671	0.450
HD13	0.418	0.443	0.196	0.294	0	0.309	0.191	0.460	0.685	0.493	0.569	0.581	0.355	0.289	0.390	0.598	0.578	0.457	0.228	0.952	0.275	0.983	0.451	0.436	0.429	0.445	0.648	0.533	0.345	0.255	0.590	0.388	0.503	0.510	0.504	0.422	0.508	0.665	0.626	0.375	0.564	0.541	0.647	0.765	0.517
HD14	0.439	0.334	0.292	0.186	0.309	0	0.243	0.388	0.662	0.418	0.490	0.515	0.377	0.284	0.289	0.588	0.497	0.334	0.390	0.883	0.327	0.937	0.432	0.531	0.375	0.388	0.556	0.419	0.420	0.339	0.631	0.504	0.553	0.549	0.482	0.431	0.540	0.643	0.586	0.440	0.540	0.527	0.583	0.742	0.403
HD15	0.362	0.448	0.266	0.248	0.191	0.243	0	0.428	0.664	0.487	0.496	0.538	0.321	0.249	0.374	0.548	0.549	0.434	0.317	0.925	0.282	0.981	0.397	0.447	0.418	0.399	0.590	0.452	0.328	0.306	0.604	0.365	0.506	0.508	0.468	0.393	0.486	0.659	0.599	0.376	0.551	0.443	0.550	0.755	0.437
HD2	0.293	0.402	0.480	0.396	0.460	0.388	0.428	0	0.492	0.309	0.311	0.440	0.275	0.380	0.371	0.373	0.414	0.419	0.409	0.882	0.370	0.943	0.387	0.381	0.351	0.240	0.513	0.485	0.350	0.353	0.488	0.361	0.624	0.522	0.599	0.447	0.557	0.408	0.501	0.382	0.421	0.486	0.492	0.569	0.416
HD3	0.553	0.543	0.645	0.619	0.685	0.662	0.664	0.492	0	0.306	0.505	0.340	0.474	0.614	0.609	0.303	0.371	0.500	0.665	0.936	0.584	1.000	0.481	0.441	0.436	0.432	0.479	0.382	0.536	0.551	0.318	0.514	0.584	0.553	0.612	0.635	0.508	0.401	0.399	0.477	0.429	0.547	0.460	0.523	0.566
HD4	0.369	0.352	0.422	0.399	0.493	0.418	0.487	0.309	0.306	0	0.406	0.243	0.302	0.426	0.382	0.309	0.347	0.299	0.475	0.917	0.377	0.981	0.358	0.365	0.276	0.247	0.440	0.365	0.365	0.344	0.401	0.391	0.547	0.474	0.526	0.471	0.482	0.381	0.403	0.353	0.380	0.480	0.409	0.529	0.416
HD5	0.503	0.539	0.597	0.466	0.569	0.490	0.496	0.311	0.505	0.406	0	0.370	0.447	0.540	0.482	0.457	0.420	0.518	0.571	0.873	0.524	0.926	0.418	0.545	0.459	0.338	0.421	0.438	0.485	0.499	0.511	0.477	0.743	0.643	0.694	0.626	0.604	0.497	0.440	0.499	0.498	0.572	0.451	0.582	0.496
HD6	0.497	0.380	0.555	0.493	0.581	0.515	0.538	0.440	0.340	0.243	0.370	0	0.341	0.495	0.479	0.300	0.279	0.398	0.559	0.869	0.495	0.924	0.385	0.404	0.358	0.339	0.271	0.247	0.424	0.475	0.439	0.493	0.625	0.606	0.594	0.611	0.556	0.434	0.392	0.477	0.429	0.515	0.385	0.519	0.457
