ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15
ASV_1	1.318	15.974	0.0452367668877044	0.0730385298707728	Enriched	2.406	0.965	5.534	0.835	5.446	3.433	3.26	0.034	0.579	0.071	0.081	4.952	2.133	3.162	0.087	0.045	6.435	0.073	0.087	2.553	0.605	0.096	0.075	1.376	4.007	0.088	0.089	0.684	0.974	2.031	0.413	1.32
ASV_2	-3.73	17.182	0.00226463932681059	0.00877547739139104	Depleted	0.329	4.36	0.029	0.043	0.019	0.026	0.035	0.179	0.121	0.194	0.099	0.101	0.505	0.119	0.106	3.17	0.182	2.241	2.943	0.427	1.729	0.128	5.783	14.872	2.291	11.392	8.423	4.237	1.543	3.661	3.838	1.893
ASV_4	4.523	17.489	0.0185115864380147	0.0358661987236534	Enriched	4.522	0.197	0.098	0.028	0.032	0.046	0.035	18.397	15.188	9.942	9.316	9.869	0.281	0.494	0.63	0.963	2.515	0.041	0.083	0.063	0.106	0.034	0.206	0.162	0.06	0.073	0.079	0.353	0.171	0.558	0.401	0.56
ASV_15	-3.537	16.51	0.00564828083100591	0.0141207020775148	Depleted	0.205	2.384	0.04	0.047	0.041	0.102	0.049	0.71	0.045	0.281	0.26	0.118	0.144	0.672	0.151	0.314	0.11	2.817	0.061	0.727	3.787	0.055	3.854	0.046	3.184	0.166	0.122	9.33	4.743	4.202	1.43	1.242
ASV_3	0.237	17.027	0.780092352894316	0.816988612828506	NotSig	1.82	1.544	4.625	3.745	4.956	2.722	2.296	0.652	0.377	1.839	2.122	1.071	0.341	1.03	0.288	0.161	1.069	1.587	2.03	13.359	1.292	3.64	0.204	0.053	0.076	0.112	0.103	0.233	0.191	0.101	0.123	0.053
ASV_6	0.31	15.605	0.587401228047869	0.639093080201344	NotSig	1.477	1.192	4.587	4.326	4.984	1.449	1.888	0.24	1.315	0.774	1.535	0.623	0.073	0.071	0.069	0.09	0.138	1.226	0.988	3.433	2.312	1.61	2.505	1.485	0.632	0.949	1.696	0.255	0.304	0.155	0.121	0.208
ASV_9	1.353	15.135	0.0422599988300929	0.0696840406240894	Enriched	1.337	0.523	3.127	0.506	3.055	2.002	1.775	0.02	0.301	0.051	0.026	2.623	1.192	1.705	0.047	0.03	3.599	0.057	0.043	1.399	0.3	0.043	0.027	0.789	2.265	0.041	0.055	0.368	0.481	1.007	0.286	0.689
ASV_8	-7.146	17.856	0.111286482976372	0.148701766046014	NotSig	0.023	3.314	0.004	0.045	0	0	0.002	0.02	0.024	0.066	0.022	0.018	0.067	0.029	0.005	0.045	0.004	0.122	19.131	0.105	0.352	23.731	0.027	0.072	0.057	0.071	1.204	0	0.019	0.002	4.605	0.217
ASV_12	-4.939	15.61	0.000128670889094011	0.00153415290842859	Depleted	0.071	2.182	0.107	0.087	0.026	0.137	0.082	0.041	0.035	0.026	0.026	0.028	0.052	0.123	0.201	0.034	0.062	1.349	1.204	0.063	0.998	0.537	2.902	2.127	0.042	2.123	1.541	3.782	3.299	4.589	3.166	5.002
ASV_7	-1.184	9.634	0.0624689247828042	0.0922160318222348	NotSig	0.011	0.025	0.005	0.003	0.007	0.02	0.002	0.034	0.002	0	0.005	0.012	0.038	0.037	0.002	0	0	0.005	0.079	0.042	0.013	0.004	0	0.025	0.028	0.041	0.013	0.017	0.014	0	0.071	0.028
ASV_5	-4.147	17.656	0.0564552335167573	0.0876679816873204	NotSig	0.171	3.028	0.146	0.107	0.227	0.946	0.059	0.078	0.365	0.017	0.225	0.194	0.048	0.027	0.045	0.054	0.024	20.648	0.825	0.09	0.169	8.424	1.817	1.025	0.683	3.852	0.286	0.229	0.83	2.842	1.891	1.802
ASV_13	-0.644	14.422	0.0591835358958927	0.0899357653319938	NotSig	0.686	1.072	0.737	1.15	1.346	0.427	0.778	0.264	0.615	0.333	0.402	0.266	0.522	0.834	0.561	0.897	1.154	0.247	0.419	1.872	2.024	0.329	1.906	1.195	0.524	1.103	2.195	0.945	0.768	0.299	1.275	0.977
ASV_26	-0.827	15.238	0.0655415175139416	0.0949433197631864	NotSig	0.871	1.545	0.264	0.133	0.122	1.85	0.752	0.672	0.626	0.207	1.266	1.138	1.131	0.349	0.323	3.176	1.056	0.552	3.864	0.223	0.702	2.255	0.523	0.606	2.217	1.48	2.619	1.065	0.596	1.524	3.133	1.815
ASV_11	0.629	15.261	0.192405170155629	0.246469432843988	NotSig	1.26	0.814	1.941	1.275	1.892	1.451	1.271	1.85	2.698	1.687	1.523	1.349	0.214	0.404	0.13	0.589	0.621	0.634	1.125	3.927	2.081	1.374	1.237	0.722	0.285	0.188	0.349	0.049	0.076	0.068	0.056	0.042
ASV_14	-3.218	16.293	0.00480771250441335	0.0129102081605304	Depleted	0.236	2.198	0.291	0.601	0.363	0.331	0.865	0.044	0.145	0.635	0.051	0.149	0.019	0.009	0.01	0.017	0.011	3.798	4.642	8.028	2.405	4.192	2.806	1.468	0.244	0.466	3.087	0.486	0.592	0.11	0.346	0.304
ASV_16	-3.157	14.797	8.60705200960668e-07	6.67046530744518e-05	Depleted	0.181	1.615	0.333	0.346	0.627	0.577	0.157	0.054	0.04	0.04	0.07	0.035	0.075	0.088	0.089	0.127	0.059	1.414	2.026	0.422	1.525	2.846	0.541	1.304	2.723	2.441	1.246	1.588	1.555	1.973	1.252	1.366
ASV_10	-0.091	15.574	0.873820577296957	0.885243068503453	NotSig	0.971	1.034	1.313	0.672	2.387	0.638	0.426	0.548	0.693	0.675	1.273	0.269	1.167	2.811	0.7	0.211	0.781	0.226	0.397	1.616	0.856	0.292	4.879	0.302	0.048	0.17	0.55	0.731	3.073	0.255	1.624	0.49
ASV_22	3.401	16.511	0.0121543680423329	0.0258072198159123	Enriched	2.176	0.206	1.171	0.802	1.043	0.475	0.491	0.264	0.626	0.556	0.478	0.362	3.639	5.561	2.828	9.336	5.013	0.301	0.809	0.221	0.387	0.56	0.122	0.084	0.027	0.071	0.055	0.109	0.179	0.085	0.054	0.026
ASV_27	-3.605	15.099	0.000531003605589852	0.00357850255940987	Depleted	0.119	1.45	0.193	0.208	0.069	0.294	0.186	0.071	0.055	0.04	0.04	0.063	0.05	0.159	0.172	0.043	0.145	0.684	0.589	0.08	0.653	0.283	1.964	1.401	0.055	1.189	1.008	2.477	2.703	3.461	1.695	3.509
ASV_97	-0.914	14.155	0.00221225077212405	0.00877547739139104	Depleted	0.592	1.115	0.504	0.473	0.176	0.853	0.898	0.558	1.281	0.335	0.831	1.435	0.496	0.188	0.342	0.075	0.428	1.711	1.508	0.914	1.7	0.778	1.824	1.508	0.657	1.157	0.618	0.611	0.929	0.478	1.286	1.039
ASV_21	-2.325	15.569	0.0118320651204395	0.0254718068565018	Depleted	0.262	1.314	0.015	0.024	0.021	0.038	0.024	1.271	0.035	0.561	0.391	0.095	0.09	1.127	0.102	0.099	0.039	1.451	0.031	0.466	2.223	0.023	2.228	0.039	1.822	0.056	0.042	4.86	2.674	2.229	0.793	0.767
ASV_24	5.364	16.68	0.0179497933084361	0.0352179488962986	Enriched	2.303	0.056	0.3	0.059	0.196	0.048	0.212	4.236	1.177	8.075	2.774	0.208	10.497	1.246	4.77	0.559	0.195	0.063	0.054	0.067	0.078	0.081	0.069	0.042	0.064	0.063	0.059	0.047	0.053	0.029	0.036	0.033
ASV_19	-1.254	15.521	0.296272394331412	0.353247854779761	NotSig	0.246	0.587	1.344	0.398	0.143	0.229	0.287	0.301	0.085	0.003	0.033	0.01	0.111	0.17	0.168	0.011	0.399	0.496	0.114	4.704	0.462	0.053	0.563	0.12	0.09	0.058	1.157	0.075	0.415	0.013	0.309	0.179
ASV_17	5.569	16.192	0.0053298147310234	0.0140020556492988	Enriched	2.081	0.044	3.485	7.436	1.032	1.014	3.189	0.408	2.265	7.484	1.015	0.713	1.066	0.522	1.059	0.105	0.421	0.194	0.096	0.105	0.05	0.08	0.038	0.025	0.005	0.002	0.009	0.01	0.021	0.009	0.008	0.006
ASV_23	0.993	15.02	0.0385646657914084	0.0664169244185366	Enriched	1.042	0.524	2.283	1.433	3.323	1.016	1.535	0.468	0.6	0.69	0.468	0.503	0.388	0.845	0.373	0.351	1.35	0.443	0.442	0.523	1.002	0.847	0.74	0.694	0.345	0.755	1.119	0.245	0.216	0.119	0.165	0.199
ASV_20	2.82	15.579	0.00614861021576689	0.0148911653663104	Enriched	1.509	0.214	0.736	0.253	0.462	0.652	0.55	0.214	0.88	0.764	0.823	0.098	4.896	3.178	2.743	2.148	4.238	0.041	0.11	0.836	0.661	0.05	0.501	0.186	0.113	0.08	0.113	0.09	0.179	0.036	0.123	0.087
ASV_28	-5.669	15.045	2.13435086443143e-05	0.000551373973311453	Depleted	0.028	1.44	0.016	0.002	0.011	0.002	0.016	0.054	0.024	0.007	0.036	0.012	0.046	0.059	0.056	0.021	0.064	0.009	1.378	2.034	0.184	0.604	0.949	2.401	3.38	1.414	1.479	0.799	1.699	1.531	1.509	2.23
ASV_31	6.518	15.985	0.00149909927334767	0.00683412904026145	Enriched	2.043	0.022	0.1	1.263	1.695	0.679	0.912	4.873	5.584	1.681	2.467	6.487	1.487	1.707	0.68	0.2	0.827	0.02	0.005	0.013	0.015	0.012	0.091	0.049	0.005	0.013	0.013	0.03	0.018	0.02	0.017	0.013
ASV_29	-4.459	15.051	0.000326312378865462	0.00266202203811298	Depleted	0.057	1.254	0.093	0.028	0.025	0.111	0.052	0.017	0.024	0.021	0.033	0.033	0.048	0.088	0.132	0.114	0.037	0.652	0.677	0.031	0.545	0.299	1.725	1.257	0.034	1.103	0.864	1.838	1.929	2.828	1.636	3.395
ASV_41	1.561	15.752	0.0915617296925435	0.126714893770931	NotSig	1.271	0.431	4.101	3.136	1.691	2.176	5.519	0.073	0.114	0.132	0.036	0.08	0.046	0.598	1.085	0.226	0.048	0.073	0.042	0.158	0.043	0.014	0.035	0.512	1.703	0.034	0.022	0.179	0.92	1.024	1.279	0.422
ASV_25	-1.275	14.793	0.0354315019508812	0.0617065483414224	Depleted	0.397	0.961	0.191	0.192	0.264	0.215	0.167	0.66	0.455	0.92	0.487	0.141	0.364	0.359	0.549	0.325	0.667	0.03	0.455	0.006	0.385	0.035	0.978	0.533	0.246	1.208	2.062	1.299	2.656	0.563	2.839	1.117
ASV_201	-3.583	14.648	0.00030860026695541	0.00265739118767159	Depleted	0.088	1.051	0.056	0.042	0.033	0.143	0.075	0.053	0.043	0.037	0.031	0.06	0.096	0.117	0.321	0.107	0.101	0.667	0.516	0.076	0.544	0.221	1.303	0.786	0.092	1.032	0.685	1.687	1.717	2.567	1.48	2.388
ASV_51	-3.957	16.348	0.102323869634923	0.139124559591342	NotSig	0.086	1.338	0.004	0.021	0.002	0.002	0	0.029	0.009	0.044	0.02	0.03	0.036	0.026	0.009	1.058	0.006	0.079	7.49	0.08	0.222	8.339	0.018	0.053	0.051	0.061	0.644	0.007	0.033	0.079	2.778	0.14
ASV_44	-2.259	14.281	0.000453712656694531	0.0032006455989313	Depleted	0.17	0.813	0.097	0.142	0.056	0.265	0.099	0.087	0.325	0.035	0.258	0.407	0.239	0.055	0.052	0.316	0.116	1.199	0.648	0.338	1.152	0.45	0.743	0.856	1.99	0.863	0.672	0.568	0.183	1.907	0.29	0.343
ASV_46	-0.714	15.038	0.215039779388754	0.270985087847617	NotSig	0.445	0.73	0.144	0.085	0.132	0.405	0.308	0.391	0.479	0.235	0.94	1.179	0.538	0.218	0.705	0.701	0.211	0.464	0.042	0.223	0.477	0.018	0.907	0.749	1.317	0.419	0.5	0.681	0.622	0.511	0.649	3.365
ASV_32	1.348	14.777	0.00342886446884148	0.010483472143863	Enriched	0.962	0.378	0.931	0.428	1.009	0.544	0.743	0.865	2.807	1.426	1.213	1.08	0.639	0.875	0.63	0.286	0.961	0.136	0.415	1.277	1.052	0.338	0.732	0.213	0.087	0.145	0.135	0.288	0.429	0.068	0.217	0.138
ASV_30	-2.403	14.888	0.0564068661783312	0.0876679816873204	NotSig	0.126	0.667	0.2	0.362	0.247	0.246	0.338	0.041	0.061	0.27	0.06	0.056	0.004	0.002	0.003	0.002	0.002	0.244	0.163	0.292	0.21	0.315	2.553	2.062	0.558	0.36	3.033	0.064	0.066	0.011	0.021	0.059
ASV_35	-4.16	14.269	0.00320203964248511	0.0104162326234407	Depleted	0.043	0.773	0.031	0.021	0.019	0.147	0.028	0.034	0.019	0.028	0.116	0.015	0.046	0.038	0.036	0.039	0.031	0.208	0.025	1.866	0.363	0.025	0.016	1.974	0.984	0.034	0.031	1.661	1.393	1.851	0.079	1.086
ASV_52	-4.133	14.661	0.00165455471131743	0.00712377722928337	Depleted	0.052	0.915	0.024	0.016	0.012	0.029	0.023	0.022	0.029	0.024	0.073	0.02	0.155	0.128	0.03	0.039	0.158	1.419	0.173	0.431	1.044	0.025	0.011	2.459	2.066	2.59	0.705	0.377	0.164	0.889	0.968	0.396
ASV_50	2.681	15.421	0.021502940281272	0.0401560932963514	Enriched	1.151	0.179	0.384	0.185	0.865	3.479	0.063	2.434	2.719	0.078	1.877	4.389	0.054	0.044	0.257	0.166	0.266	0.039	0.06	0.29	0.149	0.067	0.133	0.046	0.529	0.045	0.07	0.167	0.218	0.39	0.242	0.245
ASV_36	-1.35	14.625	0.0745511552545013	0.106013110683006	NotSig	0.255	0.649	0.249	0.745	0.305	0.22	0.689	0.099	0.301	0.568	0.175	0.262	0.054	0.046	0.05	0.011	0.046	0.701	0.56	1.132	0.592	0.25	2.126	0.882	0.561	0.261	2.527	0.061	0.023	0.005	0.029	0.031
ASV_33	0.224	14.193	0.689578779712333	0.742254936495913	NotSig	0.551	0.472	1.704	1.628	1.873	0.524	0.735	0.087	0.503	0.342	0.53	0.229	0.019	0.026	0.017	0.017	0.033	0.443	0.397	1.242	0.864	0.622	1.11	0.578	0.25	0.41	0.703	0.106	0.144	0.07	0.054	0.085
ASV_417	1.167	14.119	0.0762822344373335	0.107488603070788	NotSig	0.578	0.258	0.717	0.152	0.74	1.053	0.67	0.024	0.264	0.014	0.015	1.779	0.915	0.684	0.023	0.019	1.604	0.038	0.029	0.433	0.141	0.028	0.026	0.287	1.275	0.024	0.05	0.208	0.265	0.559	0.146	0.354
ASV_43	-0.365	8.901	0.34454807864832	0.401957766156845	NotSig	0.015	0.019	0.009	0.023	0.016	0.014	0.007	0.017	0.014	0.024	0.018	0.035	0.006	0.005	0.01	0.009	0.015	0.014	0.02	0.013	0.028	0.019	0.011	0.011	0.048	0.043	0.046	0.01	0.006	0.005	0.004	0.007
ASV_38	-3.596	14.428	0.00247489887101996	0.00892937040063713	Depleted	0.068	0.824	0.015	0.005	0.055	0.026	0.03	0.053	0.01	0.01	0.018	0.007	0.26	0.071	0.241	0.194	0.028	0.776	0.007	0.862	1.223	0.009	0.288	1.401	2.072	1.459	0.356	1.659	0.029	2.204	0.01	0.011
ASV_56	4.125	16.968	0.15929442354202	0.207484333184985	NotSig	1.332	0.076	0.173	0.083	0.026	0.034	0.054	0.507	0.183	0.084	0.235	0.213	1.029	0.725	12.815	3.082	0.729	0.115	0.092	0.029	0.048	0.064	0.047	0.079	0.051	0.013	0.055	0.137	0.154	0.148	0.052	0.061
ASV_34	5.292	15.782	0.0154704563349883	0.0307425734861948	Enriched	1.352	0.034	0.503	0.107	0.305	0.142	0.063	0.814	0.598	5.636	0.993	0.244	5.356	0.844	3.215	0.29	1.168	0.039	0.038	0.057	0.069	0.066	0.029	0.028	0.016	0.024	0.03	0.035	0.037	0.023	0.012	0.015
ASV_1253	-2.706	14.531	0.000755455172953601	0.00403777764854511	Depleted	0.122	0.796	0.044	0.038	0.033	0.195	0.064	0.082	0.086	0.061	0.192	0.125	0.157	0.044	0.062	0.587	0.059	0.432	0.367	0.084	0.335	0.014	0.975	2.368	0.604	1.534	1.159	1.122	0.477	1.068	0.785	0.61
ASV_53	-0.112	7.258	0.863949211621161	0.882579476128303	NotSig	0.003	0.003	0	0.002	0.002	0.005	0	0	0.002	0.002	0.007	0.005	0.015	0.004	0.002	0	0.002	0	0.009	0	0.002	0	0.004	0	0.009	0.002	0	0.002	0.012	0	0.006	0.006
ASV_42	4.335	14.58	0.00961821762408714	0.0217364778276692	Enriched	0.625	0.031	2.056	0.78	0.532	2.449	1.217	0.031	0.159	0.009	0.219	0.176	0.073	0.21	0.259	1.125	0.075	0.032	0.029	0.008	0.011	0.018	0.016	0.004	0.057	0.006	0.018	0.09	0.064	0.025	0.035	0.052
ASV_45	6.668	15.314	0.00286247388093028	0.0100837148078226	Enriched	1.231	0.012	0.903	4.075	1.704	2.291	2.799	3.093	0.508	1.747	0.217	0.492	0.038	0.249	0.007	0.23	0.108	0.034	0.011	0.015	0.013	0.011	0.026	0.023	0.014	0.002	0.002	0.01	0.014	0.002	0.004	0.002
ASV_37	-3.005	14.407	0.00312419596011063	0.0104162326234407	Depleted	0.069	0.555	0.036	0.054	0.085	0.022	0.061	0.06	0.104	0.03	0.05	0.196	0.138	0.091	0.038	0.013	0.061	0.443	1.033	0.372	0.523	0.801	0.687	0.151	0.152	0.207	0.423	0.455	2.173	0.036	0.72	0.153
ASV_39	0.269	13.009	0.495372706271434	0.560458171328995	NotSig	0.35	0.29	0.222	0.629	0.329	0.164	0.385	0.063	0.313	0.553	0.048	0.095	0.517	0.362	0.825	0.267	0.474	0.147	0.161	0.017	0.326	0.064	0.308	0.626	0.042	0.617	0.148	0.806	0.588	0.16	0.202	0.142
ASV_59	-4.134	13.973	0.00012721656588949	0.00153415290842859	Depleted	0.042	0.746	0.022	0.042	0.026	0.024	0.031	0.026	0.318	0.005	0.026	0.015	0.029	0.024	0.012	0.013	0.024	0.22	0.011	0.317	0.694	0.023	0.674	0.703	1.608	0.965	0.192	1.344	0.713	1.034	1.476	1.211
ASV_109	2.886	15.042	0.0148397333783231	0.0298721905667544	Enriched	1.02	0.138	0.056	0.036	0.345	3.374	0.059	0.123	1.732	0.038	2.309	3.301	0.077	0.858	0.837	2.069	0.079	0.073	0.052	0.614	0.058	0.021	0.066	0.06	0.669	0.065	0.044	0.059	0.072	0.043	0.083	0.088
ASV_58	4.588	15.287	0.0317865136448737	0.0559876092608571	Enriched	0.697	0.029	0.015	0.014	0.604	0.36	0.04	0.267	0.259	0.024	0.518	1.384	0.042	3.998	0.344	2.153	0.437	0.004	0	0.004	0.007	0.007	0.015	0.005	0.002	0.011	0.015	0.016	0.275	0.009	0.036	0.029
ASV_40	2.104	16.388	0.243200515007342	0.296819526190063	NotSig	0.951	0.221	2.014	8.575	0.465	0.155	2.11	0.007	0.014	0.76	0.007	0.013	0.027	0.062	0.024	0.03	0.007	0.202	2.81	0.021	0.026	0.2	0.004	0.007	0.005	0.007	0.015	0.003	0.008	0.004	0.004	0.004
ASV_48	-2.797	13.583	0.00344940051185169	0.010483472143863	Depleted	0.07	0.485	0.009	0.002	0.058	0.017	0.01	0.027	0.003	0.014	0.012	0.002	0.274	0.038	0.356	0.207	0.017	0.396	0.018	0.607	0.801	0.009	0.169	0.77	1.227	0.915	0.209	0.926	0.021	1.173	0.013	0.018
ASV_64	-1.236	13.774	0.00117919191738321	0.00571171084982492	Depleted	0.229	0.54	0.266	0.229	0.106	0.401	0.372	0.274	0.315	0.199	0.386	0.36	0.142	0.095	0.174	0.043	0.081	0.385	1.401	0.185	0.393	0.675	0.261	0.55	0.464	0.503	0.325	0.49	0.592	0.579	0.438	0.864
ASV_55	-3.222	13.668	1.372901044053e-05	0.000531999154570537	Depleted	0.061	0.571	0.124	0.052	0.107	0.032	0.07	0.026	0.028	0.016	0.04	0.025	0.117	0.104	0.056	0.062	0.061	0.28	0.238	0.244	0.216	0.561	0.594	0.294	1.301	0.559	0.65	0.486	0.865	0.836	0.87	0.566
ASV_74	0.891	13.472	0.0571255880672216	0.0876679816873204	NotSig	0.392	0.211	0.595	0.56	0.187	0.234	0.031	0.179	0.427	0.077	0.263	0.56	0.85	0.154	0.444	1.136	0.186	0.048	0.042	0.21	0.356	0.028	0.215	0.1	0.485	0.421	0.511	0.125	0.177	0.257	0.056	0.14
ASV_89	4.898	15.725	0.0276803365137837	0.049888978600424	Enriched	0.996	0.033	0.015	0.023	0.692	0.565	0.035	0.49	0.42	0.051	0.674	2.017	0.075	5.416	0.474	3.377	0.621	0.002	0.007	0.017	0.011	0.012	0.029	0.016	0.009	0.006	0.006	0.043	0.298	0.011	0.023	0.011
ASV_73	4.736	14.162	1.41005245703116e-07	2.1855813083983e-05	Enriched	1.037	0.039	0.931	0.835	0.795	1.144	0.994	1.751	0.939	1.105	0.851	0.777	0.335	1.55	0.989	0.721	1.833	0.054	0.022	0.029	0.065	0.028	0.049	0.035	0.023	0.017	0.02	0.08	0.049	0.04	0.04	0.033
ASV_1365	-2.52	13.584	4.11244447084187e-05	0.000708254325533878	Depleted	0.097	0.554	0.036	0.054	0.035	0.258	0.047	0.124	0.09	0.045	0.126	0.166	0.09	0.037	0.061	0.25	0.031	0.425	0.146	0.212	0.572	0.021	0.556	0.766	0.528	0.712	0.576	1.228	0.366	0.854	0.524	0.831
ASV_57	0.531	14.144	0.260699640609189	0.313243754220343	NotSig	0.581	0.402	0.903	0.641	1.098	0.679	0.625	0.842	1.041	0.832	0.546	0.543	0.088	0.157	0.045	0.329	0.342	0.292	0.5	1.811	1.028	0.641	0.747	0.482	0.159	0.084	0.135	0.038	0.033	0.04	0.012	0.028
ASV_82	1.673	16.198	0.347498972032369	0.401957766156845	NotSig	0.692	0.217	0.401	0.243	0.169	0.196	0.477	0.146	0.259	0.063	7.517	0.083	0.13	0.161	0.338	0.103	0.101	0.104	0.139	0.17	0.296	0.066	0.326	0.364	0.156	0.171	0.306	0.132	0.38	0.212	0.171	0.264
