ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_1	-0.66	16.885	0.257605721052626	0.33838039629794	NotSig	2.406	3.801	5.534	0.835	5.446	3.433	3.26	0.034	0.579	0.071	0.081	4.952	2.133	3.162	0.087	0.045	6.435	0.253	12.107	7.558	2.349	0.034	0.076	4.242	0.108	7.94	8.673	2.076	7.587	0.101	3.88	0.035
ASV_2	-2.88	16.465	0.00615794456077388	0.0221972420213942	Depleted	0.329	2.418	0.029	0.043	0.019	0.026	0.035	0.179	0.121	0.194	0.099	0.101	0.505	0.119	0.106	3.17	0.182	0.838	0.231	0.048	0.696	9.048	2.808	2.005	4.06	5.369	3.602	3.049	1.969	0.072	2.461	0.014
ASV_4	5.991	17.489	0.0158934224384706	0.0378996996609683	Enriched	4.522	0.071	0.098	0.028	0.032	0.046	0.035	18.397	15.188	9.942	9.316	9.869	0.281	0.494	0.63	0.963	2.515	0.077	0.044	0.055	0.03	0.207	0.056	0.058	0.056	0.036	0.024	0.07	0.074	0.095	0.069	0.117
ASV_15	-3.308	17.396	0.125335005650746	0.203993777193516	NotSig	0.205	2.035	0.04	0.047	0.041	0.102	0.049	0.71	0.045	0.281	0.26	0.118	0.144	0.672	0.151	0.314	0.11	3.45	0.496	0.731	0.476	0.03	0.655	3.027	17.252	1.205	0.735	1.994	0.245	0.115	0.062	0.055
ASV_3	0.587	17.321	0.605365562399412	0.670226158370778	NotSig	1.82	1.211	4.625	3.745	4.956	2.722	2.296	0.652	0.377	1.839	2.122	1.071	0.341	1.03	0.288	0.161	1.069	16.368	0.152	0.112	0.118	0.063	0.204	0.166	0.189	0.1	0.082	0.114	0.12	0.234	0.064	0.081
ASV_6	0.019	15.605	0.97232547069203	0.985035607563821	NotSig	1.477	1.458	4.587	4.326	4.984	1.449	1.888	0.24	1.315	0.774	1.535	0.623	0.073	0.071	0.069	0.09	0.138	1.196	2.125	1.425	1.887	1.417	3.527	2.327	0.782	1.509	4.244	0.672	0.316	0.022	0.397	0.028
ASV_9	-0.626	16.045	0.28355717827179	0.360257070755143	NotSig	1.337	2.064	3.127	0.506	3.055	2.002	1.775	0.02	0.301	0.051	0.026	2.623	1.192	1.705	0.047	0.03	3.599	0.139	6.761	4.188	1.186	0.017	0.064	2.403	0.068	4.248	4.701	1.214	4.054	0.056	1.858	0.007
ASV_8	-4.671	16.34	0.31541733688191	0.388695213299098	NotSig	0.023	0.596	0.004	0.045	0	0	0.002	0.02	0.024	0.066	0.022	0.018	0.067	0.029	0.005	0.045	0.004	0.101	0.083	0.121	0.109	8.296	0.066	0.004	0.005	0.005	0.004	0.05	0.01	0.013	0.009	0.067
ASV_12	-4.237	15.361	0.0012075362860677	0.00965847920990356	Depleted	0.071	1.341	0.107	0.087	0.026	0.137	0.082	0.041	0.035	0.026	0.026	0.028	0.052	0.123	0.201	0.034	0.062	0.055	2.3	1.796	1.822	2.42	0.068	2.555	1.609	1.396	0.339	0.528	4.208	0.083	0.911	0.03
ASV_7	-8.272	18.219	0.157137625396952	0.227629270434837	NotSig	0.011	3.444	0.005	0.003	0.007	0.02	0.002	0.034	0.002	0	0.005	0.012	0.038	0.037	0.002	0	0	0.002	0.018	0.011	0.012	0.034	0.018	0.012	0.014	0.009	0.002	0.313	0.655	18.771	1.28	30.508
ASV_5	-0.593	14.459	0.588957174274561	0.656750805845733	NotSig	0.171	0.258	0.146	0.107	0.227	0.946	0.059	0.078	0.365	0.017	0.225	0.194	0.048	0.027	0.045	0.054	0.024	0.094	0.065	0.126	0.111	0.177	0.056	0.131	2.252	0.512	0.076	0.094	0.079	0.031	0.06	0.002
ASV_13	-1.116	15.848	0.0403250771864081	0.0791188223277627	Depleted	0.686	1.487	0.737	1.15	1.346	0.427	0.778	0.264	0.615	0.333	0.402	0.266	0.522	0.834	0.561	0.897	1.154	0.582	1.39	1.173	1.818	1.147	5.897	2.313	0.482	0.758	1.814	1.46	0.904	0.608	1.617	0.342
ASV_26	0.221	14.955	0.713694392000551	0.758504805606302	NotSig	0.871	0.747	0.264	0.133	0.122	1.85	0.752	0.672	0.626	0.207	1.266	1.138	1.131	0.349	0.323	3.176	1.056	0.123	1.801	1.202	3.134	2.703	0.09	0.223	0.07	0.146	0.357	0.315	0.307	0.052	0.596	0.089
ASV_11	0.416	14.72	0.250510941551018	0.331873469576134	NotSig	1.26	0.944	1.941	1.275	1.892	1.451	1.271	1.85	2.698	1.687	1.523	1.349	0.214	0.404	0.13	0.589	0.621	1.836	0.947	2.27	1.551	1.327	2.169	0.553	0.557	0.906	1.01	0.399	0.165	0.07	0.199	0.202
ASV_14	-1.179	14.325	0.119259293045597	0.198765488409328	NotSig	0.236	0.535	0.291	0.601	0.363	0.331	0.865	0.044	0.145	0.635	0.051	0.149	0.019	0.009	0.01	0.017	0.011	1.607	0.36	0.793	2.052	1.367	0.523	0.175	0.142	0.08	0.715	0.074	0.015	0.074	0.038	0.009
ASV_16	-2.648	14.483	9.91387528390948e-05	0.00192081333625746	Depleted	0.181	1.135	0.333	0.346	0.627	0.577	0.157	0.054	0.04	0.04	0.07	0.035	0.075	0.088	0.089	0.127	0.059	1.064	1.617	1.836	1.363	2.131	0.633	0.85	1.711	1.189	0.802	0.949	2.289	0.027	0.543	0.014
ASV_10	0.193	14.885	0.703035649324936	0.756739761426146	NotSig	0.971	0.849	1.313	0.672	2.387	0.638	0.426	0.548	0.693	0.675	1.273	0.269	1.167	2.811	0.7	0.211	0.781	2.822	0.166	0.757	1.209	0.17	1.522	3.025	0.509	0.175	0.742	1.28	0.209	0.005	0.128	0.023
ASV_22	2.842	16.511	0.0163451412560519	0.0383863165861824	Enriched	2.176	0.304	1.171	0.802	1.043	0.475	0.491	0.264	0.626	0.556	0.478	0.362	3.639	5.561	2.828	9.336	5.013	0.183	0.215	0.255	0.341	1.497	0.2	0.398	0.198	0.082	0.646	0.158	0.11	0.067	0.069	0.136
ASV_27	-3.149	15.008	0.00158841718456754	0.00965847920990356	Depleted	0.119	1.057	0.193	0.208	0.069	0.294	0.186	0.071	0.055	0.04	0.04	0.063	0.05	0.159	0.172	0.043	0.145	0.053	2.002	1.662	1.188	1.257	0.068	1.995	1.165	1.353	0.39	0.59	3.296	0.058	0.753	0.027
ASV_97	-0.59	14.621	0.160002933683458	0.229633840008666	NotSig	0.592	0.89	0.504	0.473	0.176	0.853	0.898	0.558	1.281	0.335	0.831	1.435	0.496	0.188	0.342	0.075	0.428	2.52	0.9	1.737	1.658	1.158	1.444	0.565	0.573	0.308	0.484	0.692	0.43	0.063	0.744	0.076
ASV_21	-1.916	16.16	0.157037855508771	0.227629270434837	NotSig	0.262	0.989	0.015	0.024	0.021	0.038	0.024	1.271	0.035	0.561	0.391	0.095	0.09	1.127	0.102	0.099	0.039	1.767	0.249	0.392	0.288	0.024	0.353	1.748	7.321	0.744	0.428	1.212	0.165	0.041	0.066	0.037
