igraph.degree	igraph.closeness	igraph.betweenness	igraph.cen.degree
ASV_1	3	1	0.5	3
ASV_2	5	0.134438305709024	16	5
ASV_4	10	0.208588957055215	568.030586052304	10
ASV_15	9	0.146292585170341	53.0143578643578	9
ASV_3	1	1	0	1
ASV_6	13	0.190816326530612	5010.01381005347	13
ASV_8	7	0.0787486515641855	312.5	7
ASV_9	3	1	0.5	3
ASV_12	6	0.127734033245844	1347	6
ASV_7	56	0.791666666666667	8.92116537822796	56
ASV_5	5	0.571428571428571	7	5
ASV_13	10	0.130177514792899	3848.70270944348	10
ASV_26	1	0.0836676217765043	0	1
ASV_11	6	0.153467377923677	122.327332300344	6
ASV_14	1	1	0	1
ASV_16	1	1	0	1
ASV_22	15	0.20042872454448	2012.4171651108	15
ASV_27	4	0.113884555382215	0	4
ASV_21	7	0.144697720515362	20	7
ASV_19	1	1	0	1
ASV_24	5	0.17741935483871	0	5
ASV_17	23	0.217441860465116	623.699781353062	23
ASV_20	17	0.209758833426809	864.519759037386	17
ASV_23	10	0.190233977619532	904.851798656345	10
ASV_29	4	0.113884555382215	0	4
ASV_31	13	0.209055338177753	1081.09399116436	13
ASV_41	6	0.217063261752757	424.836692736867	6
ASV_201	6	0.127734033245844	1347	6
ASV_51	10	0.0788762830902215	534.416666666667	10
ASV_44	1	0.125753660637382	0	1
ASV_46	1	1	0	1
ASV_30	5	0.115325316065372	558.5	5
ASV_32	4	0.196222455403987	0	4
ASV_35	2	0.0934101087651951	145	2
ASV_52	1	0.0994550408719346	0	1
ASV_43	2	0.103802386899806	0	2
ASV_36	2	0.103457814661134	0	2
ASV_33	13	0.167713004484305	4468.42052474829	13
ASV_417	2	0.75	0	2
ASV_38	10	0.0998632010943912	89.779304029304	10
ASV_50	10	0.201075268817204	618.089736316797	10
ASV_56	9	0.160102739726027	192.06862745098	9
ASV_1253	6	0.147325933400605	4861	6
ASV_34	6	0.19448777951118	233.767878362036	6
ASV_53	51	0.752475247524752	30.3304348508608	51
ASV_37	1	0.215384615384615	0	1
ASV_42	5	0.523809523809524	0.25	5
ASV_39	4	0.0852305896088733	0	4
ASV_45	21	0.231292517006803	420.980103596696	21
ASV_59	2	0.150670794633643	4800	2
ASV_48	8	0.0924635845471818	15.4076923076923	8
ASV_109	5	0.190913731495661	295.935797421095	5
ASV_58	3	0.44	0	3
ASV_40	11	0.198513800424628	293.280851065626	11
ASV_55	2	1	1	2
ASV_89	1	0.166964285714286	0	1
ASV_1365	8	0.154008438818565	4984.01587301587	8
ASV_73	11	0.251513113651648	4293.59844100219	11
ASV_57	5	0.1509890997174	78.6726676996557	5
ASV_47	60	0.826086956521739	11.3018286634183	60
ASV_82	4	0.157407407407407	9.31119144810508	4
ASV_54	13	0.211180124223602	28.6930969004094	13
ASV_75	2	0.129367001037703	0	2
ASV_76	1	1	0	1
ASV_507	6	0.241446094254358	1164.43961070701	6
ASV_61	9	0.224489795918367	1206.25426303126	9
ASV_63	9	0.245890861275477	2881.61411862141	9
ASV_1412	1	1	0	1
ASV_81	5	0.128345916266301	1084.27118484008	5
ASV_62	3	0.175834508697696	127.298799483323	3
ASV_91	13	0.147773279352227	842.467352092353	13
ASV_60	18	0.200967221923697	373.352241778531	18
ASV_71	70	0.91566265060241	26.1549541012417	70
ASV_94	18	0.247518199867637	6582.23698866574	18
ASV_88	12	0.242699545749513	1842.9435859603	12
ASV_392	7	0.230153846153846	1683.42362291152	7
ASV_83	3	0.129411764705882	7.58333333333333	3
ASV_98	7	0.172509225092251	116.997536343631	7
ASV_102	2	0.0952380952380952	145	2
ASV_300	3	0.104434907010014	145	3
ASV_157	1	1	0	1
ASV_87	1	1	0	1
ASV_125	10	0.180676328502415	1090.24498351735	10
ASV_206	1	0.121971595655806	0	1
ASV_122	2	0.183423246689554	0	2
ASV_77	63	0.853932584269663	14.6111532486526	63
ASV_95	2	0.128654970760234	0	2
ASV_85	10	0.115965051628276	1899.5	10
