z	module	p	roles	label	role_7
ASV_9	-0.95081940020557	1	0	Peripherals		ultra peripheral
ASV_417	-0.95081940020557	1	0	Peripherals		ultra peripheral
ASV_1610	-0.870785106430385	1	0	Peripherals		ultra peripheral
ASV_1413	-0.870785106430385	1	0	Peripherals		ultra peripheral
ASV_1550	-0.870785106430385	1	0	Peripherals		ultra peripheral
ASV_1567	-0.870785106430385	1	0.42	Peripherals		peripheral
ASV_1022	-0.817428910580261	1	0	Peripherals		ultra peripheral
ASV_12	0.970003650398873	1	0.588641975308642	Peripherals		peripheral
ASV_17	2.81079240722813	1	0.405063291139241	Module hubs	ASV_17	connector hub
ASV_28	1.42353131512492	1	0.54163623082542	Peripherals		peripheral
ASV_29	0.543154083597886	1	0.465494791666667	Peripherals		peripheral
ASV_201	1.31681892342467	1	0.297304106827916	Peripherals		peripheral
ASV_44	1.023359846249	1	0.383979206049149	Peripherals		peripheral
ASV_52	0.356407398122454	1	0.440786465477824	Peripherals		peripheral
ASV_1253	0.543154083597886	1	0.551477881372743	Peripherals		peripheral
ASV_55	2.30390854665196	1	0.269770408163265	Peripherals		peripheral
ASV_1365	1.3701751192748	1	0.381960191484001	Peripherals		peripheral
ASV_91	1.13007223794924	1	0.5546875	Peripherals		peripheral
ASV_88	0.623188377373071	1	0.537061362356915	Peripherals		peripheral
ASV_102	0.996681748323934	1	0.554053241992669	Peripherals		peripheral
ASV_206	1.50356560890011	1	0.405839746491625	Peripherals		peripheral
ASV_85	0.4631197898227	1	0.564981096408318	Peripherals		peripheral
ASV_78	1.18342843379937	1	0.5894775390625	Peripherals		peripheral
ASV_118	1.07671604209912	1	0.453425605536332	Peripherals		peripheral
ASV_96	1.98377137155122	1	0.509182736455464	Peripherals		peripheral
ASV_100	2.30390854665196	1	0.5534375	Peripherals		peripheral
ASV_90	2.2772304487269	1	0.380165289256198	Peripherals		peripheral
ASV_113	1.79702468607579	1	0.235	Peripherals		peripheral
ASV_1046	-0.0170859728284103	1	0.225657286299379	Peripherals		peripheral
ASV_152	2.01044946947628	1	0.42386413122369	Peripherals		peripheral
ASV_619	0.0896264188718365	1	0.400613631382862	Peripherals		peripheral
ASV_176	2.17051805702665	1	0.543236584339883	Peripherals		peripheral
ASV_169	1.31681892342467	1	0.4613037109375	Peripherals		peripheral
