"","KO","Means","SD"
"num.edges(L)","2644","2644","0"
"num.pos.edges","1680","0","0"
"num.neg.edges","964","0","0"
"num.vertices(n)","485","485","0"
"Connectance(edge_density)","0.0225270512055892","0.0225270512055892","0"
"average.degree(Average K)","10.9030927835052","10.9030927835052","0"
"average.path.length","1","2.83615849349027","0.00264752564024931"
"diameter","1","4.96","0.196946385566932"
"edge.connectivity","0","2.39","0.863338598322544"
"mean.clustering.coefficient(Average.CC)","1","0.0221224008729259","0.00167760844093334"
"no.clusters","56","1.02","0.14070529413629"
"centralization.degree","0.0249936099514356","0.023154766976229","0.0033726106337361"
"centralization.betweenness","0","0.0102501625544188","0.00191005530699364"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","2.94465184929223","-0.00433350703268769","0.042629103279187"
"the.number.of.keystone.nodes","Not.calculated","0","0"
