source,target,correlation,direct,cor
ASV_21,ASV_15,1,undirected,+
ASV_537,ASV_15,1,undirected,+
ASV_332,ASV_15,-1,undirected,-
ASV_725,ASV_15,1,undirected,+
ASV_1637,ASV_15,1,undirected,+
ASV_359,ASV_15,1,undirected,+
ASV_423,ASV_12,1,undirected,+
ASV_275,ASV_12,-1,undirected,-
ASV_674,ASV_12,1,undirected,+
ASV_706,ASV_12,1,undirected,+
ASV_438,ASV_12,1,undirected,+
ASV_774,ASV_12,1,undirected,+
ASV_82,ASV_2,-1,undirected,-
ASV_291,ASV_2,1,undirected,+
ASV_490,ASV_2,1,undirected,+
ASV_286,ASV_2,1,undirected,+
ASV_663,ASV_2,-1,undirected,-
ASV_938,ASV_2,1,undirected,+
ASV_29,ASV_27,1,undirected,+
ASV_334,ASV_27,-1,undirected,-
ASV_106,ASV_27,-1,undirected,-
ASV_269,ASV_27,-1,undirected,-
ASV_334,ASV_29,-1,undirected,-
ASV_106,ASV_29,-1,undirected,-
ASV_269,ASV_29,-1,undirected,-
ASV_537,ASV_21,1,undirected,+
ASV_332,ASV_21,-1,undirected,-
ASV_725,ASV_21,1,undirected,+
ASV_1637,ASV_21,1,undirected,+
ASV_359,ASV_21,1,undirected,+
ASV_1,ASV_201,1,undirected,+
ASV_9,ASV_201,1,undirected,+
ASV_90,ASV_201,1,undirected,+
ASV_417,ASV_201,1,undirected,+
ASV_299,ASV_201,1,undirected,+
ASV_93,ASV_201,-1,undirected,-
ASV_468,ASV_201,1,undirected,+
ASV_1003,ASV_201,1,undirected,+
ASV_229,ASV_201,-1,undirected,-
ASV_847,ASV_201,-1,undirected,-
ASV_87,ASV_112,-1,undirected,-
ASV_1035,ASV_112,-1,undirected,-
ASV_1027,ASV_112,-1,undirected,-
ASV_247,ASV_112,-1,undirected,-
ASV_164,ASV_112,-1,undirected,-
ASV_397,ASV_112,1,undirected,+
ASV_388,ASV_112,1,undirected,+
ASV_109,ASV_112,1,undirected,+
ASV_110,ASV_112,1,undirected,+
ASV_171,ASV_112,-1,undirected,-
ASV_1370,ASV_112,-1,undirected,-
ASV_950,ASV_112,-1,undirected,-
ASV_139,ASV_25,1,undirected,+
ASV_330,ASV_25,1,undirected,+
ASV_296,ASV_25,-1,undirected,-
ASV_182,ASV_25,1,undirected,+
ASV_380,ASV_25,-1,undirected,-
ASV_425,ASV_25,1,undirected,+
ASV_1335,ASV_25,-1,undirected,-
ASV_582,ASV_25,1,undirected,+
ASV_199,ASV_25,1,undirected,+
ASV_431,ASV_25,1,undirected,+
ASV_429,ASV_25,1,undirected,+
ASV_793,ASV_25,1,undirected,+
ASV_78,ASV_26,1,undirected,+
ASV_223,ASV_26,1,undirected,+
ASV_226,ASV_26,1,undirected,+
ASV_61,ASV_26,-1,undirected,-
ASV_458,ASV_26,1,undirected,+
ASV_34,ASV_26,-1,undirected,-
ASV_1611,ASV_26,1,undirected,+
ASV_277,ASV_28,1,undirected,+
ASV_462,ASV_28,-1,undirected,-
ASV_487,ASV_28,1,undirected,+
ASV_35,ASV_16,1,undirected,+
ASV_97,ASV_16,-1,undirected,-
ASV_38,ASV_16,1,undirected,+
ASV_1450,ASV_16,1,undirected,+
ASV_48,ASV_16,1,undirected,+
ASV_573,ASV_16,1,undirected,+
ASV_135,ASV_16,-1,undirected,-
ASV_140,ASV_16,1,undirected,+
ASV_1505,ASV_16,1,undirected,+
ASV_1614,ASV_16,1,undirected,+
ASV_94,ASV_16,-1,undirected,-
ASV_125,ASV_16,1,undirected,+
ASV_1209,ASV_16,1,undirected,+
ASV_437,ASV_16,-1,undirected,-
ASV_57,ASV_16,1,undirected,+
ASV_23,ASV_5,-1,undirected,-
ASV_175,ASV_5,1,undirected,+
ASV_42,ASV_5,-1,undirected,-
ASV_743,ASV_5,1,undirected,+
ASV_1314,ASV_5,-1,undirected,-
ASV_63,ASV_5,-1,undirected,-
ASV_105,ASV_5,-1,undirected,-
ASV_206,ASV_10,-1,undirected,-
ASV_37,ASV_10,1,undirected,+
ASV_130,ASV_10,-1,undirected,-
ASV_102,ASV_10,1,undirected,+
ASV_71,ASV_10,1,undirected,+
ASV_250,ASV_10,-1,undirected,-
ASV_259,ASV_10,1,undirected,+
ASV_261,ASV_10,1,undirected,+
ASV_316,ASV_10,1,undirected,+
ASV_20,ASV_10,1,undirected,+
ASV_894,ASV_10,-1,undirected,-
ASV_404,ASV_10,-1,undirected,-
ASV_551,ASV_10,-1,undirected,-
ASV_409,ASV_10,-1,undirected,-
ASV_1569,ASV_10,1,undirected,+
ASV_81,ASV_10,1,undirected,+
ASV_1652,ASV_10,1,undirected,+
ASV_440,ASV_10,1,undirected,+
ASV_306,ASV_10,1,undirected,+
ASV_372,ASV_10,1,undirected,+
ASV_285,ASV_10,1,undirected,+
ASV_131,ASV_10,1,undirected,+
ASV_503,ASV_10,-1,undirected,-
ASV_933,ASV_10,-1,undirected,-
