"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_21",6,1,0,6
"ASV_537",6,1,0,6
"ASV_332",6,1,0,6
"ASV_725",6,1,0,6
"ASV_1637",6,1,0,6
"ASV_359",6,1,0,6
"ASV_423",6,1,0,6
"ASV_275",6,1,0,6
"ASV_674",6,1,0,6
"ASV_706",6,1,0,6
"ASV_438",6,1,0,6
"ASV_774",6,1,0,6
"ASV_82",6,1,0,6
"ASV_291",6,1,0,6
"ASV_490",6,1,0,6
"ASV_286",6,1,0,6
"ASV_663",6,1,0,6
"ASV_938",6,1,0,6
"ASV_29",4,1,0,4
"ASV_334",4,1,0,4
"ASV_106",4,1,0,4
"ASV_269",4,1,0,4
"ASV_1",10,1,0,10
"ASV_9",10,1,0,10
"ASV_90",10,1,0,10
"ASV_417",10,1,0,10
"ASV_299",10,1,0,10
"ASV_93",10,1,0,10
"ASV_468",10,1,0,10
"ASV_1003",10,1,0,10
"ASV_229",10,1,0,10
"ASV_847",10,1,0,10
"ASV_87",12,1,0,12
"ASV_1035",12,1,0,12
"ASV_1027",12,1,0,12
"ASV_247",12,1,0,12
"ASV_164",12,1,0,12
"ASV_397",12,1,0,12
"ASV_388",12,1,0,12
"ASV_109",12,1,0,12
"ASV_110",12,1,0,12
"ASV_171",12,1,0,12
"ASV_1370",12,1,0,12
"ASV_950",12,1,0,12
"ASV_139",12,1,0,12
"ASV_330",12,1,0,12
"ASV_296",12,1,0,12
"ASV_182",12,1,0,12
"ASV_380",12,1,0,12
"ASV_425",12,1,0,12
"ASV_1335",12,1,0,12
"ASV_582",12,1,0,12
"ASV_199",12,1,0,12
"ASV_431",12,1,0,12
"ASV_429",12,1,0,12
"ASV_793",12,1,0,12
"ASV_78",7,1,0,7
"ASV_223",7,1,0,7
"ASV_226",7,1,0,7
"ASV_61",7,1,0,7
"ASV_458",7,1,0,7
"ASV_34",7,1,0,7
"ASV_1611",7,1,0,7
"ASV_277",3,1,0,3
"ASV_462",3,1,0,3
"ASV_487",3,1,0,3
"ASV_35",15,1,0,15
"ASV_97",15,1,0,15
"ASV_38",15,1,0,15
"ASV_1450",15,1,0,15
"ASV_48",15,1,0,15
"ASV_573",15,1,0,15
"ASV_135",15,1,0,15
"ASV_140",15,1,0,15
"ASV_1505",15,1,0,15
"ASV_1614",15,1,0,15
"ASV_94",15,1,0,15
"ASV_125",15,1,0,15
"ASV_1209",15,1,0,15
"ASV_437",15,1,0,15
"ASV_57",15,1,0,15
"ASV_23",7,1,0,7
"ASV_175",7,1,0,7
"ASV_42",7,1,0,7
"ASV_743",7,1,0,7
"ASV_1314",7,1,0,7
"ASV_63",7,1,0,7
"ASV_105",7,1,0,7
"ASV_206",35,1,0,35
"ASV_37",35,1,0,35
"ASV_130",35,1,0,35
"ASV_102",35,1,0,35
"ASV_71",35,1,0,35
"ASV_250",35,1,0,35
"ASV_259",35,1,0,35
"ASV_261",35,1,0,35
"ASV_316",35,1,0,35
"ASV_20",35,1,0,35
"ASV_894",35,1,0,35
"ASV_404",35,1,0,35
"ASV_551",35,1,0,35
"ASV_409",35,1,0,35
"ASV_1569",35,1,0,35
"ASV_81",35,1,0,35
"ASV_1652",35,1,0,35
"ASV_440",35,1,0,35
"ASV_306",35,1,0,35
"ASV_372",35,1,0,35
"ASV_285",35,1,0,35
"ASV_131",35,1,0,35
"ASV_503",35,1,0,35
"ASV_933",35,1,0,35
"ASV_209",35,1,0,35
"ASV_494",35,1,0,35
"ASV_145",35,1,0,35
"ASV_1570",35,1,0,35
"ASV_243",35,1,0,35
"ASV_1230",35,1,0,35
"ASV_1022",35,1,0,35
"ASV_722",35,1,0,35
"ASV_190",35,1,0,35
"ASV_565",35,1,0,35
"ASV_208",35,1,0,35
"ASV_84",18,1,0,18
"ASV_49",18,1,0,18
"ASV_249",18,1,0,18
"ASV_14",18,1,0,18
"ASV_32",18,1,0,18
"ASV_172",18,1,0,18
"ASV_1553",18,1,0,18
"ASV_241",18,1,0,18
"ASV_86",18,1,0,18
"ASV_196",18,1,0,18
"ASV_89",18,1,0,18
"ASV_72",18,1,0,18
"ASV_267",18,1,0,18
"ASV_210",18,1,0,18
"ASV_24",18,1,0,18
"ASV_62",18,1,0,18
"ASV_586",18,1,0,18
"ASV_436",18,1,0,18
"ASV_375",2,1,0,2
"ASV_362",2,1,0,2
"ASV_800",7,1,0,7
"ASV_141",7,1,0,7
"ASV_364",7,1,0,7
"ASV_498",7,1,0,7
"ASV_771",7,1,0,7
"ASV_929",7,1,0,7
"ASV_534",7,1,0,7
"ASV_113",9,1,0,9
"ASV_481",9,1,0,9
"ASV_475",9,1,0,9
"ASV_138",9,1,0,9
"ASV_255",9,1,0,9
"ASV_126",9,1,0,9
"ASV_576",9,1,0,9
"ASV_392",9,1,0,9
"ASV_542",9,1,0,9
"ASV_75",8,1,0,8
"ASV_1582",8,1,0,8
"ASV_629",8,1,0,8
"ASV_507",8,1,0,8
"ASV_1240",8,1,0,8
"ASV_492",8,1,0,8
"ASV_631",8,1,0,8
"ASV_7",8,1,0,8
"ASV_1412",9,1,0,9
"ASV_50",9,1,0,9
"ASV_276",9,1,0,9
"ASV_398",9,1,0,9
"ASV_159",9,1,0,9
"ASV_524",9,1,0,9
"ASV_895",9,1,0,9
"ASV_525",9,1,0,9
"ASV_213",9,1,0,9
"ASV_148",3,1,0,3
"ASV_192",3,1,0,3
"ASV_188",3,1,0,3
"ASV_187",5,1,0,5
"ASV_408",5,1,0,5
"ASV_353",5,1,0,5
"ASV_636",5,1,0,5
"ASV_650",5,1,0,5
"ASV_867",5,1,0,5
"ASV_412",5,1,0,5
"ASV_730",5,1,0,5
"ASV_1031",5,1,0,5
"ASV_441",5,1,0,5
"ASV_203",12,1,0,12
"ASV_413",12,1,0,12
"ASV_333",12,1,0,12
"ASV_236",12,1,0,12
"ASV_488",12,1,0,12
