source,target,correlation,direct,cor
ASV_9,ASV_1,1,undirected,+
ASV_417,ASV_1,1,undirected,+
ASV_37,ASV_1,1,undirected,+
ASV_274,ASV_1,-1,undirected,-
ASV_1413,ASV_1,1,undirected,+
ASV_1022,ASV_1,1,undirected,+
ASV_652,ASV_1,-1,undirected,-
ASV_867,ASV_1,-1,undirected,-
ASV_174,ASV_3,1,undirected,+
ASV_121,ASV_3,-1,undirected,-
ASV_139,ASV_3,-1,undirected,-
ASV_184,ASV_3,1,undirected,+
ASV_247,ASV_3,-1,undirected,-
ASV_241,ASV_3,1,undirected,+
ASV_199,ASV_3,-1,undirected,-
ASV_262,ASV_3,-1,undirected,-
ASV_364,ASV_3,-1,undirected,-
ASV_304,ASV_3,-1,undirected,-
ASV_673,ASV_3,1,undirected,+
ASV_362,ASV_3,1,undirected,+
ASV_1486,ASV_3,-1,undirected,-
ASV_298,ASV_3,-1,undirected,-
ASV_539,ASV_3,-1,undirected,-
ASV_1424,ASV_3,-1,undirected,-
ASV_566,ASV_3,-1,undirected,-
ASV_16,ASV_19,-1,undirected,-
ASV_23,ASV_19,-1,undirected,-
ASV_286,ASV_19,-1,undirected,-
ASV_131,ASV_19,-1,undirected,-
ASV_104,ASV_19,-1,undirected,-
ASV_268,ASV_19,-1,undirected,-
ASV_192,ASV_19,1,undirected,+
ASV_257,ASV_19,-1,undirected,-
ASV_148,ASV_19,1,undirected,+
ASV_218,ASV_19,-1,undirected,-
ASV_120,ASV_19,-1,undirected,-
ASV_108,ASV_19,-1,undirected,-
ASV_531,ASV_19,-1,undirected,-
ASV_1637,ASV_19,1,undirected,+
ASV_524,ASV_19,-1,undirected,-
ASV_834,ASV_19,-1,undirected,-
ASV_285,ASV_19,1,undirected,+
ASV_190,ASV_19,-1,undirected,-
ASV_425,ASV_19,1,undirected,+
ASV_307,ASV_19,1,undirected,+
ASV_607,ASV_19,-1,undirected,-
ASV_518,ASV_19,1,undirected,+
ASV_526,ASV_19,1,undirected,+
ASV_667,ASV_19,-1,undirected,-
ASV_581,ASV_19,-1,undirected,-
ASV_417,ASV_9,1,undirected,+
ASV_37,ASV_9,1,undirected,+
ASV_274,ASV_9,-1,undirected,-
ASV_1413,ASV_9,1,undirected,+
ASV_1022,ASV_9,1,undirected,+
ASV_652,ASV_9,-1,undirected,-
ASV_867,ASV_9,-1,undirected,-
ASV_74,ASV_2,-1,undirected,-
ASV_1253,ASV_2,1,undirected,+
ASV_1450,ASV_2,-1,undirected,-
ASV_1610,ASV_2,-1,undirected,-
ASV_211,ASV_2,1,undirected,+
ASV_76,ASV_2,-1,undirected,-
ASV_350,ASV_2,1,undirected,+
ASV_341,ASV_2,-1,undirected,-
ASV_388,ASV_2,-1,undirected,-
ASV_1238,ASV_2,-1,undirected,-
ASV_107,ASV_26,1,undirected,+
ASV_293,ASV_26,1,undirected,+
ASV_105,ASV_26,-1,undirected,-
ASV_885,ASV_26,1,undirected,+
ASV_1652,ASV_26,-1,undirected,-
ASV_203,ASV_8,-1,undirected,-
ASV_299,ASV_8,-1,undirected,-
ASV_296,ASV_8,-1,undirected,-
ASV_5,ASV_8,1,undirected,+
ASV_1629,ASV_8,1,undirected,+
ASV_572,ASV_8,1,undirected,+
ASV_529,ASV_8,1,undirected,+
ASV_474,ASV_8,1,undirected,+
ASV_398,ASV_8,1,undirected,+
ASV_1499,ASV_8,1,undirected,+
ASV_28,ASV_12,-1,undirected,-
ASV_201,ASV_12,1,undirected,+
ASV_21,ASV_12,-1,undirected,-
ASV_20,ASV_12,-1,undirected,-
ASV_48,ASV_12,-1,undirected,-
ASV_1412,ASV_12,-1,undirected,-
ASV_173,ASV_12,1,undirected,+
ASV_154,ASV_12,1,undirected,+
ASV_1046,ASV_12,1,undirected,+
ASV_283,ASV_12,1,undirected,+
ASV_490,ASV_12,1,undirected,+
ASV_287,ASV_12,1,undirected,+
ASV_236,ASV_12,1,undirected,+
ASV_938,ASV_12,1,undirected,+
ASV_1446,ASV_12,-1,undirected,-
ASV_1027,ASV_12,-1,undirected,-
ASV_412,ASV_12,1,undirected,+
ASV_894,ASV_12,1,undirected,+
ASV_1605,ASV_12,-1,undirected,-
ASV_944,ASV_12,-1,undirected,-
ASV_34,ASV_12,-1,undirected,-
ASV_353,ASV_12,-1,undirected,-
ASV_545,ASV_12,-1,undirected,-
ASV_437,ASV_12,-1,undirected,-
ASV_586,ASV_12,1,undirected,+
ASV_119,ASV_6,-1,undirected,-
ASV_128,ASV_6,1,undirected,+
ASV_357,ASV_6,-1,undirected,-
ASV_117,ASV_6,1,undirected,+
ASV_282,ASV_6,1,undirected,+
ASV_493,ASV_6,1,undirected,+
ASV_503,ASV_6,1,undirected,+
ASV_47,ASV_6,-1,undirected,-
ASV_560,ASV_6,-1,undirected,-
ASV_23,ASV_16,1,undirected,+
ASV_286,ASV_16,1,undirected,+
ASV_131,ASV_16,1,undirected,+
ASV_104,ASV_16,1,undirected,+
ASV_268,ASV_16,1,undirected,+
ASV_192,ASV_16,-1,undirected,-
ASV_257,ASV_16,1,undirected,+
ASV_148,ASV_16,-1,undirected,-
ASV_218,ASV_16,1,undirected,+
ASV_120,ASV_16,1,undirected,+
ASV_108,ASV_16,1,undirected,+
ASV_531,ASV_16,1,undirected,+
