"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_9",8,1,0,8
"ASV_417",8,1,0,8
"ASV_37",8,1,0,8
"ASV_274",8,1,0,8
"ASV_1413",8,1,0,8
"ASV_1022",8,1,0,8
"ASV_652",8,1,0,8
"ASV_867",8,1,0,8
"ASV_174",17,1,0,17
"ASV_121",17,1,0,17
"ASV_139",17,1,0,17
"ASV_184",17,1,0,17
"ASV_247",17,1,0,17
"ASV_241",17,1,0,17
"ASV_199",17,1,0,17
"ASV_262",17,1,0,17
"ASV_364",17,1,0,17
"ASV_304",17,1,0,17
"ASV_673",17,1,0,17
"ASV_362",17,1,0,17
"ASV_1486",17,1,0,17
"ASV_298",17,1,0,17
"ASV_539",17,1,0,17
"ASV_1424",17,1,0,17
"ASV_566",17,1,0,17
"ASV_16",25,1,0,25
"ASV_23",25,1,0,25
"ASV_286",25,1,0,25
"ASV_131",25,1,0,25
"ASV_104",25,1,0,25
"ASV_268",25,1,0,25
"ASV_192",25,1,0,25
"ASV_257",25,1,0,25
"ASV_148",25,1,0,25
"ASV_218",25,1,0,25
"ASV_120",25,1,0,25
"ASV_108",25,1,0,25
"ASV_531",25,1,0,25
"ASV_1637",25,1,0,25
"ASV_524",25,1,0,25
"ASV_834",25,1,0,25
"ASV_285",25,1,0,25
"ASV_190",25,1,0,25
"ASV_425",25,1,0,25
"ASV_307",25,1,0,25
"ASV_607",25,1,0,25
"ASV_518",25,1,0,25
"ASV_526",25,1,0,25
"ASV_667",25,1,0,25
"ASV_581",25,1,0,25
"ASV_74",10,1,0,10
"ASV_1253",10,1,0,10
"ASV_1450",10,1,0,10
"ASV_1610",10,1,0,10
"ASV_211",10,1,0,10
"ASV_76",10,1,0,10
"ASV_350",10,1,0,10
"ASV_341",10,1,0,10
"ASV_388",10,1,0,10
"ASV_1238",10,1,0,10
"ASV_107",5,1,0,5
"ASV_293",5,1,0,5
"ASV_105",5,1,0,5
"ASV_885",5,1,0,5
"ASV_1652",5,1,0,5
"ASV_203",10,1,0,10
"ASV_299",10,1,0,10
"ASV_296",10,1,0,10
"ASV_5",10,1,0,10
"ASV_1629",10,1,0,10
"ASV_572",10,1,0,10
"ASV_529",10,1,0,10
"ASV_474",10,1,0,10
"ASV_398",10,1,0,10
"ASV_1499",10,1,0,10
"ASV_28",25,1,0,25
"ASV_201",25,1,0,25
"ASV_21",25,1,0,25
"ASV_20",25,1,0,25
"ASV_48",25,1,0,25
"ASV_1412",25,1,0,25
"ASV_173",25,1,0,25
"ASV_154",25,1,0,25
"ASV_1046",25,1,0,25
"ASV_283",25,1,0,25
