"","KO","Means","SD"
"num.edges(L)","5205","5205","0"
"num.pos.edges","3975","0","0"
"num.neg.edges","1230","0","0"
"num.vertices(n)","477","477","0"
"Connectance(edge_density)","0.0458485280904815","0.0458485280904815","0"
"average.degree(Average K)","21.8238993710692","21.8238993710692","0"
"average.path.length","1","2.30508632383771","0.00134536288006663"
"diameter","1","3.25","0.435194139889245"
"edge.connectivity","0","9.68","1.37715854445509"
"mean.clustering.coefficient(Average.CC)","1","0.0457074514366521","0.00119274106913936"
"no.clusters","53","1","0"
"centralization.degree","0.0549918080439723","0.0322607156069975","0.00479976411851103"
"centralization.betweenness","0","0.00492954198091504","0.000966933242810928"
"centralization.closeness","0","0.0939979966805778","0.0107970956319988"
"RM(relative.modularity)","4.68969770696961","0.00874834485433668","0.0359564584722655"
"the.number.of.keystone.nodes","Not.calculated","0","0"
