"","KO","Means","SD"
"num.edges(L)","2743","2743","0"
"num.pos.edges","1360","0","0"
"num.neg.edges","1383","0","0"
"num.vertices(n)","491","491","0"
"Connectance(edge_density)","0.0228022777339042","0.0228022777339042","0"
"average.degree(Average K)","11.173116089613","11.173116089613","0"
"average.path.length","1","2.81775928466922","0.0028870655964637"
"diameter","1","4.89","0.31446603773522"
"edge.connectivity","0","2.63","0.89504810547317"
"mean.clustering.coefficient(Average.CC)","1","0.0228474590530544","0.00166167255568725"
"no.clusters","56","1.02","0.14070529413629"
"centralization.degree","0.0363813957354836","0.0226467018579326","0.00304026356384823"
"centralization.betweenness","0","0.00975684740724419","0.00171593450109679"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","3.19203798139002","-0.000656113361900423","0.0422750283338633"
"the.number.of.keystone.nodes","Not.calculated","0","0"
