"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_350",5,1,0,5
"ASV_453",5,1,0,5
"ASV_633",5,1,0,5
"ASV_653",5,1,0,5
"ASV_651",5,1,0,5
"ASV_50",19,1,0,19
"ASV_34",19,1,0,19
"ASV_417",19,1,0,19
"ASV_222",19,1,0,19
"ASV_240",19,1,0,19
"ASV_255",19,1,0,19
"ASV_37",19,1,0,19
"ASV_487",19,1,0,19
"ASV_231",19,1,0,19
"ASV_1526",19,1,0,19
"ASV_1407",19,1,0,19
"ASV_244",19,1,0,19
"ASV_709",19,1,0,19
"ASV_714",19,1,0,19
"ASV_860",19,1,0,19
"ASV_1063",19,1,0,19
"ASV_643",19,1,0,19
"ASV_1193",19,1,0,19
"ASV_531",19,1,0,19
"ASV_97",19,1,0,19
"ASV_25",19,1,0,19
"ASV_191",19,1,0,19
"ASV_74",19,1,0,19
"ASV_150",19,1,0,19
"ASV_44",19,1,0,19
"ASV_1582",19,1,0,19
"ASV_515",19,1,0,19
"ASV_359",19,1,0,19
"ASV_563",19,1,0,19
"ASV_296",19,1,0,19
"ASV_516",19,1,0,19
"ASV_681",19,1,0,19
"ASV_1550",19,1,0,19
"ASV_597",19,1,0,19
"ASV_670",19,1,0,19
"ASV_831",19,1,0,19
"ASV_471",19,1,0,19
"ASV_277",19,1,0,19
"ASV_154",9,1,0,9
"ASV_121",9,1,0,9
"ASV_30",9,1,0,9
"ASV_362",9,1,0,9
"ASV_385",9,1,0,9
"ASV_438",9,1,0,9
"ASV_498",9,1,0,9
"ASV_578",9,1,0,9
"ASV_448",9,1,0,9
"ASV_57",1,1,0,1
"ASV_230",14,1,0,14
"ASV_377",14,1,0,14
"ASV_235",14,1,0,14
"ASV_601",14,1,0,14
"ASV_368",14,1,0,14
"ASV_400",14,1,0,14
"ASV_205",14,1,0,14
"ASV_446",14,1,0,14
"ASV_341",14,1,0,14
"ASV_372",14,1,0,14
"ASV_439",14,1,0,14
"ASV_848",14,1,0,14
"ASV_55",14,1,0,14
"ASV_1450",14,1,0,14
"ASV_220",2,1,0,2
"ASV_422",2,1,0,2
"ASV_94",22,1,0,22
"ASV_46",22,1,0,22
"ASV_266",22,1,0,22
"ASV_117",22,1,0,22
"ASV_388",22,1,0,22
"ASV_183",22,1,0,22
"ASV_354",22,1,0,22
"ASV_421",22,1,0,22
"ASV_484",22,1,0,22
"ASV_167",22,1,0,22
"ASV_187",22,1,0,22
"ASV_1549",22,1,0,22
"ASV_384",22,1,0,22
"ASV_562",22,1,0,22
"ASV_374",22,1,0,22
"ASV_179",22,1,0,22
"ASV_357",22,1,0,22
"ASV_489",22,1,0,22
"ASV_558",22,1,0,22
"ASV_451",22,1,0,22
"ASV_704",22,1,0,22
"ASV_342",22,1,0,22
"ASV_22",10,1,0,10
"ASV_123",10,1,0,10
"ASV_122",10,1,0,10
"ASV_75",10,1,0,10
"ASV_171",10,1,0,10
"ASV_120",10,1,0,10
"ASV_306",10,1,0,10
"ASV_312",10,1,0,10
"ASV_595",10,1,0,10
"ASV_587",10,1,0,10
"ASV_125",5,1,0,5
"ASV_174",5,1,0,5
"ASV_85",5,1,0,5
"ASV_62",5,1,0,5
"ASV_741",5,1,0,5
"ASV_281",3,1,0,3
"ASV_804",3,1,0,3
"ASV_824",3,1,0,3
"ASV_288",7,1,0,7
"ASV_1412",7,1,0,7
