"","KO","Means","SD"
"num.edges(L)","2615","2615","0"
"num.pos.edges","1433","0","0"
"num.neg.edges","1182","0","0"
"num.vertices(n)","495","495","0"
"Connectance(edge_density)","0.0213879687563898","0.0213879687563898","0"
"average.degree(Average K)","10.5656565656566","10.5656565656566","0"
"average.path.length","1","2.87659085255989","0.00301835151423495"
"diameter","1","5","0"
"edge.connectivity","0","2.17","0.792069275615294"
"mean.clustering.coefficient(Average.CC)","1","0.0213758038906238","0.00162052407621648"
"no.clusters","61","1.03","0.171446607997765"
"centralization.degree","0.0271950271950272","0.0216079826606143","0.0025913998100912"
"centralization.betweenness","0","0.0100550312650589","0.00154965894706627"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","3.21936320658742","-0.000510939625050838","0.0442763526076007"
"the.number.of.keystone.nodes","Not.calculated","0","0"
