"","HDA","HDB","HDC","MDA","MDB","MDC","NCA","NCB","NCC"
"num.edges(L)","2644","2751","2544","3051","2410","5205","2743","2538","2615"
"num.pos.edges","1680","1515","1351","1634","1291","3975","1360","1328","1433"
"num.neg.edges","964","1236","1193","1417","1119","1230","1383","1210","1182"
"num.vertices(n)","485","489","490","487","484","477","491","494","495"
"Connectance(edge_density)","0.0225270512055892","0.0230564216031379","0.0212345060723676","0.025781428245494","0.0206183803021748","0.0458485280904815","0.0228022777339042","0.0208424009000501","0.0213879687563898"
"average.degree(Average K)","10.9030927835052","11.2515337423313","10.3836734693878","12.5297741273101","9.95867768595041","21.8238993710692","11.173116089613","10.2753036437247","10.5656565656566"
"average.path.length","1","1","1","1","1","1","1","1","1"
"diameter","1","1","1","1","1","1","1","1","1"
"edge.connectivity","0","0","0","0","0","0","0","0","0"
"mean.clustering.coefficient(Average.CC)","1","1","1","1","1","1","1","1","1"
"no.clusters","56","54","60","53","60","53","56","59","61"
"centralization.degree","0.0249936099514356","0.0322714472493211","0.0503401360544218","0.025658900972613","0.0228598805673904","0.0549918080439723","0.0363813957354836","0.0237823455502542","0.0271950271950272"
"centralization.betweenness","0","0","0","0","0","0","0","0","0"
"centralization.closeness","0","0","0","0","0","0","0","0","0"
"RM(relative.modularity)","3.39805414049295","3.3903821960335","2.72910491941837","3.53095389366842","2.99695245849588","4.59044257299198","3.06961014144298","3.10610978523466","2.93953074905979"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated"
