"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1253",10,1,0,10
"ASV_1365",10,1,0,10
"ASV_149",10,1,0,10
"ASV_1553",10,1,0,10
"ASV_324",10,1,0,10
"ASV_174",10,1,0,10
"ASV_277",10,1,0,10
"ASV_432",10,1,0,10
"ASV_410",10,1,0,10
"ASV_382",10,1,0,10
"ASV_1",10,1,0,10
"ASV_9",10,1,0,10
"ASV_1412",10,1,0,10
"ASV_1497",10,1,0,10
"ASV_98",10,1,0,10
"ASV_275",10,1,0,10
"ASV_182",10,1,0,10
"ASV_189",10,1,0,10
"ASV_649",10,1,0,10
"ASV_514",10,1,0,10
"ASV_201",10,1,0,10
"ASV_290",10,1,0,10
"ASV_167",10,1,0,10
"ASV_114",10,1,0,10
"ASV_159",10,1,0,10
"ASV_1582",10,1,0,10
"ASV_158",10,1,0,10
"ASV_468",10,1,0,10
"ASV_677",10,1,0,10
"ASV_730",10,1,0,10
"ASV_36",7,1,0,7
"ASV_19",7,1,0,7
"ASV_223",7,1,0,7
"ASV_493",7,1,0,7
"ASV_462",7,1,0,7
"ASV_1611",7,1,0,7
"ASV_1370",7,1,0,7
"ASV_6",26,1,0,26
"ASV_10",26,1,0,26
"ASV_38",26,1,0,26
"ASV_48",26,1,0,26
"ASV_33",26,1,0,26
"ASV_250",26,1,0,26
"ASV_81",26,1,0,26
"ASV_1035",26,1,0,26
"ASV_252",26,1,0,26
"ASV_263",26,1,0,26
"ASV_1027",26,1,0,26
"ASV_260",26,1,0,26
"ASV_196",26,1,0,26
"ASV_214",26,1,0,26
"ASV_332",26,1,0,26
"ASV_1454",26,1,0,26
"ASV_483",26,1,0,26
"ASV_315",26,1,0,26
"ASV_304",26,1,0,26
"ASV_750",26,1,0,26
"ASV_923",26,1,0,26
"ASV_407",26,1,0,26
"ASV_1111",26,1,0,26
"ASV_487",26,1,0,26
"ASV_152",26,1,0,26
"ASV_582",26,1,0,26
"ASV_13",13,1,0,13
"ASV_44",13,1,0,13
"ASV_59",13,1,0,13
"ASV_49",13,1,0,13
"ASV_110",13,1,0,13
"ASV_308",13,1,0,13
"ASV_245",13,1,0,13
"ASV_199",13,1,0,13
"ASV_1209",13,1,0,13
"ASV_1613",13,1,0,13
"ASV_34",13,1,0,13
"ASV_474",13,1,0,13
"ASV_436",13,1,0,13
"ASV_305",10,1,0,10
"ASV_1141",10,1,0,10
"ASV_1491",10,1,0,10
"ASV_72",10,1,0,10
"ASV_258",10,1,0,10
"ASV_531",10,1,0,10
"ASV_1488",10,1,0,10
"ASV_403",10,1,0,10
"ASV_1548",10,1,0,10
"ASV_526",10,1,0,10
"ASV_113",2,1,0,2
"ASV_311",2,1,0,2
"ASV_97",4,1,0,4
"ASV_154",4,1,0,4
"ASV_635",4,1,0,4
"ASV_586",4,1,0,4
"ASV_21",13,1,0,13
"ASV_959",13,1,0,13
"ASV_231",13,1,0,13
"ASV_268",13,1,0,13
"ASV_255",13,1,0,13
"ASV_24",13,1,0,13
"ASV_629",13,1,0,13
"ASV_351",13,1,0,13
"ASV_251",13,1,0,13
"ASV_297",13,1,0,13
"ASV_604",13,1,0,13
"ASV_266",13,1,0,13
"ASV_545",13,1,0,13
"ASV_29",10,1,0,10
"ASV_32",10,1,0,10
"ASV_188",10,1,0,10
"ASV_22",10,1,0,10
"ASV_312",10,1,0,10
"ASV_420",10,1,0,10
"ASV_354",10,1,0,10
"ASV_31",10,1,0,10
"ASV_1549",10,1,0,10
"ASV_441",10,1,0,10
"ASV_23",8,1,0,8
"ASV_41",8,1,0,8
"ASV_104",8,1,0,8
"ASV_173",8,1,0,8
"ASV_144",8,1,0,8
"ASV_1550",8,1,0,8
"ASV_329",8,1,0,8
"ASV_581",8,1,0,8
"ASV_272",10,1,0,10
"ASV_1446",10,1,0,10
"ASV_216",10,1,0,10
"ASV_171",10,1,0,10
"ASV_123",10,1,0,10
"ASV_492",10,1,0,10
"ASV_240",10,1,0,10
"ASV_494",10,1,0,10
"ASV_235",10,1,0,10
"ASV_318",10,1,0,10
"ASV_54",9,1,0,9
"ASV_130",9,1,0,9
"ASV_276",9,1,0,9
"ASV_800",9,1,0,9
"ASV_179",9,1,0,9
"ASV_1240",9,1,0,9
"ASV_597",9,1,0,9
"ASV_670",9,1,0,9
"ASV_769",9,1,0,9
"ASV_90",10,1,0,10
"ASV_11",10,1,0,10
"ASV_93",10,1,0,10
"ASV_1054",10,1,0,10
"ASV_1629",10,1,0,10
"ASV_397",10,1,0,10
"ASV_61",10,1,0,10
"ASV_412",10,1,0,10
"ASV_557",10,1,0,10
"ASV_563",10,1,0,10
"ASV_1046",8,1,0,8
"ASV_39",8,1,0,8
"ASV_253",8,1,0,8
"ASV_1440",8,1,0,8
"ASV_296",8,1,0,8
"ASV_273",8,1,0,8
"ASV_1318",8,1,0,8
"ASV_42",8,1,0,8
"ASV_37",9,1,0,9
"ASV_71",9,1,0,9
"ASV_269",9,1,0,9
"ASV_1147",9,1,0,9
"ASV_1554",9,1,0,9
"ASV_364",9,1,0,9
"ASV_834",9,1,0,9
"ASV_1337",9,1,0,9
"ASV_47",9,1,0,9
"ASV_57",9,1,0,9
"ASV_119",9,1,0,9
"ASV_20",9,1,0,9
"ASV_236",9,1,0,9
"ASV_148",9,1,0,9
"ASV_349",9,1,0,9
"ASV_73",9,1,0,9
"ASV_470",9,1,0,9
"ASV_652",9,1,0,9
"ASV_118",14,1,0,14
"ASV_68",14,1,0,14
"ASV_309",14,1,0,14
"ASV_377",14,1,0,14
"ASV_145",14,1,0,14
"ASV_249",14,1,0,14
"ASV_131",14,1,0,14
"ASV_402",14,1,0,14
"ASV_209",14,1,0,14
"ASV_60",14,1,0,14
"ASV_520",14,1,0,14
"ASV_495",14,1,0,14
"ASV_440",14,1,0,14
"ASV_392",14,1,0,14
"ASV_573",5,1,0,5
"ASV_227",5,1,0,5
"ASV_929",5,1,0,5
"ASV_1501",5,1,0,5
"ASV_486",5,1,0,5
"ASV_1505",6,1,0,6
"ASV_554",6,1,0,6
"ASV_86",6,1,0,6
"ASV_1238",6,1,0,6
"ASV_1601",6,1,0,6
"ASV_1272",6,1,0,6
"ASV_96",20,1,0,20
"ASV_233",20,1,0,20
"ASV_51",20,1,0,20
"ASV_134",20,1,0,20
"ASV_283",20,1,0,20
"ASV_135",20,1,0,20
"ASV_84",20,1,0,20
"ASV_239",20,1,0,20
"ASV_594",20,1,0,20
"ASV_379",20,1,0,20
"ASV_398",20,1,0,20
"ASV_254",20,1,0,20
"ASV_180",20,1,0,20
"ASV_314",20,1,0,20
"ASV_334",20,1,0,20
"ASV_551",20,1,0,20
"ASV_380",20,1,0,20
"ASV_435",20,1,0,20
"ASV_894",20,1,0,20
"ASV_564",20,1,0,20
"ASV_74",7,1,0,7
"ASV_187",7,1,0,7
"ASV_162",7,1,0,7
"ASV_360",7,1,0,7
"ASV_458",7,1,0,7
"ASV_524",7,1,0,7
"ASV_726",7,1,0,7
"ASV_138",5,1,0,5
"ASV_656",5,1,0,5
"ASV_125",5,1,0,5
"ASV_1479",5,1,0,5
"ASV_330",5,1,0,5
"ASV_95",14,1,0,14
"ASV_137",14,1,0,14
"ASV_1364",14,1,0,14
"ASV_139",14,1,0,14
"ASV_328",14,1,0,14
"ASV_198",14,1,0,14
"ASV_967",14,1,0,14
"ASV_530",14,1,0,14
"ASV_372",14,1,0,14
"ASV_386",14,1,0,14
"ASV_637",14,1,0,14
"ASV_299",14,1,0,14
"ASV_720",14,1,0,14
"ASV_384",14,1,0,14
