"","KO","Means","SD"
"num.edges(L)","2410","2410","0"
"num.pos.edges","1291","0","0"
"num.neg.edges","1119","0","0"
"num.vertices(n)","484","484","0"
"Connectance(edge_density)","0.0206183803021748","0.0206183803021748","0"
"average.degree(Average K)","9.95867768595041","9.95867768595041","0"
"average.path.length","1","2.93055066670273","0.00358930735115499"
"diameter","1","5.01","0.1"
"edge.connectivity","0","2.09","0.668104510060841"
"mean.clustering.coefficient(Average.CC)","1","0.0204340788167247","0.0017543491617151"
"no.clusters","60","1.01","0.1"
"centralization.degree","0.0228598805673904","0.0220524271512413","0.00294118366573312"
"centralization.betweenness","0","0.0112134549703244","0.00203942722400919"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","2.84168375397446","0.00502810205343441","0.0477160890833767"
"the.number.of.keystone.nodes","Not.calculated","0","0"
