"z","module","p","roles","label","role_7"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"6",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"1",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
