"","KO","Means","SD"
"num.edges(L)","5205","5205","0"
"num.pos.edges","3975","0","0"
"num.neg.edges","1230","0","0"
"num.vertices(n)","477","477","0"
"Connectance(edge_density)","0.0458485280904815","0.0458485280904815","0"
"average.degree(Average K)","21.8238993710692","21.8238993710692","0"
"average.path.length","1","2.30519264309497","0.0011486659725381"
"diameter","1","3.31","0.464823198711732"
"edge.connectivity","0","9.28","1.34899888057699"
"mean.clustering.coefficient(Average.CC)","1","0.045767644928381","0.0011202985884262"
"no.clusters","53","1","0"
"centralization.degree","0.0549918080439723","0.031252312245653","0.00381811782464319"
"centralization.betweenness","0","0.00474660970501294","0.000725247523852386"
"centralization.closeness","0","0.0918256275837609","0.00905390144428666"
"RM(relative.modularity)","5.00919828902567","0.0108028256731412","0.0451539072882229"
"the.number.of.keystone.nodes","Not.calculated","0","0"
