"","KO","Means","SD"
"num.edges(L)","2743","2743","0"
"num.pos.edges","1360","0","0"
"num.neg.edges","1383","0","0"
"num.vertices(n)","491","491","0"
"Connectance(edge_density)","0.0228022777339042","0.0228022777339042","0"
"average.degree(Average K)","11.173116089613","11.173116089613","0"
"average.path.length","1","2.81765249215651","0.00228867469942079"
"diameter","1","4.85","0.358870281282637"
"edge.connectivity","0","2.67","0.817176711475418"
"mean.clustering.coefficient(Average.CC)","1","0.0228015729642554","0.00131972100336268"
"no.clusters","56","1.02","0.14070529413629"
"centralization.degree","0.0363813957354836","0.0237691508375244","0.00344901679497"
"centralization.betweenness","0","0.0102436769802979","0.00192360245215306"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","3.22079798536614","-0.00417336792519651","0.0480967664861118"
"the.number.of.keystone.nodes","Not.calculated","0","0"
