"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_45",8,1,0,8
"ASV_9",8,1,0,8
"ASV_11",8,1,0,8
"ASV_30",8,1,0,8
"ASV_148",8,1,0,8
"ASV_516",8,1,0,8
"ASV_671",8,1,0,8
"ASV_452",8,1,0,8
"ASV_10",16,1,0,16
"ASV_216",16,1,0,16
"ASV_1658",16,1,0,16
"ASV_157",16,1,0,16
"ASV_354",16,1,0,16
"ASV_505",16,1,0,16
"ASV_484",16,1,0,16
"ASV_563",16,1,0,16
"ASV_644",16,1,0,16
"ASV_522",16,1,0,16
"ASV_142",16,1,0,16
"ASV_515",16,1,0,16
"ASV_272",16,1,0,16
"ASV_134",16,1,0,16
"ASV_738",16,1,0,16
"ASV_166",16,1,0,16
"ASV_33",29,1,0,29
"ASV_104",29,1,0,29
"ASV_98",29,1,0,29
"ASV_94",29,1,0,29
"ASV_377",29,1,0,29
"ASV_199",29,1,0,29
"ASV_1054",29,1,0,29
"ASV_268",29,1,0,29
"ASV_269",29,1,0,29
"ASV_139",29,1,0,29
"ASV_182",29,1,0,29
"ASV_1071",29,1,0,29
"ASV_240",29,1,0,29
"ASV_938",29,1,0,29
"ASV_382",29,1,0,29
"ASV_587",29,1,0,29
"ASV_1297",29,1,0,29
"ASV_565",29,1,0,29
"ASV_529",29,1,0,29
"ASV_419",29,1,0,29
"ASV_767",29,1,0,29
"ASV_642",29,1,0,29
"ASV_487",29,1,0,29
"ASV_378",29,1,0,29
"ASV_807",29,1,0,29
"ASV_1272",29,1,0,29
"ASV_126",29,1,0,29
"ASV_402",29,1,0,29
"ASV_114",29,1,0,29
"ASV_16",6,1,0,6
"ASV_82",6,1,0,6
"ASV_25",6,1,0,6
"ASV_678",6,1,0,6
"ASV_877",6,1,0,6
"ASV_681",6,1,0,6
"ASV_109",12,1,0,12
"ASV_128",12,1,0,12
"ASV_61",12,1,0,12
"ASV_476",12,1,0,12
"ASV_858",12,1,0,12
"ASV_591",12,1,0,12
"ASV_385",12,1,0,12
"ASV_711",12,1,0,12
"ASV_694",12,1,0,12
"ASV_386",12,1,0,12
"ASV_388",12,1,0,12
"ASV_951",12,1,0,12
"ASV_417",13,1,0,13
"ASV_155",13,1,0,13
"ASV_319",13,1,0,13
"ASV_318",13,1,0,13
"ASV_414",13,1,0,13
"ASV_1554",13,1,0,13
"ASV_353",13,1,0,13
"ASV_1000",13,1,0,13
"ASV_277",13,1,0,13
"ASV_897",13,1,0,13
"ASV_903",13,1,0,13
"ASV_995",13,1,0,13
"ASV_729",13,1,0,13
"ASV_507",14,1,0,14
"ASV_152",14,1,0,14
"ASV_196",14,1,0,14
"ASV_195",14,1,0,14
"ASV_44",14,1,0,14
"ASV_1365",14,1,0,14
"ASV_263",14,1,0,14
"ASV_418",14,1,0,14
"ASV_1386",14,1,0,14
"ASV_330",14,1,0,14
"ASV_575",14,1,0,14
"ASV_562",14,1,0,14
"ASV_80",14,1,0,14
"ASV_557",14,1,0,14
"ASV_73",20,1,0,20
"ASV_26",20,1,0,20
"ASV_64",20,1,0,20
"ASV_83",20,1,0,20
"ASV_95",20,1,0,20
"ASV_304",20,1,0,20
"ASV_315",20,1,0,20
"ASV_154",20,1,0,20
"ASV_352",20,1,0,20
"ASV_121",20,1,0,20
"ASV_1253",20,1,0,20
"ASV_130",20,1,0,20
"ASV_1582",20,1,0,20
"ASV_554",20,1,0,20
"ASV_201",20,1,0,20
"ASV_229",20,1,0,20
"ASV_226",20,1,0,20
"ASV_583",20,1,0,20
"ASV_456",20,1,0,20
"ASV_1542",20,1,0,20
"ASV_13",10,1,0,10
"ASV_75",10,1,0,10
"ASV_1314",10,1,0,10
"ASV_359",10,1,0,10
"ASV_29",10,1,0,10
"ASV_35",10,1,0,10
"ASV_438",10,1,0,10
"ASV_831",10,1,0,10
"ASV_1629",10,1,0,10
"ASV_52",10,1,0,10
