source,target,correlation,direct,cor
ASV_46,ASV_94,1,undirected,+
ASV_266,ASV_94,1,undirected,+
ASV_117,ASV_94,1,undirected,+
ASV_388,ASV_94,1,undirected,+
ASV_183,ASV_94,-1,undirected,-
ASV_354,ASV_94,1,undirected,+
ASV_421,ASV_94,1,undirected,+
ASV_484,ASV_94,-1,undirected,-
ASV_167,ASV_94,1,undirected,+
ASV_187,ASV_94,1,undirected,+
ASV_1549,ASV_94,1,undirected,+
ASV_384,ASV_94,-1,undirected,-
ASV_562,ASV_94,-1,undirected,-
ASV_374,ASV_94,1,undirected,+
ASV_179,ASV_94,1,undirected,+
ASV_357,ASV_94,1,undirected,+
ASV_489,ASV_94,-1,undirected,-
ASV_558,ASV_94,-1,undirected,-
ASV_451,ASV_94,1,undirected,+
ASV_704,ASV_94,-1,undirected,-
ASV_342,ASV_94,1,undirected,+
ASV_266,ASV_46,1,undirected,+
ASV_117,ASV_46,1,undirected,+
ASV_388,ASV_46,1,undirected,+
ASV_183,ASV_46,-1,undirected,-
ASV_354,ASV_46,1,undirected,+
ASV_421,ASV_46,1,undirected,+
ASV_484,ASV_46,-1,undirected,-
ASV_167,ASV_46,1,undirected,+
ASV_187,ASV_46,1,undirected,+
ASV_1549,ASV_46,1,undirected,+
ASV_384,ASV_46,-1,undirected,-
ASV_562,ASV_46,-1,undirected,-
ASV_374,ASV_46,1,undirected,+
ASV_179,ASV_46,1,undirected,+
ASV_357,ASV_46,1,undirected,+
ASV_489,ASV_46,-1,undirected,-
ASV_558,ASV_46,-1,undirected,-
ASV_451,ASV_46,1,undirected,+
ASV_704,ASV_46,-1,undirected,-
ASV_342,ASV_46,1,undirected,+
ASV_117,ASV_266,1,undirected,+
ASV_388,ASV_266,1,undirected,+
ASV_183,ASV_266,-1,undirected,-
ASV_354,ASV_266,1,undirected,+
ASV_421,ASV_266,1,undirected,+
ASV_484,ASV_266,-1,undirected,-
ASV_167,ASV_266,1,undirected,+
ASV_187,ASV_266,1,undirected,+
ASV_1549,ASV_266,1,undirected,+
ASV_384,ASV_266,-1,undirected,-
ASV_562,ASV_266,-1,undirected,-
ASV_374,ASV_266,1,undirected,+
ASV_179,ASV_266,1,undirected,+
ASV_357,ASV_266,1,undirected,+
ASV_489,ASV_266,-1,undirected,-
ASV_558,ASV_266,-1,undirected,-
ASV_451,ASV_266,1,undirected,+
ASV_704,ASV_266,-1,undirected,-
ASV_342,ASV_266,1,undirected,+
ASV_388,ASV_117,1,undirected,+
ASV_183,ASV_117,-1,undirected,-
ASV_354,ASV_117,1,undirected,+
ASV_421,ASV_117,1,undirected,+
ASV_484,ASV_117,-1,undirected,-
ASV_167,ASV_117,1,undirected,+
ASV_187,ASV_117,1,undirected,+
ASV_1549,ASV_117,1,undirected,+
ASV_384,ASV_117,-1,undirected,-
ASV_562,ASV_117,-1,undirected,-
ASV_374,ASV_117,1,undirected,+
ASV_179,ASV_117,1,undirected,+
ASV_357,ASV_117,1,undirected,+
ASV_489,ASV_117,-1,undirected,-
ASV_558,ASV_117,-1,undirected,-
ASV_451,ASV_117,1,undirected,+
ASV_704,ASV_117,-1,undirected,-
ASV_342,ASV_117,1,undirected,+
ASV_183,ASV_388,-1,undirected,-
ASV_354,ASV_388,1,undirected,+
ASV_421,ASV_388,1,undirected,+
ASV_484,ASV_388,-1,undirected,-
ASV_167,ASV_388,1,undirected,+
ASV_187,ASV_388,1,undirected,+
ASV_1549,ASV_388,1,undirected,+
ASV_384,ASV_388,-1,undirected,-
ASV_562,ASV_388,-1,undirected,-
ASV_374,ASV_388,1,undirected,+
ASV_179,ASV_388,1,undirected,+
ASV_357,ASV_388,1,undirected,+
ASV_489,ASV_388,-1,undirected,-
ASV_558,ASV_388,-1,undirected,-
ASV_451,ASV_388,1,undirected,+
ASV_704,ASV_388,-1,undirected,-
ASV_342,ASV_388,1,undirected,+
ASV_354,ASV_183,-1,undirected,-
ASV_421,ASV_183,-1,undirected,-
ASV_484,ASV_183,1,undirected,+
ASV_167,ASV_183,-1,undirected,-
ASV_187,ASV_183,-1,undirected,-
ASV_1549,ASV_183,-1,undirected,-
ASV_384,ASV_183,1,undirected,+
ASV_562,ASV_183,1,undirected,+
ASV_374,ASV_183,-1,undirected,-
ASV_179,ASV_183,-1,undirected,-
ASV_357,ASV_183,-1,undirected,-
ASV_489,ASV_183,1,undirected,+
ASV_558,ASV_183,1,undirected,+
ASV_451,ASV_183,-1,undirected,-
ASV_704,ASV_183,1,undirected,+
ASV_342,ASV_183,-1,undirected,-
ASV_421,ASV_354,1,undirected,+
ASV_484,ASV_354,-1,undirected,-
ASV_167,ASV_354,1,undirected,+
ASV_187,ASV_354,1,undirected,+
ASV_1549,ASV_354,1,undirected,+
ASV_384,ASV_354,-1,undirected,-
ASV_562,ASV_354,-1,undirected,-
ASV_374,ASV_354,1,undirected,+
ASV_179,ASV_354,1,undirected,+
ASV_357,ASV_354,1,undirected,+
ASV_489,ASV_354,-1,undirected,-
ASV_558,ASV_354,-1,undirected,-
ASV_451,ASV_354,1,undirected,+
ASV_704,ASV_354,-1,undirected,-
ASV_342,ASV_354,1,undirected,+
ASV_484,ASV_421,-1,undirected,-
ASV_167,ASV_421,1,undirected,+
ASV_187,ASV_421,1,undirected,+
ASV_1549,ASV_421,1,undirected,+
ASV_384,ASV_421,-1,undirected,-
ASV_562,ASV_421,-1,undirected,-
ASV_374,ASV_421,1,undirected,+
ASV_179,ASV_421,1,undirected,+
ASV_357,ASV_421,1,undirected,+
