"","KO","Means","SD"
"num.edges(L)","2538","2538","0"
"num.pos.edges","1328","0","0"
"num.neg.edges","1210","0","0"
"num.vertices(n)","494","494","0"
"Connectance(edge_density)","0.0208424009000501","0.0208424009000501","0"
"average.degree(Average K)","10.2753036437247","10.2753036437247","0"
"average.path.length","1","2.90547396342315","0.00307832723732188"
"diameter","1","5.03","0.171446607997765"
"edge.connectivity","0","2.22","0.759851128428285"
"mean.clustering.coefficient(Average.CC)","1","0.0206876311481931","0.00163298109537505"
"no.clusters","59","1","0"
"centralization.degree","0.0237823455502542","0.0214902563007613","0.00341922805923022"
"centralization.betweenness","0","0.0104343426274381","0.00205575092201654"
"centralization.closeness","0","0.0846473840595237","0.00925859462289096"
"RM(relative.modularity)","2.94524766612033","-0.00532812925746651","0.0429247509016676"
"the.number.of.keystone.nodes","Not.calculated","0","0"
