"","HDA","HDB","HDC","MDA","MDB","MDC","NCA","NCB","NCC"
"num.edges(L)","2644","2751","2544","3051","2410","5205","2743","2538","2615"
"num.pos.edges","1680","1515","1351","1634","1291","3975","1360","1328","1433"
"num.neg.edges","964","1236","1193","1417","1119","1230","1383","1210","1182"
"num.vertices(n)","485","489","490","487","484","477","491","494","495"
"Connectance(edge_density)","0.0225270512055892","0.0230564216031379","0.0212345060723676","0.025781428245494","0.0206183803021748","0.0458485280904815","0.0228022777339042","0.0208424009000501","0.0213879687563898"
"average.degree(Average K)","10.9030927835052","11.2515337423313","10.3836734693878","12.5297741273101","9.95867768595041","21.8238993710692","11.173116089613","10.2753036437247","10.5656565656566"
"average.path.length","1","1","1","1","1","1","1","1","1"
"diameter","1","1","1","1","1","1","1","1","1"
"edge.connectivity","0","0","0","0","0","0","0","0","0"
"mean.clustering.coefficient(Average.CC)","1","1","1","1","1","1","1","1","1"
"no.clusters","56","54","60","53","60","53","56","59","61"
"centralization.degree","0.0249936099514356","0.0322714472493211","0.0503401360544218","0.025658900972613","0.0228598805673904","0.0549918080439723","0.0363813957354836","0.0237823455502542","0.0271950271950272"
"centralization.betweenness","0","0","0","0","0","0","0","0","0"
"centralization.closeness","0","0","0","0","0","0","0","0","0"
"RM(relative.modularity)","3.26596091173947","3.16400643013925","3.0197774228273","3.46699940924539","2.85563893347401","4.85282685201185","3.23764654227695","2.63178634014173","2.89417938319793"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated"
