"source","target","correlation","direct","cor"
"ASV_57","ASV_11",1,"undirected","+"
"ASV_12","ASV_11",-0.9,"undirected","-"
"ASV_33","ASV_11",0.9,"undirected","+"
"ASV_1","ASV_11",1,"undirected","+"
"ASV_10","ASV_11",0.9,"undirected","+"
"ASV_32","ASV_11",0.9,"undirected","+"
"ASV_81","ASV_11",0.9,"undirected","+"
"ASV_119","ASV_11",1,"undirected","+"
"ASV_72","ASV_11",0.9,"undirected","+"
"ASV_149","ASV_11",-1,"undirected","-"
"ASV_20","ASV_11",0.9,"undirected","+"
"ASV_93","ASV_11",1,"undirected","+"
"ASV_68","ASV_11",0.9,"undirected","+"
"ASV_377","ASV_11",-0.9,"undirected","-"
"ASV_1054","ASV_11",1,"undirected","+"
"ASV_83","ASV_11",0.974679434480896,"undirected","+"
"ASV_54","ASV_11",0.9,"undirected","+"
"ASV_265","ASV_11",-0.9,"undirected","-"
"ASV_95","ASV_11",1,"undirected","+"
"ASV_127","ASV_11",0.9,"undirected","+"
"ASV_536","ASV_11",1,"undirected","+"
"ASV_480","ASV_11",0.9,"undirected","+"
"ASV_50","ASV_11",1,"undirected","+"
"ASV_1629","ASV_11",0.9,"undirected","+"
"ASV_529","ASV_11",0.9,"undirected","+"
"ASV_656","ASV_11",-1,"undirected","-"
"ASV_98","ASV_11",-0.9,"undirected","-"
"ASV_251","ASV_11",-1,"undirected","-"
"ASV_572","ASV_11",1,"undirected","+"
"ASV_145","ASV_11",1,"undirected","+"
"ASV_766","ASV_11",-0.9,"undirected","-"
"ASV_11","ASV_57",1,"undirected","+"
"ASV_12","ASV_57",-0.9,"undirected","-"
"ASV_33","ASV_57",0.9,"undirected","+"
"ASV_1","ASV_57",1,"undirected","+"
"ASV_10","ASV_57",0.9,"undirected","+"
"ASV_32","ASV_57",0.9,"undirected","+"
"ASV_81","ASV_57",0.9,"undirected","+"
"ASV_119","ASV_57",1,"undirected","+"
"ASV_72","ASV_57",0.9,"undirected","+"
"ASV_149","ASV_57",-1,"undirected","-"
"ASV_20","ASV_57",0.9,"undirected","+"
"ASV_93","ASV_57",1,"undirected","+"
"ASV_68","ASV_57",0.9,"undirected","+"
"ASV_377","ASV_57",-0.9,"undirected","-"
"ASV_1054","ASV_57",1,"undirected","+"
"ASV_83","ASV_57",0.974679434480896,"undirected","+"
"ASV_54","ASV_57",0.9,"undirected","+"
"ASV_265","ASV_57",-0.9,"undirected","-"
"ASV_95","ASV_57",1,"undirected","+"
"ASV_127","ASV_57",0.9,"undirected","+"
"ASV_536","ASV_57",1,"undirected","+"
"ASV_480","ASV_57",0.9,"undirected","+"
"ASV_50","ASV_57",1,"undirected","+"
"ASV_1629","ASV_57",0.9,"undirected","+"
"ASV_529","ASV_57",0.9,"undirected","+"
"ASV_656","ASV_57",-1,"undirected","-"
"ASV_98","ASV_57",-0.9,"undirected","-"
"ASV_251","ASV_57",-1,"undirected","-"
"ASV_572","ASV_57",1,"undirected","+"
"ASV_145","ASV_57",1,"undirected","+"
"ASV_766","ASV_57",-0.9,"undirected","-"
"ASV_11","ASV_1",1,"undirected","+"
"ASV_57","ASV_1",1,"undirected","+"
"ASV_10","ASV_1",0.9,"undirected","+"
"ASV_32","ASV_1",0.9,"undirected","+"
"ASV_81","ASV_1",0.9,"undirected","+"
"ASV_119","ASV_1",1,"undirected","+"
"ASV_72","ASV_1",0.9,"undirected","+"
"ASV_149","ASV_1",-1,"undirected","-"
"ASV_20","ASV_1",0.9,"undirected","+"
"ASV_93","ASV_1",1,"undirected","+"
"ASV_68","ASV_1",0.9,"undirected","+"
"ASV_377","ASV_1",-0.9,"undirected","-"
"ASV_1054","ASV_1",1,"undirected","+"
"ASV_83","ASV_1",0.974679434480896,"undirected","+"
"ASV_54","ASV_1",0.9,"undirected","+"
"ASV_265","ASV_1",-0.9,"undirected","-"
"ASV_95","ASV_1",1,"undirected","+"
"ASV_127","ASV_1",0.9,"undirected","+"
"ASV_536","ASV_1",1,"undirected","+"
"ASV_480","ASV_1",0.9,"undirected","+"
"ASV_50","ASV_1",1,"undirected","+"
"ASV_1629","ASV_1",0.9,"undirected","+"
"ASV_529","ASV_1",0.9,"undirected","+"
"ASV_656","ASV_1",-1,"undirected","-"
"ASV_98","ASV_1",-0.9,"undirected","-"
"ASV_251","ASV_1",-1,"undirected","-"
"ASV_572","ASV_1",1,"undirected","+"
"ASV_145","ASV_1",1,"undirected","+"
