"","KO","Means","SD"
"num.edges(L)","1975","1975","0"
"num.pos.edges","1332","0","0"
"num.neg.edges","643","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.0992462311557789","0.0992462311557789","0"
"average.degree(Average K)","19.75","19.75","0"
"average.path.length","3.11173881014712","2.02761608040201","0.00257911276176218"
"diameter","7.34935886896179","3","0"
"edge.connectivity","2","9.19","1.28468052075372"
"mean.clustering.coefficient(Average.CC)","0.585908372181894","0.0991614367659136","0.00242069087429044"
"no.clusters","1","1","0"
"centralization.degree","0.0665829145728643","0.0617587939698492","0.0100228040008744"
"centralization.betweenness","0.0257819082488799","0.0085465647852353","0.00173404261123863"
"centralization.closeness","0.0802324223113903","0.085861791928425","0.0103687258071408"
"RM(relative.modularity)","3.0682015174053","0.00909004243996856","0.0669910033110343"
"the.number.of.keystone.nodes","Not.calculated","0","0"
