"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_51",28,0.3109375,185.472533180688,28
"ASV_16",28,0.3109375,185.472533180688,28
"ASV_26",30,0.314873417721519,242.488807243699,30
"ASV_19",28,0.3109375,185.472533180688,28
"ASV_36",28,0.3109375,185.472533180688,28
"ASV_37",30,0.314873417721519,242.488807243699,30
"ASV_22",30,0.314873417721519,242.488807243699,30
"ASV_144",17,0.271487039563438,10.9370626390365,17
"ASV_1439",30,0.314873417721519,242.488807243699,30
"ASV_173",30,0.314873417721519,242.488807243699,30
"ASV_91",24,0.308049535603715,255.01842035774,24
"ASV_218",28,0.315873015873016,748.044727539127,28
"ASV_118",24,0.308049535603715,255.01842035774,24
"ASV_76",24,0.308049535603715,255.01842035774,24
"ASV_109",28,0.3109375,185.472533180688,28
"ASV_229",17,0.270380434782609,451.006746577195,17
"ASV_1450",28,0.315873015873016,748.044727539127,28
"ASV_286",30,0.314873417721519,242.488807243699,30
"ASV_257",28,0.3109375,185.472533180688,28
"ASV_254",17,0.270380434782609,451.006746577195,17
"ASV_140",30,0.314873417721519,242.488807243699,30
"ASV_130",24,0.308049535603715,255.01842035774,24
"ASV_71",24,0.308049535603715,255.01842035774,24
"ASV_234",28,0.3109375,185.472533180688,28
"ASV_236",28,0.3109375,185.472533180688,28
"ASV_108",30,0.314873417721519,242.488807243699,30
"ASV_269",24,0.308049535603715,255.01842035774,24
"ASV_154",28,0.3109375,185.472533180688,28
"ASV_11",33,0.328925619834711,199.670528461357,33
"ASV_13",19,0.288824383164006,273.311785298014,19
"ASV_57",33,0.328925619834711,199.670528461357,33
"ASV_1",33,0.328925619834711,199.670528461357,33
"ASV_10",27,0.314873417721519,225.913020303246,27
"ASV_32",27,0.314873417721519,225.913020303246,27
"ASV_119",33,0.328925619834711,199.670528461357,33
"ASV_149",33,0.328925619834711,199.670528461357,33
"ASV_75",19,0.288824383164006,273.311785298014,19
"ASV_20",27,0.314873417721519,225.913020303246,27
"ASV_1505",14,0.301972685887709,252.07588818876,14
"ASV_93",33,0.328925619834711,199.670528461357,33
"ASV_68",27,0.314873417721519,225.913020303246,27
"ASV_49",19,0.288824383164006,273.311785298014,19
"ASV_78",14,0.292217327459618,395.756564646026,14
"ASV_1054",33,0.328925619834711,199.670528461357,33
"ASV_54",27,0.314873417721519,225.913020303246,27
"ASV_95",33,0.328925619834711,199.670528461357,33
"ASV_536",33,0.328925619834711,199.670528461357,33
"ASV_223",14,0.301972685887709,252.07588818876,14
"ASV_50",33,0.328925619834711,199.670528461357,33
"ASV_656",33,0.328925619834711,199.670528461357,33
"ASV_251",33,0.328925619834711,199.670528461357,33
"ASV_572",33,0.328925619834711,199.670528461357,33
"ASV_131",14,0.292217327459618,395.756564646026,14
"ASV_145",33,0.328925619834711,199.670528461357,33
"ASV_333",14,0.301972685887709,252.07588818876,14
"ASV_3",14,0.276773296244784,135.215447228332,14
"ASV_28",19,0.297014925373134,166.574809348066,19
"ASV_134",19,0.297014925373134,166.574809348066,19
"ASV_142",10,0.283475783475783,278.219852231232,10
"ASV_272",10,0.283475783475783,278.219852231232,10
"ASV_239",19,0.297014925373134,166.574809348066,19
"ASV_101",11,0.262532981530343,359.839686680612,11
"ASV_465",14,0.276773296244784,135.215447228332,14
"ASV_143",15,0.283880171184023,410.182944410525,15
"ASV_176",14,0.276773296244784,135.215447228332,14
"ASV_296",19,0.297014925373134,166.574809348066,19
"ASV_205",11,0.262532981530343,359.839686680612,11
"ASV_157",19,0.297014925373134,166.574809348066,19
"ASV_293",14,0.276773296244784,135.215447228332,14
"ASV_271",19,0.297014925373134,166.574809348066,19
"ASV_44",31,0.3109375,347.611658683055,31
"ASV_27",31,0.3109375,347.611658683055,31
"ASV_201",31,0.3109375,347.611658683055,31
"ASV_1658",31,0.3109375,347.611658683055,31
"ASV_39",7,0.258441558441558,149.499764195836,7
"ASV_87",7,0.258441558441558,149.499764195836,7
"ASV_305",31,0.3109375,347.611658683055,31
"ASV_174",31,0.3109375,347.611658683055,31
"ASV_314",31,0.3109375,347.611658683055,31
"ASV_33",29,0.333333333333333,592.460272208075,29
"ASV_40",14,0.287988422575977,58.4685760491791,14
"ASV_64",25,0.32569558101473,383.829045466434,25
"ASV_29",10,0.292647058823529,386.256334305817,10
"ASV_377",29,0.333333333333333,592.460272208075,29
"ASV_83",20,0.291788856304985,50.1108366776404,20
"ASV_139",20,0.309006211180124,398.30528272414,20
"ASV_262",25,0.32569558101473,383.829045466434,25
"ASV_268",25,0.32569558101473,383.829045466434,25
"ASV_329",25,0.32569558101473,383.829045466434,25
"ASV_121",25,0.32569558101473,383.829045466434,25
"ASV_490",20,0.309006211180124,398.30528272414,20
"ASV_529",29,0.333333333333333,592.460272208075,29
"ASV_129",20,0.309006211180124,398.30528272414,20
"ASV_188",25,0.32569558101473,383.829045466434,25
"ASV_12",27,0.311912225705329,583.467494254363,27
"ASV_81",33,0.3109375,377.168673346668,33
"ASV_72",27,0.311912225705329,583.467494254363,27
"ASV_265",33,0.3109375,377.168673346668,33
"ASV_127",33,0.3109375,377.168673346668,33
"ASV_480",33,0.3109375,377.168673346668,33
"ASV_1629",33,0.3109375,377.168673346668,33
"ASV_98",27,0.311912225705329,583.467494254363,27
"ASV_766",27,0.311912225705329,583.467494254363,27
"ASV_102",23,0.301972685887709,332.453271066856,23
"ASV_1501",23,0.301972685887709,332.453271066856,23
"ASV_25",12,0.269647696476965,215.824563797201,12
