"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1253",24,0.29160530191458,223.297397772658,24
"ASV_55",16,0.282857142857143,318.593005187837,16
"ASV_1365",24,0.29160530191458,223.297397772658,24
"ASV_1046",16,0.282857142857143,318.593005187837,16
"ASV_39",16,0.282857142857143,318.593005187837,16
"ASV_300",24,0.275766016713092,281.51895918339,24
"ASV_253",16,0.282857142857143,318.593005187837,16
"ASV_111",21,0.27887323943662,198.350591041842,21
"ASV_149",24,0.29160530191458,223.297397772658,24
"ASV_423",24,0.280453257790368,430.740177248251,24
"ASV_169",21,0.27887323943662,198.350591041842,21
"ASV_619",21,0.27887323943662,198.350591041842,21
"ASV_85",24,0.275766016713092,281.51895918339,24
"ASV_867",24,0.280453257790368,430.740177248251,24
"ASV_1553",24,0.29160530191458,223.297397772658,24
"ASV_175",21,0.27887323943662,198.350591041842,21
"ASV_143",21,0.27887323943662,198.350591041842,21
"ASV_50",24,0.275766016713092,281.51895918339,24
"ASV_324",24,0.29160530191458,223.297397772658,24
"ASV_174",24,0.29160530191458,223.297397772658,24
"ASV_1440",16,0.282857142857143,318.593005187837,16
"ASV_277",24,0.29160530191458,223.297397772658,24
"ASV_234",24,0.275766016713092,281.51895918339,24
"ASV_375",12,0.24968474148802,0,12
"ASV_1",24,0.306501547987616,344.543546600504,24
"ASV_38",27,0.326194398682043,524.280442275511,27
"ASV_201",21,0.283667621776504,289.800846076601,21
"ASV_9",24,0.306501547987616,344.543546600504,24
"ASV_1412",24,0.306501547987616,344.543546600504,24
"ASV_83",27,0.326194398682043,524.280442275511,27
"ASV_99",14,0.284074605451937,199.057004728451,14
"ASV_290",12,0.258485639686684,0,12
"ASV_95",27,0.326194398682043,524.280442275511,27
"ASV_417",14,0.284074605451937,199.057004728451,14
"ASV_129",14,0.284074605451937,199.057004728451,14
"ASV_141",14,0.284074605451937,199.057004728451,14
"ASV_167",21,0.283667621776504,289.800846076601,21
"ASV_1497",24,0.306501547987616,344.543546600504,24
"ASV_137",27,0.326194398682043,524.280442275511,27
"ASV_98",24,0.306501547987616,344.543546600504,24
"ASV_159",21,0.283667621776504,289.800846076601,21
"ASV_1582",21,0.283667621776504,289.800846076601,21
"ASV_225",14,0.284074605451937,199.057004728451,14
"ASV_3",11,0.274618585298197,213.440435891525,11
"ASV_1413",11,0.274618585298197,213.440435891525,11
"ASV_158",21,0.283667621776504,289.800846076601,21
"ASV_244",11,0.274618585298197,213.440435891525,11
"ASV_275",12,0.258485639686684,0,12
"ASV_26",16,0.257142857142857,155.680453368983,16
"ASV_97",16,0.257142857142857,155.680453368983,16
"ASV_27",27,0.306027820710974,625.942593520991,27
"ASV_29",27,0.306027820710974,625.942593520991,27
"ASV_101",36,0.3168,267.325047354857,36
"ASV_106",36,0.3168,267.325047354857,36
"ASV_81",36,0.3168,267.325047354857,36
"ASV_103",36,0.3168,267.325047354857,36
"ASV_114",16,0.257142857142857,155.680453368983,16
"ASV_32",27,0.306027820710974,625.942593520991,27
"ASV_151",36,0.3168,267.325047354857,36
"ASV_62",19,0.292035398230089,650.825704775285,19
"ASV_140",36,0.3168,267.325047354857,36
"ASV_219",36,0.3168,267.325047354857,36
"ASV_193",19,0.292035398230089,650.825704775285,19
"ASV_211",36,0.3168,267.325047354857,36
"ASV_183",19,0.292035398230089,650.825704775285,19
"ASV_490",36,0.3168,267.325047354857,36
"ASV_154",16,0.257142857142857,155.680453368983,16
"ASV_4",36,0.3168,267.325047354857,36
"ASV_938",36,0.3168,267.325047354857,36
"ASV_306",36,0.3168,267.325047354857,36
"ASV_14",29,0.3,243.504788140027,29
"ASV_13",29,0.3,243.504788140027,29
"ASV_36",11,0.233766233766234,0,11
"ASV_59",29,0.3,243.504788140027,29
"ASV_49",29,0.3,243.504788140027,29
"ASV_19",11,0.233766233766234,0,11
"ASV_110",29,0.3,243.504788140027,29
"ASV_308",29,0.3,243.504788140027,29
"ASV_226",29,0.3,243.504788140027,29
"ASV_223",11,0.233766233766234,0,11
"ASV_245",29,0.3,243.504788140027,29
"ASV_6",36,0.312796208530806,208.223523424488,36
"ASV_10",36,0.312796208530806,208.223523424488,36
"ASV_48",36,0.312796208530806,208.223523424488,36
"ASV_33",36,0.312796208530806,208.223523424488,36
"ASV_250",36,0.312796208530806,208.223523424488,36
"ASV_78",24,0.276150627615063,0,24
"ASV_1035",36,0.312796208530806,208.223523424488,36
"ASV_252",36,0.312796208530806,208.223523424488,36
"ASV_263",36,0.312796208530806,208.223523424488,36
"ASV_1027",36,0.312796208530806,208.223523424488,36
"ASV_260",36,0.312796208530806,208.223523424488,36
"ASV_196",36,0.312796208530806,208.223523424488,36
"ASV_44",23,0.310832025117739,479.614683975929,23
"ASV_23",23,0.310832025117739,479.614683975929,23
"ASV_75",12,0.266846361185984,0,12
"ASV_208",12,0.28005657708628,887.182976387696,12
"ASV_554",23,0.310832025117739,479.614683975929,23
"ASV_86",23,0.310832025117739,479.614683975929,23
"ASV_35",13,0.294205052005944,704.794201388205,13
"ASV_64",7,0.281650071123755,151.310113485452,7
"ASV_76",6,0.262251655629139,201.532209959733,6
"ASV_138",7,0.281650071123755,151.310113485452,7
"ASV_305",10,0.249370277078086,77.6603076053399,10
"ASV_87",14,0.231308411214953,111.063105794594,14
"ASV_88",12,0.255483870967742,318.899492187053,12
"ASV_507",2,0.174757281553398,0,2
"ASV_573",14,0.231308411214953,111.063105794594,14
"ASV_113",7,0.211312700106724,103.231380274456,7
"ASV_311",14,0.231308411214953,111.063105794594,14
"ASV_227",14,0.231308411214953,111.063105794594,14
"ASV_166",13,0.258823529411765,99.3693793220788,13
"ASV_74",13,0.258823529411765,99.3693793220788,13
"ASV_150",13,0.258823529411765,99.3693793220788,13
"ASV_187",13,0.258823529411765,99.3693793220788,13
"ASV_162",13,0.258823529411765,99.3693793220788,13
"ASV_21",15,0.267206477732794,127.596311110049,15
"ASV_8",19,0.266487213997308,211.18686673829,19
"ASV_959",15,0.267206477732794,127.596311110049,15
"ASV_465",9,0.255813953488372,255.522251071963,9
"ASV_231",15,0.267206477732794,127.596311110049,15
"ASV_268",15,0.267206477732794,127.596311110049,15
"ASV_192",9,0.255813953488372,255.522251071963,9
"ASV_594",19,0.266487213997308,211.18686673829,19
"ASV_37",5,0.26865671641791,0,5
"ASV_25",19,0.308892355694228,388.201295059127,19
"ASV_41",19,0.308892355694228,388.201295059127,19
"ASV_104",19,0.308892355694228,388.201295059127,19
"ASV_144",19,0.308892355694228,388.201295059127,19
"ASV_1505",19,0.308892355694228,388.201295059127,19
"ASV_1614",8,0.274238227146814,130.078380521875,8
"ASV_669",8,0.274238227146814,130.078380521875,8
"ASV_91",29,0.295522388059701,315.016157621612,29
"ASV_118",29,0.295522388059701,315.016157621612,29
"ASV_309",29,0.295522388059701,315.016157621612,29
"ASV_127",17,0.298192771084337,454.759935721607,17
"ASV_173",11,0.264352469959947,0,11
"ASV_205",8,0.267929634641407,351.931067954474,8
"ASV_331",17,0.298192771084337,454.759935721607,17
"ASV_1610",17,0.298192771084337,454.759935721607,17
"ASV_377",29,0.295522388059701,315.016157621612,29
"ASV_145",29,0.295522388059701,315.016157621612,29
"ASV_249",29,0.295522388059701,315.016157621612,29
"ASV_46",21,0.303215926493109,331.363313262862,21
"ASV_272",30,0.292035398230089,578.497979454881,30
"ASV_107",13,0.278089887640449,303.435988469367,13
"ASV_102",21,0.270491803278689,61.4682614390966,21
"ASV_96",21,0.270491803278689,61.4682614390966,21
"ASV_100",17,0.264,92.9758658556472,17
"ASV_57",13,0.278089887640449,303.435988469367,13
"ASV_124",17,0.264,92.9758658556472,17
"ASV_176",17,0.264,92.9758658556472,17
"ASV_54",21,0.303215926493109,331.363313262862,21
"ASV_119",13,0.278089887640449,303.435988469367,13
"ASV_130",21,0.303215926493109,331.363313262862,21
"ASV_20",13,0.278089887640449,303.435988469367,13
"ASV_237",17,0.264,92.9758658556472,17
"ASV_233",21,0.270491803278689,61.4682614390966,21
