"source","target","correlation","direct","cor"
"ASV_100","ASV_134",0.9,"undirected","+"
"ASV_96","ASV_134",1,"undirected","+"
"ASV_507","ASV_134",-0.9,"undirected","-"
"ASV_99","ASV_134",0.9,"undirected","+"
"ASV_239","ASV_134",1,"undirected","+"
"ASV_202","ASV_134",0.9,"undirected","+"
"ASV_138","ASV_134",0.9,"undirected","+"
"ASV_140","ASV_134",0.9,"undirected","+"
"ASV_162","ASV_134",0.9,"undirected","+"
"ASV_226","ASV_134",0.9,"undirected","+"
"ASV_153","ASV_134",1,"undirected","+"
"ASV_137","ASV_134",0.9,"undirected","+"
"ASV_187","ASV_134",0.9,"undirected","+"
"ASV_45","ASV_134",1,"undirected","+"
"ASV_179","ASV_134",0.9,"undirected","+"
"ASV_303","ASV_134",0.9,"undirected","+"
"ASV_85","ASV_134",0.9,"undirected","+"
"ASV_216","ASV_134",0.9,"undirected","+"
"ASV_225","ASV_134",0.9,"undirected","+"
"ASV_766","ASV_134",0.9,"undirected","+"
"ASV_277","ASV_134",-0.9,"undirected","-"
"ASV_238","ASV_134",0.9,"undirected","+"
"ASV_25","ASV_134",0.9,"undirected","+"
"ASV_134","ASV_96",1,"undirected","+"
"ASV_507","ASV_96",-0.9,"undirected","-"
"ASV_99","ASV_96",0.9,"undirected","+"
"ASV_239","ASV_96",1,"undirected","+"
"ASV_202","ASV_96",0.9,"undirected","+"
"ASV_138","ASV_96",0.9,"undirected","+"
"ASV_140","ASV_96",0.9,"undirected","+"
"ASV_162","ASV_96",0.9,"undirected","+"
"ASV_226","ASV_96",0.9,"undirected","+"
"ASV_153","ASV_96",1,"undirected","+"
"ASV_137","ASV_96",0.9,"undirected","+"
"ASV_187","ASV_96",0.9,"undirected","+"
"ASV_45","ASV_96",1,"undirected","+"
"ASV_179","ASV_96",0.9,"undirected","+"
"ASV_303","ASV_96",0.9,"undirected","+"
"ASV_85","ASV_96",0.9,"undirected","+"
"ASV_216","ASV_96",0.9,"undirected","+"
"ASV_225","ASV_96",0.9,"undirected","+"
"ASV_766","ASV_96",0.9,"undirected","+"
"ASV_277","ASV_96",-0.9,"undirected","-"
"ASV_238","ASV_96",0.9,"undirected","+"
"ASV_25","ASV_96",0.9,"undirected","+"
"ASV_134","ASV_239",1,"undirected","+"
"ASV_96","ASV_239",1,"undirected","+"
"ASV_202","ASV_239",0.9,"undirected","+"
"ASV_138","ASV_239",0.9,"undirected","+"
"ASV_140","ASV_239",0.9,"undirected","+"
"ASV_162","ASV_239",0.9,"undirected","+"
"ASV_226","ASV_239",0.9,"undirected","+"
"ASV_153","ASV_239",1,"undirected","+"
"ASV_137","ASV_239",0.9,"undirected","+"
"ASV_187","ASV_239",0.9,"undirected","+"
"ASV_45","ASV_239",1,"undirected","+"
"ASV_179","ASV_239",0.9,"undirected","+"
"ASV_303","ASV_239",0.9,"undirected","+"
"ASV_85","ASV_239",0.9,"undirected","+"
"ASV_216","ASV_239",0.9,"undirected","+"
"ASV_225","ASV_239",0.9,"undirected","+"
"ASV_766","ASV_239",0.9,"undirected","+"
"ASV_277","ASV_239",-0.9,"undirected","-"
"ASV_238","ASV_239",0.9,"undirected","+"
"ASV_25","ASV_239",0.9,"undirected","+"
"ASV_134","ASV_153",1,"undirected","+"
"ASV_96","ASV_153",1,"undirected","+"
"ASV_239","ASV_153",1,"undirected","+"
"ASV_137","ASV_153",0.9,"undirected","+"
"ASV_187","ASV_153",0.9,"undirected","+"
"ASV_45","ASV_153",1,"undirected","+"
"ASV_179","ASV_153",0.9,"undirected","+"
"ASV_303","ASV_153",0.9,"undirected","+"
"ASV_85","ASV_153",0.9,"undirected","+"
"ASV_216","ASV_153",0.9,"undirected","+"
"ASV_225","ASV_153",0.9,"undirected","+"
"ASV_766","ASV_153",0.9,"undirected","+"
"ASV_277","ASV_153",-0.9,"undirected","-"
"ASV_238","ASV_153",0.9,"undirected","+"
"ASV_25","ASV_153",0.9,"undirected","+"
"ASV_134","ASV_45",1,"undirected","+"
"ASV_96","ASV_45",1,"undirected","+"
"ASV_239","ASV_45",1,"undirected","+"
"ASV_153","ASV_45",1,"undirected","+"
"ASV_179","ASV_45",0.9,"undirected","+"
"ASV_303","ASV_45",0.9,"undirected","+"
"ASV_85","ASV_45",0.9,"undirected","+"
"ASV_216","ASV_45",0.9,"undirected","+"
"ASV_225","ASV_45",0.9,"undirected","+"
"ASV_766","ASV_45",0.9,"undirected","+"
"ASV_277","ASV_45",-0.9,"undirected","-"
"ASV_238","ASV_45",0.9,"undirected","+"
"ASV_25","ASV_45",0.9,"undirected","+"
"ASV_80","ASV_13",-1,"undirected","-"
"ASV_44","ASV_13",0.9,"undirected","+"
"ASV_32","ASV_13",-0.9,"undirected","-"
"ASV_134","ASV_13",0.9,"undirected","+"
"ASV_142","ASV_13",0.9,"undirected","+"
"ASV_96","ASV_13",0.9,"undirected","+"
"ASV_507","ASV_13",-1,"undirected","-"
"ASV_99","ASV_13",1,"undirected","+"
"ASV_239","ASV_13",0.9,"undirected","+"
"ASV_129","ASV_13",0.9,"undirected","+"
"ASV_138","ASV_13",1,"undirected","+"
"ASV_140","ASV_13",1,"undirected","+"
"ASV_272","ASV_13",0.9,"undirected","+"
"ASV_1658","ASV_13",0.9,"undirected","+"
"ASV_107","ASV_13",0.9,"undirected","+"
"ASV_75","ASV_13",0.9,"undirected","+"
"ASV_141","ASV_13",0.9,"undirected","+"
"ASV_162","ASV_13",1,"undirected","+"
"ASV_153","ASV_13",0.9,"undirected","+"
"ASV_187","ASV_13",1,"undirected","+"
"ASV_45","ASV_13",0.9,"undirected","+"
"ASV_206","ASV_13",0.974679434480896,"undirected","+"
"ASV_216","ASV_13",1,"undirected","+"
"ASV_225","ASV_13",1,"undirected","+"
"ASV_119","ASV_13",-0.9,"undirected","-"
"ASV_13","ASV_80",-1,"undirected","-"
"ASV_44","ASV_80",-0.9,"undirected","-"
"ASV_32","ASV_80",0.9,"undirected","+"
"ASV_134","ASV_80",-0.9,"undirected","-"
"ASV_142","ASV_80",-0.9,"undirected","-"
"ASV_96","ASV_80",-0.9,"undirected","-"
"ASV_507","ASV_80",1,"undirected","+"
"ASV_99","ASV_80",-1,"undirected","-"
"ASV_239","ASV_80",-0.9,"undirected","-"
"ASV_129","ASV_80",-0.9,"undirected","-"
"ASV_138","ASV_80",-1,"undirected","-"
"ASV_140","ASV_80",-1,"undirected","-"
"ASV_272","ASV_80",-0.9,"undirected","-"
"ASV_1658","ASV_80",-0.9,"undirected","-"
"ASV_107","ASV_80",-0.9,"undirected","-"
"ASV_75","ASV_80",-0.9,"undirected","-"
"ASV_141","ASV_80",-0.9,"undirected","-"
"ASV_162","ASV_80",-1,"undirected","-"
"ASV_153","ASV_80",-0.9,"undirected","-"
"ASV_187","ASV_80",-1,"undirected","-"
"ASV_45","ASV_80",-0.9,"undirected","-"
