"","KO","Means","SD"
"num.edges(L)","2153","2153","0"
"num.pos.edges","1227","0","0"
"num.neg.edges","926","0","0"
"num.vertices(n)","199","199","0"
"Connectance(edge_density)","0.109283792700878","0.109283792700878","0"
"average.degree(Average K)","21.6381909547739","21.6381909547739","0"
"average.path.length","3.00093231343709","1.97392822699355","0.00250509553818033"
"diameter","7.28150640306832","3","0"
"edge.connectivity","1","10.44","1.54606048727177"
"mean.clustering.coefficient(Average.CC)","0.612473003537508","0.109236724524767","0.00271963351010269"
"no.clusters","1","1","0"
"centralization.degree","0.102837419420334","0.0655141870971017","0.0102251075010506"
"centralization.betweenness","0.0338920415751635","0.00781217174834827","0.00157276576867751"
"centralization.closeness","0.106188012418803","0.0746467579140426","0.00794894567922519"
"RM(relative.modularity)","2.83404623652549","-0.0103101445810869","0.073273310135257"
"the.number.of.keystone.nodes","Not.calculated","0","0"
