"","KO","Means","SD"
"num.edges(L)","1932","1932","0"
"num.pos.edges","1017","0","0"
"num.neg.edges","915","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.0970854271356784","0.0970854271356784","0"
"average.degree(Average K)","19.32","19.32","0"
"average.path.length","3.05608040617636","2.04050452261307","0.00273944352447017"
"diameter","8.16353381648073","3","0"
"edge.connectivity","1","8.81","1.51554237382816"
"mean.clustering.coefficient(Average.CC)","0.554027793133639","0.0969443545684547","0.0026910910217839"
"no.clusters","1","1","0"
"centralization.degree","0.0988944723618091","0.0612562814070352","0.00935341180153634"
"centralization.betweenness","0.0449030283874572","0.00853784185913087","0.00159885570562082"
"centralization.closeness","0.0817309099047569","0.0875649560089663","0.00915111335109388"
"RM(relative.modularity)","2.42802550600991","0.00516396759506374","0.0654486126450447"
"the.number.of.keystone.nodes","Not.calculated","0","0"
