"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_21",31,0.328382838283828,205.580914285681,31
"ASV_12",27,0.3109375,313.11372742828,27
"ASV_11",31,0.328382838283828,205.580914285681,31
"ASV_16",39,0.339011925042589,316.547416096065,39
"ASV_201",31,0.328382838283828,205.580914285681,31
"ASV_5",39,0.339011925042589,316.547416096065,39
"ASV_158",22,0.297014925373134,190.767125082345,22
"ASV_127",39,0.339011925042589,316.547416096065,39
"ASV_157",22,0.297014925373134,190.767125082345,22
"ASV_1446",31,0.328382838283828,205.580914285681,31
"ASV_102",22,0.297014925373134,190.767125082345,22
"ASV_149",27,0.3109375,313.11372742828,27
"ASV_1412",39,0.339011925042589,316.547416096065,39
"ASV_1605",31,0.328382838283828,205.580914285681,31
"ASV_276",39,0.339011925042589,316.547416096065,39
"ASV_1448",31,0.328382838283828,205.580914285681,31
"ASV_193",31,0.328382838283828,205.580914285681,31
"ASV_554",31,0.328382838283828,205.580914285681,31
"ASV_233",22,0.297014925373134,190.767125082345,22
"ASV_239",24,0.317384370015949,1117.07138944999,24
"ASV_599",27,0.3109375,313.11372742828,27
"ASV_179",39,0.339011925042589,316.547416096065,39
"ASV_199",27,0.3109375,313.11372742828,27
"ASV_536",31,0.328382838283828,205.580914285681,31
"ASV_268",39,0.339011925042589,316.547416096065,39
"ASV_227",27,0.3109375,313.11372742828,27
"ASV_143",22,0.297014925373134,190.767125082345,22
"ASV_490",39,0.339011925042589,316.547416096065,39
"ASV_249",39,0.339011925042589,316.547416096065,39
"ASV_332",31,0.328382838283828,205.580914285681,31
"ASV_306",39,0.339011925042589,316.547416096065,39
"ASV_9",12,0.288824383164006,165.630785303463,12
"ASV_52",14,0.291788856304985,261.146556101086,14
"ASV_417",12,0.288824383164006,165.630785303463,12
"ASV_74",14,0.291788856304985,261.146556101086,14
"ASV_50",10,0.271487039563438,195.299186955985,10
"ASV_111",18,0.301972685887709,453.163411463773,18
"ASV_247",19,0.299248120300752,550.374629814841,19
"ASV_172",18,0.301972685887709,453.163411463773,18
"ASV_3",19,0.299248120300752,550.374629814841,19
"ASV_336",12,0.288824383164006,165.630785303463,12
"ASV_214",10,0.271487039563438,195.299186955985,10
"ASV_1582",14,0.291788856304985,261.146556101086,14
"ASV_37",13,0.275623268698061,277.960801721553,13
"ASV_10",15,0.296130952380952,145.375196121189,15
"ASV_1253",24,0.297904191616766,348.331495075378,24
"ASV_67",16,0.298350824587706,579.875345071839,16
"ASV_126",24,0.30568356374808,323.813264531762,24
"ASV_39",15,0.296130952380952,145.375196121189,15
"ASV_150",24,0.30568356374808,323.813264531762,24
"ASV_46",24,0.297904191616766,348.331495075378,24
"ASV_210",10,0.262879788639366,33.9730310526727,10
"ASV_200",13,0.275623268698061,277.960801721553,13
"ASV_99",15,0.296130952380952,145.375196121189,15
"ASV_182",24,0.297904191616766,348.331495075378,24
"ASV_84",15,0.296130952380952,145.375196121189,15
"ASV_298",24,0.30568356374808,323.813264531762,24
"ASV_71",24,0.30568356374808,323.813264531762,24
"ASV_27",23,0.301972685887709,219.529807224513,23
"ASV_28",19,0.306625577812018,162.666916431908,19
"ASV_29",23,0.301972685887709,219.529807224513,23
"ASV_81",28,0.331666666666667,635.478377888938,28
"ASV_137",19,0.299698795180723,244.595059932477,19
"ASV_113",23,0.301972685887709,219.529807224513,23
"ASV_93",19,0.306625577812018,162.666916431908,19
"ASV_231",23,0.301972685887709,219.529807224513,23
"ASV_169",19,0.299698795180723,244.595059932477,19
"ASV_90",23,0.301972685887709,219.529807224513,23
"ASV_1046",28,0.331666666666667,635.478377888938,28
"ASV_82",19,0.306625577812018,162.666916431908,19
"ASV_1497",28,0.331666666666667,635.478377888938,28
"ASV_1610",19,0.306625577812018,162.666916431908,19
"ASV_529",19,0.306625577812018,162.666916431908,19
"ASV_57",19,0.299698795180723,244.595059932477,19
