"","KO","Means","SD"
"num.edges(L)","2041","2041","0"
"num.pos.edges","1021","0","0"
"num.neg.edges","1020","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.102562814070352","0.102562814070352","0"
"average.degree(Average K)","20.41","20.41","0"
"average.path.length","3.07204629269239","2.00725025125628","0.00280346424515418"
"diameter","6.3746794344809","3","0"
"edge.connectivity","2","9.91","1.18998344780951"
"mean.clustering.coefficient(Average.CC)","0.574092545371995","0.102287558716056","0.00263936899354573"
"no.clusters","1","1","0"
"centralization.degree","0.0984422110552764","0.0642211055276382","0.0100425075492016"
"centralization.betweenness","0.0680781372533474","0.0082752821070064","0.00168987264434252"
"centralization.closeness","0.0942555737204011","0.08153502609472","0.00876808766393114"
"RM(relative.modularity)","2.66012067230596","-0.00787895069825503","0.0690968745334377"
"the.number.of.keystone.nodes","Not.calculated","0","0"
