"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_45",14,0.306153846153846,250.455907134881,14
"ASV_9",18,0.318910256410256,403.361275176676,18
"ASV_11",22,0.332220367278798,324.986594109775,22
"ASV_177",19,0.309968847352025,261.695081051669,19
"ASV_57",22,0.332220367278798,324.986594109775,22
"ASV_32",19,0.309968847352025,261.695081051669,19
"ASV_30",14,0.306153846153846,250.455907134881,14
"ASV_230",18,0.318910256410256,403.361275176676,18
"ASV_366",22,0.332220367278798,324.986594109775,22
"ASV_327",19,0.309968847352025,261.695081051669,19
"ASV_371",19,0.309968847352025,261.695081051669,19
"ASV_148",14,0.306153846153846,250.455907134881,14
"ASV_266",22,0.332220367278798,324.986594109775,22
"ASV_361",22,0.332220367278798,324.986594109775,22
"ASV_444",21,0.301059001512859,523.97059802979,21
"ASV_122",22,0.332220367278798,324.986594109775,22
"ASV_384",21,0.301059001512859,523.97059802979,21
"ASV_1105",21,0.301059001512859,523.97059802979,21
"ASV_6",40,0.343696027633851,290.041226385201,40
"ASV_10",34,0.333892617449664,481.568532655916,34
"ASV_165",23,0.311912225705329,114.107250377719,23
"ASV_62",23,0.311912225705329,114.107250377719,23
"ASV_136",25,0.304281345565749,286.079626318418,25
"ASV_104",40,0.343696027633851,290.041226385201,40
"ASV_97",25,0.304281345565749,286.079626318418,25
"ASV_333",23,0.311912225705329,114.107250377719,23
"ASV_98",40,0.343696027633851,290.041226385201,40
"ASV_1412",25,0.304281345565749,286.079626318418,25
"ASV_94",40,0.343696027633851,290.041226385201,40
"ASV_377",40,0.343696027633851,290.041226385201,40
"ASV_119",23,0.311912225705329,114.107250377719,23
"ASV_1054",40,0.343696027633851,290.041226385201,40
"ASV_536",23,0.311912225705329,114.107250377719,23
"ASV_345",23,0.311912225705329,114.107250377719,23
"ASV_216",34,0.333892617449664,481.568532655916,34
"ASV_1658",34,0.333892617449664,481.568532655916,34
"ASV_188",23,0.311912225705329,114.107250377719,23
"ASV_273",23,0.311912225705329,114.107250377719,23
"ASV_269",40,0.343696027633851,290.041226385201,40
"ASV_139",40,0.343696027633851,290.041226385201,40
"ASV_182",40,0.343696027633851,290.041226385201,40
"ASV_1071",40,0.343696027633851,290.041226385201,40
"ASV_157",34,0.333892617449664,481.568532655916,34
"ASV_357",23,0.311912225705329,114.107250377719,23
"ASV_138",25,0.304281345565749,286.079626318418,25
"ASV_240",40,0.343696027633851,290.041226385201,40
"ASV_23",28,0.3184,242.876351531668,28
"ASV_63",36,0.32516339869281,176.454878846692,36
