"","KO","Means","SD"
"num.edges(L)","1893","1893","0"
"num.pos.edges","1063","0","0"
"num.neg.edges","830","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.0951256281407035","0.0951256281407035","0"
"average.degree(Average K)","18.93","18.93","0"
"average.path.length","3.08776535317458","2.05391206030151","0.00301820705167882"
"diameter","6.3746794344809","3","0"
"edge.connectivity","2","8.52","1.10535884753241"
"mean.clustering.coefficient(Average.CC)","0.576519507414582","0.0949994569951242","0.00296505916450749"
"no.clusters","1","1","0"
"centralization.degree","0.0556281407035176","0.0610050251256282","0.010182746756689"
"centralization.betweenness","0.0281847934701125","0.00905509976160821","0.00177596720966507"
"centralization.closeness","0.063704056313575","0.0909704121474423","0.0108233537049512"
"RM(relative.modularity)","2.5114616663663","0.00145966426630075","0.0658680536090286"
"the.number.of.keystone.nodes","Not.calculated","0","0"
