"source","target","correlation","direct","cor"
"ASV_9","ASV_1",1,"undirected","+"
"ASV_156","ASV_1",-1,"undirected","-"
"ASV_220","ASV_1",0.9,"undirected","+"
"ASV_32","ASV_1",0.9,"undirected","+"
"ASV_23","ASV_1",0.9,"undirected","+"
"ASV_417","ASV_1",0.9,"undirected","+"
"ASV_98","ASV_1",-0.9,"undirected","-"
"ASV_3","ASV_1",1,"undirected","+"
"ASV_157","ASV_1",-0.9,"undirected","-"
"ASV_46","ASV_1",-0.9,"undirected","-"
"ASV_139","ASV_1",1,"undirected","+"
"ASV_136","ASV_1",0.9,"undirected","+"
"ASV_83","ASV_1",0.9,"undirected","+"
"ASV_88","ASV_1",0.9,"undirected","+"
"ASV_95","ASV_1",0.9,"undirected","+"
"ASV_390","ASV_1",0.9,"undirected","+"
"ASV_193","ASV_1",-0.9,"undirected","-"
"ASV_152","ASV_1",0.9,"undirected","+"
"ASV_720","ASV_1",0.9,"undirected","+"
"ASV_49","ASV_1",0.9,"undirected","+"
"ASV_243","ASV_1",1,"undirected","+"
"ASV_104","ASV_1",0.9,"undirected","+"
"ASV_188","ASV_1",1,"undirected","+"
"ASV_81","ASV_1",1,"undirected","+"
"ASV_289","ASV_1",0.9,"undirected","+"
"ASV_256","ASV_1",1,"undirected","+"
"ASV_235","ASV_1",0.9,"undirected","+"
"ASV_54","ASV_1",0.9,"undirected","+"
"ASV_72","ASV_1",0.9,"undirected","+"
"ASV_456","ASV_1",-0.9,"undirected","-"
"ASV_228","ASV_1",0.9,"undirected","+"
"ASV_130","ASV_1",-0.9,"undirected","-"
"ASV_200","ASV_1",0.9,"undirected","+"
"ASV_1365","ASV_1",-0.9,"undirected","-"
"ASV_465","ASV_1",1,"undirected","+"
"ASV_660","ASV_1",-0.9,"undirected","-"
"ASV_254","ASV_1",0.9,"undirected","+"
"ASV_509","ASV_1",0.9,"undirected","+"
"ASV_16","ASV_1",-0.9,"undirected","-"
"ASV_1","ASV_9",1,"undirected","+"
"ASV_156","ASV_9",-1,"undirected","-"
"ASV_220","ASV_9",0.9,"undirected","+"
"ASV_32","ASV_9",0.9,"undirected","+"
"ASV_23","ASV_9",0.9,"undirected","+"
"ASV_417","ASV_9",0.9,"undirected","+"
"ASV_98","ASV_9",-0.9,"undirected","-"
"ASV_3","ASV_9",1,"undirected","+"
"ASV_157","ASV_9",-0.9,"undirected","-"
"ASV_46","ASV_9",-0.9,"undirected","-"
"ASV_139","ASV_9",1,"undirected","+"
"ASV_136","ASV_9",0.9,"undirected","+"
"ASV_83","ASV_9",0.9,"undirected","+"
"ASV_88","ASV_9",0.9,"undirected","+"
"ASV_95","ASV_9",0.9,"undirected","+"
"ASV_390","ASV_9",0.9,"undirected","+"
"ASV_193","ASV_9",-0.9,"undirected","-"
"ASV_152","ASV_9",0.9,"undirected","+"
"ASV_720","ASV_9",0.9,"undirected","+"
