"Var1"	"Var2"	"cor"	"pvalue"
"1"	"Acetatifactor"	"FBG"	-0.258101278627441	0.353006455616427
"2"	"Acetivibrio"	"FBG"	-0.369127912446029	0.175735020070767
"3"	"Akkermansia"	"FBG"	-0.435773574953739	0.104440805348098
"4"	"Alistipes"	"FBG"	-0.654343399688674	0.00812915139357357
"5"	"Alkaliphilus"	"FBG"	-0.398663837812998	0.14104550902751
"6"	"Anaerocolumna"	"FBG"	-0.115983920362506	0.680612455668255
"7"	"Anaerotignum"	"FBG"	-0.281440578040695	0.309541792115004
"8"	"Bacteroides"	"FBG"	0.716850107103253	0.00263452138301587
"9"	"Bifidobacterium"	"FBG"	-0.232046727844495	0.405298799840471
"10"	"Blautia"	"FBG"	-0.412478190669894	0.126535289915702
"11"	"Clostridium_XlVa"	"FBG"	-0.688052103200724	0.00457511834580085
"12"	"Duncaniella"	"FBG"	-0.483500360720764	0.067859679254512
"13"	"Eisenbergiella"	"FBG"	-0.395180409997886	0.144874440828298
"14"	"Enterocloster"	"FBG"	-0.0137425850795502	0.961230859237985
"15"	"Flintibacter"	"FBG"	-0.327620527897573	0.23324404719434
"16"	"Intestinimonas"	"FBG"	-0.375438462582972	0.167895658192195
"17"	"Kineothrix"	"FBG"	-0.525187696885774	0.0443940597074592
"18"	"Lachnospiracea_incertae_sedis"	"FBG"	-0.164101341845826	0.558945070166336
"19"	"Lacrimispora"	"FBG"	-0.318601272953109	0.247123277227932
"20"	"Lawsonibacter"	"FBG"	-0.214942434029504	0.441711000958505
"21"	"Ligilactobacillus"	"FBG"	0.353473942162867	0.196203691139166
"22"	"Muribaculum"	"FBG"	-0.428530224037387	0.11099830472718
"23"	"Neglecta"	"FBG"	-0.488406115340419	0.0647131785222082
"24"	"Oscillibacter"	"FBG"	-0.432533301804854	0.107339958633725
"25"	"Parabacteroides"	"FBG"	0.730204410950734	0.00199443507157423
"26"	"Paramuribaculum"	"FBG"	-0.0164798440564339	0.953515840254467
"27"	"Pseudescherichia"	"FBG"	0.732967134530493	0.00187914056481102
"28"	"Roseburia"	"FBG"	-0.135994128049241	0.628907614509981
"29"	"Ruminococcus"	"FBG"	0.358643055256532	0.18928263096686
"30"	"Vallitalea"	"FBG"	-0.40937525734425	0.129701562099482
"31"	"Acetatifactor"	"Weight"	0.543344611796676	0.0363205911465434
"32"	"Acetivibrio"	"Weight"	-0.202501448450525	0.469190530272173
"33"	"Akkermansia"	"Weight"	-0.140742430726523	0.616859272746061
"34"	"Alistipes"	"Weight"	0.176818553604521	0.528430846895365
"35"	"Alkaliphilus"	"Weight"	-0.210015043649659	0.452496306924902
"36"	"Anaerocolumna"	"Weight"	-0.0848099497083004	0.763785841095254
"37"	"Anaerotignum"	"Weight"	-0.0908572928291428	0.74743173365791
"38"	"Bacteroides"	"Weight"	-0.395072567107916	0.144994084421872
"39"	"Bifidobacterium"	"Weight"	-0.356902161535955	0.191595642791488
"40"	"Blautia"	"Weight"	0.382980669065901	0.158833381767631
"41"	"Clostridium_XlVa"	"Weight"	0.646000830560293	0.00927628031056038
"42"	"Duncaniella"	"Weight"	-0.234755164611948	0.399682049559851
"43"	"Eisenbergiella"	"Weight"	0.105351273044874	0.708650935760424
"44"	"Enterocloster"	"Weight"	0.266540760009249	0.336915438934312
"45"	"Flintibacter"	"Weight"	0.751683797577715	0.0012313143523393
"46"	"Intestinimonas"	"Weight"	-0.0375681947455782	0.894253653255472
"47"	"Kineothrix"	"Weight"	0.557289869359554	0.0309073966309809
"48"	"Lachnospiracea_incertae_sedis"	"Weight"	0.43166482502201	0.108126420302391
"49"	"Lacrimispora"	"Weight"	0.440859775390884	0.100000916547669
"50"	"Lawsonibacter"	"Weight"	0.604935256974397	0.0168838182448983
"51"	"Ligilactobacillus"	"Weight"	-0.280585088559087	0.311077445295619
"52"	"Muribaculum"	"Weight"	-0.176782599524885	0.528516050877173
"53"	"Neglecta"	"Weight"	0.10163821315224	0.718526789526115
"54"	"Oscillibacter"	"Weight"	0.555978475146758	0.0313888133234244
"55"	"Parabacteroides"	"Weight"	-0.404620645149965	0.134657325529923
"56"	"Paramuribaculum"	"Weight"	-0.143285054869963	0.610444469565757
"57"	"Pseudescherichia"	"Weight"	-0.414925069760279	0.124076042104282
"58"	"Roseburia"	"Weight"	0.665565729449493	0.00676489069913484
"59"	"Ruminococcus"	"Weight"	-0.234573684513869	0.400057110380334
"60"	"Vallitalea"	"Weight"	-0.289474959460406	0.295335224642165
"61"	"Acetatifactor"	"AUC"	-0.197515778347551	0.480430667821882
"62"	"Acetivibrio"	"AUC"	-0.297243588505675	0.281970542711971
"63"	"Akkermansia"	"AUC"	-0.393260611853382	0.147014261672814
"64"	"Alistipes"	"AUC"	-0.558969144566017	0.0302990732279107
