""	"FBG"	"Weight"	"AUC"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Acetatifactor"	"-0.757575757575757"	"0.563636363636364"	"-0.442424242424242"	"0.00606060606060606"	"-0.0909090909090909"	"0.0424242424242424"	"0.46808726863365"	"0.0909090909090909"
"Acetivibrio"	"0.00615457454896664"	"0.172328087371066"	"0.406201920231798"	"-0.523138836662164"	"-0.363119898389032"	"-0.492365963917331"	"-0.358051978785476"	"-0.652384902190464"
"Akkermansia"	"-0.0426837203323373"	"0.201223252995304"	"0.0304883716659552"	"-0.750013942982498"	"-0.676841850984206"	"-0.640255804985059"	"-0.559635644385306"	"-0.445130226322946"
"Alistipes"	"-0.515151515151515"	"0.793939393939394"	"-0.115151515151515"	"-0.842424242424242"	"-0.672727272727273"	"-0.83030303030303"	"-0.310031827276833"	"-0.733333333333333"
"Alkaliphilus"	"0.206350781828638"	"0.0312652699740361"	"0.287640483761132"	"-0.268881321776711"	"-0.100048863916916"	"-0.143820241880566"	"-0.392005575676078"	"-0.125061079896144"
"Anaerocolumna"	"-0.406060606060606"	"0.6"	"-0.224242424242424"	"-0.163636363636364"	"-0.163636363636364"	"-0.103030303030303"	"0.510640656691254"	"-0.0303030303030303"
"Anaerotignum"	"-0.782907566312079"	"0.562714813286807"	"-0.440385506050544"	"-0.0917469804271967"	"-0.189610426216207"	"-0.0733975843417574"	"0.374240171698091"	"-0.0366987921708787"
"Bacteroides"	"0.624242424242424"	"-0.442424242424242"	"0.515151515151515"	"-0.224242424242424"	"0.0303030303030303"	"-0.296969696969697"	"-0.693012319795274"	"-0.321212121212121"
"Bifidobacterium"	"0.432934877656564"	"-0.219516275994877"	"0.493911620988474"	"-0.390251157324227"	"-0.23171162466126"	"-0.347567436991889"	"-0.507647633704704"	"-0.475618597988901"
"Blautia"	"-0.151515151515151"	"0.503030303030303"	"-0.139393939393939"	"-0.563636363636364"	"-0.36969696969697"	"-0.539393939393939"	"-0.291794660966431"	"-0.333333333333333"
"Clostridium_XlVa"	"-0.893621149209695"	"0.84498870571529"	"-0.717328541542476"	"-0.382980492518441"	"-0.516719712128055"	"-0.419454825139245"	"0.179878048780488"	"-0.267478439219228"
"Duncaniella"	"-0.0181818181818182"	"0.248484848484848"	"0.478787878787879"	"-0.587878787878788"	"-0.236363636363636"	"-0.709090909090909"	"-0.498482545817653"	"-0.83030303030303"
"Eisenbergiella"	"-0.490909090909091"	"0.248484848484848"	"-0.442424242424242"	"-0.00606060606060606"	"-0.36969696969697"	"0.0909090909090909"	"0.261399383782428"	"0.00606060606060606"
"Enterocloster"	"-0.36969696969697"	"0.224242424242424"	"-0.115151515151515"	"0.0303030303030303"	"-0.0545454545454545"	"0.0181818181818182"	"0.419454825139245"	"-0.0303030303030303"
"Flintibacter"	"-0.790277206784084"	"0.802435317657685"	"-0.510640656691254"	"-0.328268993587235"	"-0.352585215334437"	"-0.291794660966431"	"0.475609756097561"	"-0.0668696098048071"
"Intestinimonas"	"-0.237083162035225"	"0.243162217472026"	"0.0425533880576045"	"-0.364743326208039"	"-0.370822381644839"	"-0.449850102323248"	"-0.310975609756098"	"-0.674775153484872"
"Kineothrix"	"-0.6"	"0.587878787878788"	"-0.660606060606061"	"-0.0181818181818182"	"-0.248484848484848"	"-0.0666666666666667"	"0.583589321932862"	"0.0545454545454545"
"Lachnospiracea_incertae_sedis"	"-0.454545454545455"	"0.648484848484848"	"-0.0909090909090909"	"-0.515151515151515"	"-0.321212121212121"	"-0.660606060606061"	"-0.0790277206784084"	"-0.648484848484848"
"Lacrimispora"	"-0.43030303030303"	"0.454545454545455"	"-0.272727272727273"	"-0.612121212121212"	"-0.83030303030303"	"-0.442424242424242"	"-0.170213552230418"	"-0.43030303030303"
"Lawsonibacter"	"-0.854545454545454"	"0.551515151515151"	"-0.575757575757576"	"-0.139393939393939"	"-0.296969696969697"	"-0.2"	"0.231004106598425"	"-0.163636363636364"
"Ligilactobacillus"	"0.260606060606061"	"0.00606060606060606"	"0.696969696969697"	"-0.503030303030303"	"-0.187878787878788"	"-0.466666666666667"	"-0.607905543680065"	"-0.648484848484848"
"Muribaculum"	"-0.212121212121212"	"0.321212121212121"	"0.284848484848485"	"-0.587878787878788"	"-0.393939393939394"	"-0.672727272727273"	"-0.46808726863365"	"-0.83030303030303"
"Neglecta"	"-0.490909090909091"	"0.466666666666667"	"-0.0909090909090909"	"-0.442424242424242"	"-0.381818181818182"	"-0.515151515151515"	"-0.0182371663104019"	"-0.478787878787879"
"Oscillibacter"	"-0.781818181818182"	"0.612121212121212"	"-0.575757575757576"	"-0.0303030303030303"	"-0.187878787878788"	"-0.0545454545454545"	"0.480245379507251"	"0.0787878787878788"
"Parabacteroides"	"0.693012319795274"	"-0.541035933875258"	"0.56535215562246"	"-0.121581108736013"	"0.0972648869888103"	"-0.194529773977621"	"-0.707317073170732"	"-0.303952771840032"
"Paramuribaculum"	"-0.0787878787878788"	"0.345454545454545"	"0.333333333333333"	"-0.454545454545455"	"-0.212121212121212"	"-0.539393939393939"	"-0.176292607667219"	"-0.648484848484848"
"Pseudescherichia"	"0.927272727272727"	"-0.745454545454545"	"0.733333333333333"	"0.406060606060606"	"0.660606060606061"	"0.309090909090909"	"-0.18845071854082"	"0.127272727272727"
"Roseburia"	"-0.624242424242424"	"0.76969696969697"	"-0.575757575757576"	"-0.115151515151515"	"-0.2"	"-0.115151515151515"	"0.595747432806463"	"0.0424242424242424"
"Ruminococcus"	"0.652384902190464"	"-0.652384902190464"	"0.830867564110496"	"0.116936916430366"	"0.289265003801432"	"0.141555214626233"	"-0.395091838659836"	"-0.153864363724166"
"Vallitalea"	"0.166173512822099"	"-0.233873832860732"	"0.276955854703499"	"0.153864363724166"	"0.116936916430366"	"0.252337556507632"	"-0.132726164549789"	"-0.00615457454896664"
