name	FBG	Weight	AUC	Acetic acid	Propionic acid	Butyric acid	Valeric acid	Isovaleric acid 
HD11	7.2	39.21	1371	0.158	0.08	0.224	0.0096	0.0299
HD12	5.8	37.08	1228.5	0.109	0.036	0.1189	0.005	0.0115
HD13	4.9	32.97	868.5	0.357	0.121	0.4119	0.0218	0.0606
HD14	6.5	41.04	1183.5	0.181	0.105	0.2062	0.0129	0.0297
HD15	6	36.17	1090.5	0.361	0.172	0.372	0.0175	0.0376
MD11	15	25.16	3729	0.214	0.133	0.215	0.0089	0.0263
MD12	16.5	24.84	2904	0.234	0.0941	0.252	0.0091	0.0272
MD13	17.8	23.69	3441	0.297	0.163	0.328	0.0091	0.0355
MD14	14.2	26.43	3444	0.334	0.219	0.336	0.0122	0.0344
MD15	21.2	24.13	3402	0.691	0.237	0.831	0.0118	0.0574
