Genus	Acetatifactor	Acetivibrio	Akkermansia	Alistipes	Alkaliphilus	Anaerocolumna	Anaerotignum	Bacteroides	Bifidobacterium	Blautia	Clostridium_XlVa	Duncaniella	Eisenbergiella	Enterocloster	Flintibacter	Intestinimonas	Kineothrix	Lachnospiracea_incertae_sedis	Lacrimispora	Lawsonibacter	Ligilactobacillus	Muribaculum	Neglecta	Oscillibacter	Parabacteroides	Paramuribaculum	Pseudescherichia	Roseburia	Ruminococcus	Vallitalea
HD11	2.47	0.07	0.28	1.61	0.1	0.59	0.08	1.32	0.04	1.64	0.77	2.73	5.77	4.73	3.91	0.11	11.4	1.1	23.1	0.94	0.94	0.9	0.14	0.89	0.16	2.03	0.02	1.4	0.04	0.03
HD12	2.55	0.06	0.18	2.92	0.09	0.37	0.11	5.79	0.04	2.2	1.7	3.29	5.52	4.57	3.91	0.18	8.82	2.35	12.9	1.7	0.92	1.21	0.19	0.78	0.61	1.75	0.01	0.99	0.03	0.05
HD13	3.65	0.02	0.11	0.34	0.04	0.55	0.11	0.69	0	0.14	1.07	1.05	8	8.36	4.01	0.1	14.3	0.89	14.7	1.27	0.14	0.59	0.22	1.81	0.01	0.96	0	1.35	0.03	0.04
HD14	1.65	0.03	0.13	1.54	0.04	0.88	0.09	3.02	0.03	1.63	1.45	3.22	4.18	7.27	4.19	0.13	16.3	2.72	8.82	1.21	0.32	0.94	0.32	0.97	0.25	2.35	0.09	1.57	0.01	0
HD15	4.09	0.02	0.05	0.87	0.02	0.5	0.1	0.88	0.01	1.04	1.64	2.44	6.8	5.07	3.75	0.16	18.8	1.9	7.26	1.28	0.11	0.76	0.1	1.21	0.12	1.29	0.04	2.7	0.03	0
MD11	0.78	0.07	0.16	1.47	0.05	0.44	0.06	4.32	0.02	0.26	0.69	6.1	4.61	6.35	3.12	0.16	10.4	2.09	10.9	1.08	4.33	2.29	0.33	1.12	0.6	6.42	0.26	0.43	0.08	0.02
MD12	0.82	0.11	0.11	0.7	0.03	0.51	0.08	2.47	0.11	0.19	0.57	3.12	9.05	7.91	1.83	0.26	13.1	1.86	15.8	1.2	0.72	1.09	0.15	0.62	0.4	2.05	0.57	1.11	0.11	0.05
MD13	0.13	0.02	0.27	0.17	0.04	0.05	0.01	48.8	0.07	1.23	0.07	1.53	0.46	0.43	0.09	0.03	0.77	0.14	0.7	0.09	0.21	0.29	0.01	0.01	7.98	0.51	18.5	0.05	0.05	0
MD14	4.19	0.15	0.03	1.02	0.04	3.19	0.44	0.93	0.08	0.3	0.57	4.33	5.69	10.9	3.98	0.17	10.2	2.16	8.04	1.26	4.01	1.14	0.16	0.67	0.16	2.88	1.2	1.38	0.57	0.23
MD15	0.12	0.01	0.05	0.07	0.16	0.13	0.01	41.8	0.02	0.67	0.09	1.19	0.31	0.41	0.08	0.05	0.61	0.27	0.51	0.03	0.53	0.47	0.06	0.09	12.8	0.72	30.5	0.03	0.04	0.07
