""	"FBG"	"Weight"	"AUC"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Acetatifactor"	"0.734420478126368"	"0.224709721611535"	"0.761334126190767"	"0.334277774262268"	"0.224709721611535"	"0.392812473857179"	"0.734420478126368"	"0.710215687023253"
"Acetivibrio"	"0.210433186966985"	"0.944957242963548"	"0.782117059323447"	"0.80795376810589"	"0.442242922273622"	"0.729341305980494"	"0.972332184247199"	"0.199129580004507"
"Akkermansia"	"0.0816318667389466"	"0.811612289128439"	"0.314189207336272"	"0.945503884388185"	"0.608048420642438"	"0.608048420642438"	"1"	"0.314189207336272"
"Alistipes"	"0.0485663683321764"	"0.253940016323671"	"0.224709721611535"	"0.946024686716076"	"0.611522228764465"	"0.432825290403261"	"0.786256831343876"	"0.319035434521252"
"Alkaliphilus"	"0.125083522688398"	"0.862211498607325"	"0.55255537468285"	"0.437647467774119"	"0.117389173809517"	"0.862211498607325"	"0.726766854342927"	"0.600812742385509"
"Anaerocolumna"	"0.299521073913521"	"0.392812473857179"	"0.354860363650609"	"0.838940283432635"	"0.919489908382186"	"0.813385675911155"	"0.266979520995764"	"0.761334126190767"
"Anaerotignum"	"0.00500949934685436"	"0.604480042936989"	"0.12147009548003"	"0.531254147747558"	"0.423626071369854"	"0.917915990698424"	"0.1992210727874"	"0.704766153192667"
"Bacteroides"	"0.0485663683321764"	"0.611522228764465"	"0.0365218225548373"	"0.0590951757961918"	"0.253940016323671"	"0.285385559736468"	"0.100572343077647"	"0.564290595319312"
"Bifidobacterium"	"0.600901243597711"	"0.578411412167135"	"0.944957242963548"	"0.701992257777645"	"0.324421203868366"	"1"	"0.650740436105591"	"0.324421203868366"
"Blautia"	"0.451365872418061"	"0.392812473857179"	"0.973127591969731"	"0.236672074854997"	"0.660219082877699"	"0.224709721611535"	"0.946024686716076"	"0.0794970074685598"
"Clostridium_XlVa"	"0.145930281086398"	"0.0317403989537989"	"0.100572343077647"	"0.759101563752783"	"0.494415974546011"	"0.451365872418061"	"0.65713566818695"	"0.585902085370757"
"Duncaniella"	"0.100572343077647"	"0.761334126190767"	"0.710215687023253"	"0.585902085370757"	"0.224709721611535"	"0.518675731641258"	"0.892266465051744"	"0.197687696435356"
"Eisenbergiella"	"0.683627292710694"	"0.564290595319312"	"0.354860363650609"	"0.838940283432635"	"0.564290595319312"	"0.564290595319312"	"0.786256831343876"	"0.813385675911155"
"Enterocloster"	"0.634063169641358"	"0.518675731641258"	"0.813385675911155"	"0.734420478126368"	"0.432825290403261"	"0.761334126190767"	"0.838940283432635"	"0.866172574243286"
"Flintibacter"	"0.918718121839365"	"0.0197290889056974"	"0.838940283432635"	"0.280558711278909"	"0.11805707028779"	"0.371211816758289"	"0.864896603905895"	"0.892266465051744"
"Intestinimonas"	"0.249154639354334"	"0.585902085370757"	"0.539304507111633"	"0.918718121839365"	"0.734420478126368"	"0.494415974546011"	"0.707541927677733"	"0.299521073913521"
"Kineothrix"	"0.838940283432635"	"0.224709721611535"	"0.564290595319312"	"0.946024686716076"	"0.611522228764465"	"0.919489908382186"	"0.539304507111633"	"0.761334126190767"
"Lachnospiracea_incertae_sedis"	"0.946024686716076"	"0.319035434521252"	"0.866172574243286"	"0.236672074854997"	"0.319035434521252"	"0.285385559736468"	"0.585902085370757"	"0.319035434521252"
"Lacrimispora"	"0.786256831343876"	"0.319035434521252"	"0.813385675911155"	"0.266979520995764"	"0.110960214260877"	"0.224709721611535"	"1"	"0.392812473857179"
"Lawsonibacter"	"0.946024686716076"	"0.0664263123251895"	"0.973127591969731"	"0.371211816758289"	"0.129548758655933"	"0.392812473857179"	"0.946024686716076"	"0.813385675911155"
"Ligilactobacillus"	"0.585902085370757"	"0.761334126190767"	"0.224709721611535"	"0.494415974546011"	"0.919489908382186"	"0.761334126190767"	"0.100572343077647"	"0.354860363650609"
"Muribaculum"	"0.11805707028779"	"0.611522228764465"	"0.564290595319312"	"0.634063169641358"	"0.392812473857179"	"0.660219082877699"	"0.946024686716076"	"0.224709721611535"
"Neglecta"	"0.145930281086398"	"0.334277774262268"	"0.371211816758289"	"0.972869290601535"	"0.734420478126368"	"0.410266409511767"	"0.608065183332192"	"0.371211816758289"
"Oscillibacter"	"0.683627292710694"	"0.054984996729389"	"0.611522228764465"	"0.410266409511767"	"0.150155354805874"	"0.354860363650609"	"0.494415974546011"	"0.761334126190767"
"Parabacteroides"	"0.0650599431922137"	"0.275593635147836"	"0.0255868500347422"	"0.0933132216366131"	"0.383316082535121"	"0.30924447877538"	"0.150371879823529"	"0.244239811663846"
"Paramuribaculum"	"0.539304507111633"	"0.761334126190767"	"0.866172574243286"	"1"	"0.710215687023253"	"0.432825290403261"	"0.892266465051744"	"0.253940016323671"
"Pseudescherichia"	"0.0100856544540878"	"0.137298872329486"	"0.0238135972999213"	"0.674652625316983"	"0.701923622554371"	"0.972325533277193"	"0.527068657143802"	"0.862211498607325"
"Roseburia"	"0.811620853981747"	"0.137530341384825"	"0.892266465051744"	"0.38814048210487"	"0.208599225286812"	"0.494415974546011"	"0.811620853981747"	"0.946024686716076"
"Ruminococcus"	"0.0312829818532939"	"0.385722285045956"	"0.00690533556784695"	"0.363234265207506"	"0.346080838661218"	"0.943230260902335"	"0.224081377243129"	"0.886713094886683"
"Vallitalea"	"0.0650599431922137"	"0.556571233162432"	"0.510367926622765"	"0.227065764611145"	"0.163921244982706"	"0.653936167187092"	"0.361592388057637"	"0.556571233162432"
