feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	HDA	HDC	0.366651960338424	none	0.366651960338424
ko00564	LinDA	HDA	HDC	0.968379936130217	none	0.968379936130217
ko00680	LinDA	HDA	HDC	0.309390512682129	none	0.309390512682129
ko00562	LinDA	HDA	HDC	0.939019927515785	none	0.939019927515785
ko03030	LinDA	HDA	HDC	0.774024308071172	none	0.774024308071172
ko00561	LinDA	HDA	HDC	0.438770387806581	none	0.438770387806581
ko00440	LinDA	HDA	HDC	0.61942929971357	none	0.61942929971357
ko00250	LinDA	HDA	HDC	0.760297803945144	none	0.760297803945144
ko00740	LinDA	HDA	HDC	0.868351982895774	none	0.868351982895774
ko04940	LinDA	HDA	HDC	0.12944805920532	none	0.12944805920532
ko00010	LinDA	HDA	HDC	0.502504516051597	none	0.502504516051597
ko05412	LinDA	HDA	HDC	0.209292513259337	none	0.209292513259337
ko00195	LinDA	HDA	HDC	0.595108979711105	none	0.595108979711105
ko03450	LinDA	HDA	HDC	0.220521422872432	none	0.220521422872432
ko00760	LinDA	HDA	HDC	0.761026307438352	none	0.761026307438352
ko00920	LinDA	HDA	HDC	0.823092520072255	none	0.823092520072255
ko00311	LinDA	HDA	HDC	0.123353768047322	none	0.123353768047322
ko00310	LinDA	HDA	HDC	0.8002860061642	none	0.8002860061642
ko04146	LinDA	HDA	HDC	0.938409897435599	none	0.938409897435599
ko00600	LinDA	HDA	HDC	0.666729343283904	none	0.666729343283904
ko04141	LinDA	HDA	HDC	0.0261723538960355	none	0.0261723538960355
ko04142	LinDA	HDA	HDC	0.0859256317387965	none	0.0859256317387965
ko00604	LinDA	HDA	HDC	0.181468347018923	none	0.181468347018923
ko04260	LinDA	HDA	HDC	0.00604338105718638	none	0.00604338105718638
ko05142	LinDA	HDA	HDC	0.00228725367710918	none	0.00228725367710918
ko00513	LinDA	HDA	HDC	0.803495001181884	none	0.803495001181884
ko04973	LinDA	HDA	HDC	0.29371545199709	none	0.29371545199709
ko00510	LinDA	HDA	HDC	0.724499966878343	none	0.724499966878343
ko05110	LinDA	HDA	HDC	0.978028675239648	none	0.978028675239648
ko04974	LinDA	HDA	HDC	0.697281517366031	none	0.697281517366031
ko04976	LinDA	HDA	HDC	0.174217765547125	none	0.174217765547125
ko00450	LinDA	HDA	HDC	0.673797632015005	none	0.673797632015005
ko01051	LinDA	HDA	HDC	0.487214694756089	none	0.487214694756089
ko00565	LinDA	HDA	HDC	0.40444199633333	none	0.40444199633333
ko00524	LinDA	HDA	HDC	0.183943061141941	none	0.183943061141941
ko00300	LinDA	HDA	HDC	0.71344142594557	none	0.71344142594557
ko05222	LinDA	HDA	HDC	0.114427488536841	none	0.114427488536841
ko05416	LinDA	HDA	HDC	0.114427488536841	none	0.114427488536841
ko00260	LinDA	HDA	HDC	0.569655096336377	none	0.569655096336377
ko00190	LinDA	HDA	HDC	0.338911156627764	none	0.338911156627764
ko03440	LinDA	HDA	HDC	0.736062766609909	none	0.736062766609909
ko00750	LinDA	HDA	HDC	0.852208552571952	none	0.852208552571952
ko00950	LinDA	HDA	HDC	0.128734616321191	none	0.128734616321191
ko00592	LinDA	HDA	HDC	0.157240351481556	none	0.157240351481556
ko00591	LinDA	HDA	HDC	0.254576600315526	none	0.254576600315526
ko00590	LinDA	HDA	HDC	0.993508445805293	none	0.993508445805293
ko00061	LinDA	HDA	HDC	0.568887650108202	none	0.568887650108202
ko03070	LinDA	HDA	HDC	0.569760408934397	none	0.569760408934397
ko00253	LinDA	HDA	HDC	0.539204509277127	none	0.539204509277127
ko03060	LinDA	HDA	HDC	0.657152546200948	none	0.657152546200948
