feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	edgeR	NCA	NCC	0.971326212479758	none	0.971326212479758
ko00564	edgeR	NCA	NCC	0.932369531712269	none	0.932369531712269
ko00680	edgeR	NCA	NCC	0.816751189769757	none	0.816751189769757
ko00562	edgeR	NCA	NCC	0.986182720879518	none	0.986182720879518
ko03030	edgeR	NCA	NCC	0.819073443734454	none	0.819073443734454
ko00561	edgeR	NCA	NCC	0.914248223292412	none	0.914248223292412
ko00440	edgeR	NCA	NCC	0.818205197210194	none	0.818205197210194
ko00250	edgeR	NCA	NCC	0.944363734716002	none	0.944363734716002
ko00740	edgeR	NCA	NCC	0.160217004432666	none	0.160217004432666
ko04940	edgeR	NCA	NCC	0.789403983939011	none	0.789403983939011
ko00010	edgeR	NCA	NCC	0.998997787441197	none	0.998997787441197
ko05412	edgeR	NCA	NCC	0.0192157720960401	none	0.0192157720960401
ko00195	edgeR	NCA	NCC	0.877354811944972	none	0.877354811944972
ko03450	edgeR	NCA	NCC	0.180417615077614	none	0.180417615077614
ko00760	edgeR	NCA	NCC	0.795214107670071	none	0.795214107670071
ko00920	edgeR	NCA	NCC	0.937354275005282	none	0.937354275005282
ko00311	edgeR	NCA	NCC	0.578004815154058	none	0.578004815154058
ko00310	edgeR	NCA	NCC	0.77299285769285	none	0.77299285769285
ko04146	edgeR	NCA	NCC	0.566489453572386	none	0.566489453572386
ko00600	edgeR	NCA	NCC	0.92234222429553	none	0.92234222429553
ko04141	edgeR	NCA	NCC	0.894465374306809	none	0.894465374306809
ko04142	edgeR	NCA	NCC	0.961833249214099	none	0.961833249214099
ko00604	edgeR	NCA	NCC	0.482988253988251	none	0.482988253988251
ko04260	edgeR	NCA	NCC	6.7736691910234e-08	none	6.7736691910234e-08
ko05142	edgeR	NCA	NCC	0.0177132400586616	none	0.0177132400586616
ko00513	edgeR	NCA	NCC	0.0851879101162539	none	0.0851879101162539
ko04973	edgeR	NCA	NCC	0.0800282558170157	none	0.0800282558170157
ko00510	edgeR	NCA	NCC	0.456745684098233	none	0.456745684098233
ko05110	edgeR	NCA	NCC	0.999999999999993	none	0.999999999999993
ko04974	edgeR	NCA	NCC	0.000616196921165613	none	0.000616196921165613
ko04976	edgeR	NCA	NCC	0.67516669268672	none	0.67516669268672
ko00450	edgeR	NCA	NCC	0.778112416332547	none	0.778112416332547
ko01051	edgeR	NCA	NCC	0.785926260759648	none	0.785926260759648
ko00565	edgeR	NCA	NCC	0.0304045263119608	none	0.0304045263119608
ko00524	edgeR	NCA	NCC	0.720376510856168	none	0.720376510856168
ko00300	edgeR	NCA	NCC	0.957100045446807	none	0.957100045446807
ko05222	edgeR	NCA	NCC	0.213622532399613	none	0.213622532399613
ko05416	edgeR	NCA	NCC	0.213622532399613	none	0.213622532399613
ko00260	edgeR	NCA	NCC	0.854377613719962	none	0.854377613719962
ko00190	edgeR	NCA	NCC	0.857508958601836	none	0.857508958601836
ko03440	edgeR	NCA	NCC	0.803044365723059	none	0.803044365723059
ko00750	edgeR	NCA	NCC	0.531488159454254	none	0.531488159454254
ko00950	edgeR	NCA	NCC	0.810656707107922	none	0.810656707107922
ko00592	edgeR	NCA	NCC	0.00104440778319149	none	0.00104440778319149
ko00591	edgeR	NCA	NCC	0.889661762988117	none	0.889661762988117
ko00590	edgeR	NCA	NCC	8.24988114913192e-05	none	8.24988114913192e-05
ko00061	edgeR	NCA	NCC	0.725256842070281	none	0.725256842070281
ko03070	edgeR	NCA	NCC	0.645236191480692	none	0.645236191480692
ko00253	edgeR	NCA	NCC	0.544752841242091	none	0.544752841242091
ko03060	edgeR	NCA	NCC	0.840152532679663	none	0.840152532679663
ko00380	edgeR	NCA	NCC	0.967432805063878	none	0.967432805063878
ko00500	edgeR	NCA	NCC	0.991790591370978	none	0.991790591370978
ko05120	edgeR	NCA	NCC	0.675326907354946	none	0.675326907354946
ko04966	edgeR	NCA	NCC	0.999999999999993	none	0.999999999999993
ko04964	edgeR	NCA	NCC	0.265703578850491	none	0.265703578850491
ko00625	edgeR	NCA	NCC	0.752527097174325	none	0.752527097174325
ko00624	edgeR	NCA	NCC	0.111706033976567	none	0.111706033976567
ko00627	edgeR	NCA	NCC	0.546822361245818	none	0.546822361245818
ko00626	edgeR	NCA	NCC	0.860659825761454	none	0.860659825761454
ko00621	edgeR	NCA	NCC	0.537868456936056	none	0.537868456936056
ko00620	edgeR	NCA	NCC	0.850531668030779	none	0.850531668030779
ko00623	edgeR	NCA	NCC	0.764414950462347	none	0.764414950462347
ko00622	edgeR	NCA	NCC	0.302587616559255	none	0.302587616559255
ko00270	edgeR	NCA	NCC	0.998347793438869	none	0.998347793438869
ko00940	edgeR	NCA	NCC	0.995297093090638	none	0.995297093090638
ko00941	edgeR	NCA	NCC	0.588843648213902	none	0.588843648213902
ko01053	edgeR	NCA	NCC	0.951929150616642	none	0.951929150616642
ko00100	edgeR	NCA	NCC	3.11243705259804e-45	none	3.11243705259804e-45
ko00945	edgeR	NCA	NCC	1	none	1
ko05016	edgeR	NCA	NCC	0.794519388305539	none	0.794519388305539
ko04145	edgeR	NCA	NCC	0.999999999999993	none	0.999999999999993
ko00071	edgeR	NCA	NCC	0.979756976597663	none	0.979756976597663
ko00072	edgeR	NCA	NCC	0.388822443564717	none	0.388822443564717
ko05219	edgeR	NCA	NCC	1.10975757750123e-36	none	1.10975757750123e-36
ko05215	edgeR	NCA	NCC	0.849726174235022	none	0.849726174235022
ko05211	edgeR	NCA	NCC	1.46807066219424e-10	none	1.46807066219424e-10
ko05210	edgeR	NCA	NCC	0.213622532399613	none	0.213622532399613
ko01055	edgeR	NCA	NCC	0.9088158124054	none	0.9088158124054
ko04910	edgeR	NCA	NCC	0.720100486643397	none	0.720100486643397
ko00531	edgeR	NCA	NCC	0.543300616687721	none	0.543300616687721
ko04916	edgeR	NCA	NCC	0.999999999999993	none	0.999999999999993
ko00360	edgeR	NCA	NCC	0.808269763755375	none	0.808269763755375
ko00633	edgeR	NCA	NCC	0.458267772207113	none	0.458267772207113
ko00630	edgeR	NCA	NCC	0.854662110910923	none	0.854662110910923
ko00363	edgeR	NCA	NCC	0.87230481973731	none	0.87230481973731
ko00364	edgeR	NCA	NCC	5.49674162948938e-08	none	5.49674162948938e-08
ko05130	edgeR	NCA	NCC	0.205670758540899	none	0.205670758540899
ko04115	edgeR	NCA	NCC	0.213622532399613	none	0.213622532399613
ko00121	edgeR	NCA	NCC	0.0492172859033666	none	0.0492172859033666
ko04914	edgeR	NCA	NCC	0.849726174235022	none	0.849726174235022
ko00430	edgeR	NCA	NCC	0.685295953921131	none	0.685295953921131
ko02010	edgeR	NCA	NCC	0.943663192052866	none	0.943663192052866
ko00130	edgeR	NCA	NCC	0.76358047526527	none	0.76358047526527
ko03050	edgeR	NCA	NCC	0.000116350150313599	none	0.000116350150313599
ko00361	edgeR	NCA	NCC	0.00355139475704907	none	0.00355139475704907
ko00040	edgeR	NCA	NCC	0.517980173453586	none	0.517980173453586
ko00730	edgeR	NCA	NCC	0.830963128327785	none	0.830963128327785
ko00362	edgeR	NCA	NCC	0.825359699248458	none	0.825359699248458
ko01040	edgeR	NCA	NCC	0.792492962036218	none	0.792492962036218
ko00603	edgeR	NCA	NCC	0.979122172971275	none	0.979122172971275
ko03018	edgeR	NCA	NCC	0.847101559591424	none	0.847101559591424
ko00281	edgeR	NCA	NCC	0.624226711348531	none	0.624226711348531
ko00280	edgeR	NCA	NCC	0.657502520696297	none	0.657502520696297
ko03013	edgeR	NCA	NCC	0.851840450190889	none	0.851840450190889
ko04626	edgeR	NCA	NCC	0.888372630850369	none	0.888372630850369
ko05200	edgeR	NCA	NCC	0.787323925227569	none	0.787323925227569
ko03015	edgeR	NCA	NCC	0.999999999999993	none	0.999999999999993
ko00312	edgeR	NCA	NCC	0.310887151972781	none	0.310887151972781
ko05020	edgeR	NCA	NCC	0.0692886957602074	none	0.0692886957602074
ko05143	edgeR	NCA	NCC	0.347289123952119	none	0.347289123952119
