OTUID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_1	41	48	394	500	1129	215	716	48	1338	325	54	41	783	2263	47	142	4782	1041	4424	56	2122	20	6864	4125	1337	18	38	2401	60	4453	3039	2981	1115	1728	50	24	3503	482	3091	2011	1873	20	335	41	49
ASV_2	1251	4563	2439	792	2035	1999	1027	1630	224	929	72	3174	8460	1294	6113	471	1986	1529	1148	40	1346	8	131	26	396	4853	1406	1135	2259	3011	16	61	264	65	61	1696	99	25	11	15	20	105	70	111	60
ASV_4	23	43	203	88	310	209	304	46	33	57	19	113	92	34	39	43	13	35	43	53	38	66	25	30	17	111	28	33	31	20	54	5941	147	270	363	515	1369	16	18	27	20	10809	8786	5703	5628
ASV_15	1572	66	5371	2434	2336	745	674	34	381	2034	31	2115	26	1798	89	1939	405	1000	143	64	34	31	281	399	271	16	328	1713	9598	676	22	71	75	367	87	168	60	27	23	60	28	417	26	161	157
ASV_3	886	56	134	98	56	64	29	1124	7001	694	2055	112	30	43	60	9199	45	57	70	130	35	46	86	61	67	34	102	94	105	56	2540	645	178	563	166	86	582	2162	2813	1595	1319	383	218	1055	1282
ASV_6	684	919	147	156	86	63	113	547	1799	1242	909	1375	845	357	509	672	2340	337	184	12	217	16	1205	778	1074	760	1766	1317	435	846	2519	375	38	39	40	48	75	2497	2829	849	1085	141	761	444	927
ASV_9	32	30	212	247	560	149	374	24	733	161	24	15	449	1279	22	78	2592	609	2364	31	1016	4	3833	2286	675	9	32	1360	38	2382	1717	1579	623	932	27	16	1959	292	1734	1173	1020	12	174	29	16
ASV_8	68	652	0	10	1	2399	118	10595	55	189	13398	15	41	32	38	57	2	25	6	7	5	38	47	66	62	4450	33	2	3	3	2	11	35	16	3	24	2	26	0	0	1	12	14	38	13
ASV_12	753	835	2177	1693	2551	1649	2714	667	33	536	303	1593	1210	24	1139	31	187	265	2454	46	498	17	1304	980	1037	1298	34	1446	895	783	59	17	27	67	116	18	34	50	15	80	47	24	20	15	16
ASV_7	3	7	10	7	0	37	15	44	22	7	2	0	14	16	22	1	1	157	382	10443	700	17226	10	6	7	18	9	7	8	5	3	7	20	20	1	0	0	2	4	12	1	20	1	0	3
ASV_5	11524	155	132	426	1580	985	978	457	47	91	4756	997	583	386	2067	53	42	47	46	17	33	1	37	69	63	95	28	74	1253	287	80	117	25	15	26	29	13	62	129	554	34	46	211	10	136
ASV_13	138	1189	544	394	166	664	530	232	981	1087	186	1046	680	296	592	327	1000	732	527	338	884	193	788	640	1035	615	2953	1309	268	425	405	160	273	456	323	480	628	664	764	250	447	155	356	191	243
ASV_26	308	1419	613	306	847	1632	985	2140	117	377	1273	287	345	1252	794	69	197	158	179	29	326	50	1021	656	1784	1450	45	126	39	82	145	685	591	191	186	1699	575	77	69	1084	432	395	362	119	765
ASV_11	354	189	28	39	38	29	23	623	2058	1118	776	679	411	161	101	1032	557	200	96	39	109	114	537	1239	883	712	1086	313	310	508	1066	812	112	221	75	315	338	736	1074	850	730	1087	1561	968	920
ASV_14	2120	1672	280	304	61	180	165	2571	4207	1292	2367	1540	835	138	250	903	394	37	9	41	21	5	204	433	1168	733	262	99	79	45	160	90	10	5	6	9	6	347	206	194	497	26	84	364	31
ASV_16	789	675	914	798	1097	652	741	1122	221	819	1607	297	742	1538	1310	598	442	476	1335	15	297	8	917	1002	776	1143	317	481	952	667	183	21	39	48	51	68	32	200	356	338	90	32	23	23	42
ASV_10	126	298	421	1577	142	846	266	220	847	460	165	2678	172	27	91	1586	409	642	122	3	70	13	94	413	688	91	762	1712	283	98	721	162	610	1536	403	113	425	388	1355	374	245	322	401	387	769
ASV_22	168	30	63	92	47	28	14	448	116	208	316	67	48	15	38	103	356	79	64	37	38	77	122	139	194	803	100	225	110	46	643	218	1902	3039	1629	4995	2729	463	592	278	282	155	362	319	289
ASV_27	382	546	1426	1387	1924	883	1904	326	42	351	160	1078	797	31	638	30	215	296	1922	32	412	15	1135	907	676	674	34	1129	648	759	106	38	26	87	99	23	79	120	39	172	107	42	32	23	24
ASV_97	955	335	352	477	266	670	564	835	479	913	439	1001	858	371	621	1416	267	347	251	35	407	43	510	948	944	621	723	320	319	173	277	864	259	103	197	40	233	273	100	500	516	328	741	192	502
