ANC	CMD	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	0.0334	0.0332666666666667	0.0293119047619048	0.482944841269841
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned|Unassigned|Unassigned	0.0277	0.0283166666666667	0.0247119047619048	0.401455086580087
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.0247095238095238	0.0281166666666667	0.0237095238095238	0.397975
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruthenibacterium	0.0254	0.0262	0.0234142857142857	0.375967063492063
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	0.0243	0.02155	0.01995	0.368452922077922
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Caecibacterium	0.0186666666666667	0.0192833333333333	0.0179785714285714	0.344185245310245
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus	0.0188	0.0209833333333333	0.0173333333333333	0.327731060606061
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.0186666666666667	0.01765	0.0165119047619048	0.365581349206349
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.0160333333333333	0.0174166666666667	0.0152619047619048	0.281401515151515
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.0156166666666667	0.0161	0.0147261904761905	0.304118162393162
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	0.0153	0.01245	0.0122452380952381	0.27047095959596
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	0.0108	0.0118666666666667	0.0107785714285714	0.257459451659452
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0.00816666666666666	0.0104	0.00915238095238095	0.208067604617605
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio	0.00803333333333333	0.00606666666666667	0.00616031746031746	0.197157936507936
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Unassigned	0.00766666666666667	0.00543333333333333	0.00589047619047619	0.20129531024531
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	0.00628333333333333	0.00625	0.00564603174603175	0.159357936507937
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.0069	0.0054	0.00548452380952381	0.179142857142857
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Unassigned	0.00495	0.00566666666666667	0.00512619047619048	0.167089357864358
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	0.00545	0.00515	0.00477380952380952	0.143161111111111
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus2	0.00331666666666667	0.00613333333333333	0.00441190476190476	0.200912085137085
Bacteria|Acidobacteria|Acidobacteria_Gp15|Unassigned|Unassigned|Gp15	0.0034	0.00511666666666667	0.00406428571428571	0.172111507936508
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	0.00623333333333333	0.00241666666666667	0.0038047619047619	0.0966803113553113
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.00295	0.00225	0.00268095238095238	0.105777380952381
