BHD	CMD	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Ihubacter	0.0195833333333333	0.0161666666666667	0.0175571428571429	0.44458916083916
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum	0.0168666666666667	0.0189833333333333	0.0152047619047619	0.449191197691198
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hungatella	0.0213666666666667	0.0138	0.0147845238095238	0.315606043956044
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0.0114166666666667	0.0069	0.00816428571428572	0.32598961038961
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Cellulosibacter	0.00991666666666667	0.00703333333333333	0.00754126984126984	0.304922766122766
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Herbinix	0.00758333333333333	0.00805	0.00650476190476191	0.235360156510157
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum	0.00516666666666667	0.0037	0.00441190476190476	0.196783222333222
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Merdimonas	0.00333333333333333	0.002	0.0027047619047619	0.0850619935619936
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Lawsonibacter	0.00183333333333333	0.00433333333333333	0.0025547619047619	0.112986718836719
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Unassigned	0.00566666666666667	0.00111666666666667	0.0024984126984127	0.153513974913975
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Marvinbryantia	0.00233333333333333	0.00253333333333333	0.00237142857142857	0.0745860028860029
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Harryflintia	0.00191666666666667	0.00383333333333333	0.00223571428571429	0.0754454711954712
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hespellia	0.00266666666666667	0.00166666666666667	0.00206785714285714	0.0614626262626263
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	0.00166666666666667	0.0027	0.00178333333333333	0.0906578477078477
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter	0.00103333333333333	0.00208333333333333	0.0015	0.114125419025419
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	3.33333333333334e-05	0.00291666666666667	0.00148333333333333	0.131616738816739
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetatifactor	0.00261666666666667	0.000683333333333333	0.0011952380952381	0.177384704184704
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Syntrophococcus	0.00171666666666667	0.00075	0.00105833333333333	0.176947047397047
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiracea_incertae_sedis	0.00201666666666667	0.000316666666666667	0.000822222222222222	0.100900088800089
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter	0.00116666666666667	0.000333333333333333	8e-04	0.0625659784659785
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Dysosmobacter	8.33333333333333e-05	0.000916666666666667	0.000769047619047619	0.101146225996226
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Sellimonas	0.00183333333333333	-0.000483333333333334	0.000759523809523809	0.130825291375291
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter	0.000833333333333333	0.00131666666666667	0.000746428571428571	0.0526015373515374
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	0.000916666666666667	-8.33333333333334e-05	0.000535714285714286	0.0583641414141414
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	5e-04	5e-04	5e-04	0.0161393939393939
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flavonifractor	5e-04	5e-04	5e-04	0.0189515151515152
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus	8.33333333333333e-05	2e-04	0.000476190476190476	0.0724077922077922
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	-0.000166666666666667	0.000416666666666667	0.000307142857142857	0.0409145021645022
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotignum	8.33333333333333e-05	0.000416666666666667	0.000283333333333333	0.0270404761904762
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	5e-05	0.000333333333333333	0.000233333333333333	0.0187457264957265
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Muricomes	5e-04	0	2e-04	0.0155406371406371
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	5e-04	8.33333333333333e-05	0.000176190476190476	0.0452062049062049
