Genus	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15
Bacteria|Acidobacteria|Acidobacteria_Gp15|Unassigned|Unassigned|Gp15	0.0637337023818195	0.00346482338062817	0.0123324113387713	0.0751019850820148	0.00174052285306506	0.0306356905795251	0.0276582136251275	0.33296724369367	0.0480060918075121	0.039866447401206	0.0363545912021889	0.0219579139981702	0.029508765839264	0.0728931087976375	0.0495986185866231	0.00179169727482844	0	0.00190817845284891	0	0.00177122816961281	0	0	0	0	0	0	0	0	0	0.00184297825285662
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0.291354068031175	1.44656376141226	0.445728581244164	0.0682745318927407	1.01472482333693	0.0272317249595779	0.409687289322201	0.882101703188466	0.0546276217119966	0.0996661185030149	0.143504965271798	0.109789569990851	0.206561360874848	0.0149524325738744	0.159817771001341	0.0609177073441671	0.0397240980824094	0.112582528718086	0.0335095688435475	0.0389670197314818	0.0145761970701844	0.00527361260041837	0.00354126458558351	0.0093179276928811	0.0129220431596242	0.0330044469149528	0.0272808761058498	0.00719515046858417	0.0115185256287195	0.0165868042757095
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.34962488163741	1.2178854182908	0.401684255034266	0.0477921723249185	0.835450969471229	0.21615181686665	0.252381199329288	1.08780921499922	0.160572100183747	0.255809704157738	0.0344411916652316	0.0969807868252516	0.112827634091304	0.0261667570042801	0.110219152414718	0.102126744665221	0.142645624932288	0.265236804945999	0.0651574949735647	0.0478231605795459	0.00728809853509219	0.0105472252008367	0.0106237937567505	0.00372717107715244	0.00923003082830297	0.00173707615341857	0	0.00359757523429209	0.00383950854290651	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	0.244009031976109	0.44522980441072	0.0704709219358362	0.134842200488163	0.466460124621436	0.302952940175304	0.0950751093363757	0.364346355664801	0.0943568011389031	0.0647829770269597	0.0133937967587012	0.0128087831655993	0.0104148585315049	0.0149524325738744	0.0275547881036795	0.0447924318707111	0.0722256328771081	0.041979925962676	0.0893588502494601	0.0212547380353537	0.0510166897456454	0.014062966934449	0.00531189687837527	0.0279537830786433	0.0369201233132119	0.0052112284602557	0.0155890720604856	0.00359757523429209	0.0211172969859858	0.0147438260228529
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio	0.0837642945589628	0.294509987353395	0.0880886524197953	0.114359840920341	0.224527448045393	0.0578674155391031	0.0691455340628187	0.174328399839618	0.0695260639970865	0.0348831414760552	0.0248741939804451	0.0237877401646844	0.0329803853497657	0.00560716221520289	0.0330657457244154	0.0268754591224267	0.0216676898631324	0.00381635690569782	0.0093082135676521	0.0159410535265153	0.0109321478026383	0.014062966934449	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned	0.0710175540825989	0.294509987353395	0.0510914184034813	0.141669653677437	0.428168621854005	0.013615862479789	0.0155577451641342	0.0104597039903771	0.0165538247612111	0.013288815800402	0.00382679907391462	0	0.00173580975525082	0.00373810814346859	0.0055109576207359	0.0107501836489707	0.0018056408219277	0.0133572491699424	0	0.00531368450883843	0.00546607390131915	0.0070314834672245	0.00177063229279176	0.00559075661572866	0.0147680493252847	0	0	0	0	0.00184297825285662
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	0.00728385170077937	0.0121268818321986	0.00880886524197953	0.0341372659463704	0.0104431371183904	0.0306356905795251	0.0155577451641342	0.0313791119711312	0.0480060918075121	0.0348831414760552	0.0631421847195913	0.0384263494967978	0.00520742926575247	0.0859764872997776	0.113893124161875	0.00537509182448534	0.0126394857534939	0.124031599435179	0.00372328542706084	0.00708491267845124	0.00182202463377305	0	0.00177063229279176	0.00186358553857622	0.00923003082830297	0.00694830461367426	0.13835301453681	0.00359757523429209	0.0307160683432521	0.00737191301142646
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.560856580960012	0.403651923843182	0.49505822659925	0.4147677812484	0.469941170327566	0.401667943153774	0.36819996888451	0.29635827972735	0.321144200367495	0.496669490540024	1.03706254903086	0.78316559926807	0.383613955910432	0.366334598059922	0.868894318202693	1.2093956605092	2.71387815535734	0.744189596611075	1.47255938640256	2.14141485706189	1.35740835216092	0.611739061648531	0.45328186695469	0.922474841595229	1.4288087722213	1.18121178432462	4.8891227249698	0.527044771823791	2.75292762526397	0.674530040545522
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.00728385170077937	0.0121268818321986	0.0105706382903754	0.0119480430812296	0.00174052285306506	0.00170198280997362	0.00345727670314094	0.00348656799679236	0.0115876773328478	0.0033222039501005	0.00191339953695731	0.0219579139981702	0.00347161951050165	0.0112143244304058	0.0385767033451513	0.0913765610162507	0.0108338449315662	0.110674350265237	0.0614342095465038	0.0513656169187715	0.142117921434298	0.0263680630020919	0.0424951750270021	0.0260901975400671	0.169832567240775	0.204974986103391	0.448185821738961	0.0233842390228986	0.191975427145325	0.0552893475856985
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella	7.57520576881055	7.23281880706131	10.341607794084	4.07598955399662	5.76461168935148	1.74793634584291	3.35528704039828	4.76265188361836	2.45824297703984	1.92355608710819	9.34312993896256	12.9313815187557	7.29560840131922	16.9934396202082	12.6605066407039	2.2611219608335	3.69795240330793	7.82925619203908	7.21758880035744	4.08268093095753	6.77428758836819	3.92708351644488	1.87332896577368	3.52590383898621	5.71892710121652	2.93913285158421	3.23473245255076	1.09546165884194	3.21174889614129	2.42535938075931
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	9.06475344161993	6.57623477643227	10.5230704180687	4.53001519108335	5.270303199081	4.22091736873458	6.50659475531124	4.59878318776912	4.25929911105961	3.55309712463248	1.89809234066165	2.94419030192132	1.49626800902621	3.03160570435303	4.14056615904624	3.09067779907907	3.85323751399372	11.2239056596573	7.75188025914067	5.59885224414609	6.77975366226951	4.14681737479565	1.54399135931441	2.26612001490868	3.46126156061361	1.06482768204558	1.13020772438521	0.554026586080981	1.00403148397005	0.676373018798378
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum	8.39828101099862	8.19603970687594	9.93639999295291	3.30790107020329	7.0787064434156	3.49417070887584	8.31302183270238	8.29977511636421	5.43627605158172	3.75409046361356	2.08177869620956	2.67520585544373	1.86946710640514	1.96250677532101	3.06776640887632	2.61229462669987	2.98652991946842	7.49150860588482	8.10373073199792	4.30408445215913	9.27410538590482	4.95368010265966	1.74938470527825	4.99068207230712	5.00636872127153	1.89515008337966	1.98955532171947	0.793265339161405	2.12900748704166	1.2403243641725
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0.149318959865977	0.220016284669889	0.267789503356178	0.109239251028385	0.328958819229296	1.38541400731853	1.74246745838303	1.43123616268326	1.1289708487146	1.18602681018588	0.792147408300327	1.50228728270814	0.890470404443673	1.20180176812515	1.14627918511307	0.331463995843262	0.240150229316384	0.234705949700416	0.834015935661628	0.403840022671721	0.949274834195758	0.585370998646439	0.148733112594507	0.197540067089079	0.27874693101475	0.356100611450806	0.198760668771191	0.17268361124602	0.370512574390478	0.121636564688537
