source,target,correlation,direct,cor
ASV_1532,ASV_12,-0.998458374305719,undirected,-
ASV_21,ASV_15,0.999830431830538,undirected,+
ASV_1302,ASV_15,0.999155842910281,undirected,+
ASV_483,ASV_6,0.998684589581254,undirected,+
ASV_9,ASV_1,0.999948584080733,undirected,+
ASV_41,ASV_1,0.99902095347801,undirected,+
ASV_1497,ASV_1,0.998783004321252,undirected,+
ASV_1022,ASV_1,0.999919190828572,undirected,+
ASV_29,ASV_27,0.998797232731793,undirected,+
ASV_1618,ASV_44,0.999221534551598,undirected,+
ASV_1302,ASV_21,0.999560242675104,undirected,+
ASV_41,ASV_9,0.998599917631335,undirected,+
ASV_1497,ASV_9,0.998874514179119,undirected,+
ASV_1022,ASV_9,0.999848391132399,undirected,+
ASV_876,ASV_35,0.999911894822113,undirected,+
ASV_695,ASV_107,-0.999302105613814,undirected,-
ASV_1629,ASV_11,0.99849978231844,undirected,+
ASV_41,ASV_1412,0.998626912934734,undirected,+
ASV_1497,ASV_1412,0.99972599534117,undirected,+
ASV_137,ASV_1412,0.998861628592138,undirected,+
ASV_1497,ASV_41,0.998451703159935,undirected,+
ASV_137,ASV_41,0.999080321323434,undirected,+
ASV_1022,ASV_41,0.998878748649873,undirected,+
ASV_380,ASV_96,0.999130600980664,undirected,+
ASV_95,ASV_83,0.99930953627479,undirected,+
ASV_386,ASV_83,0.998583510589944,undirected,+
ASV_103,ASV_101,0.998894110863851,undirected,+
ASV_536,ASV_103,0.998988012386362,undirected,+
ASV_109,ASV_290,0.999343026197712,undirected,+
ASV_183,ASV_290,0.999762401534585,undirected,+
ASV_527,ASV_290,0.999529467392293,undirected,+
ASV_842,ASV_290,0.999954572407707,undirected,+
ASV_164,ASV_290,0.998657106644598,undirected,+
ASV_500,ASV_290,0.999975221096285,undirected,+
ASV_386,ASV_95,0.999155692603184,undirected,+
ASV_1660,ASV_417,0.999803549423656,undirected,+
ASV_119,ASV_57,0.999343238451832,undirected,+
ASV_51,ASV_8,0.999553048862301,undirected,+
ASV_398,ASV_8,0.99958839703542,undirected,+
ASV_1439,ASV_8,0.999076709435691,undirected,+
ASV_624,ASV_8,0.999104525779792,undirected,+
ASV_481,ASV_8,0.999030727054191,undirected,+
ASV_475,ASV_8,0.998791368486235,undirected,+
ASV_1216,ASV_8,0.99934321466436,undirected,+
ASV_905,ASV_8,0.99934321466436,undirected,+
ASV_291,ASV_124,0.999103685192196,undirected,+
ASV_137,ASV_1497,0.998849077716454,undirected,+
ASV_1022,ASV_1497,0.998542337953391,undirected,+
ASV_133,ASV_169,0.998970349725935,undirected,+
ASV_1315,ASV_175,0.998641485711659,undirected,+
ASV_183,ASV_109,0.998785428890246,undirected,+
ASV_527,ASV_109,0.999732365337038,undirected,+
ASV_842,ASV_109,0.999232983745998,undirected,+
ASV_164,ASV_109,0.998596831868399,undirected,+
ASV_1418,ASV_109,0.998729388603341,undirected,+
ASV_500,ASV_109,0.999515433036594,undirected,+
ASV_1550,ASV_1505,0.998979095816887,undirected,+
ASV_460,ASV_237,0.999106122847261,undirected,+
ASV_873,ASV_237,0.999254388966567,undirected,+
ASV_398,ASV_51,0.99905754952267,undirected,+
ASV_1439,ASV_51,0.9991075936615,undirected,+
ASV_1368,ASV_219,0.99941132170133,undirected,+
ASV_128,ASV_219,0.998483903331907,undirected,+
ASV_527,ASV_183,0.999435151420732,undirected,+
ASV_842,ASV_183,0.999806937408151,undirected,+
ASV_500,ASV_183,0.999757073401368,undirected,+
ASV_334,ASV_135,0.998594611031949,undirected,+
ASV_536,ASV_490,0.998777358102899,undirected,+
ASV_397,ASV_1054,-0.998497979950823,undirected,-
ASV_967,ASV_1364,0.998405017045907,undirected,+
ASV_1439,ASV_398,0.99932317060592,undirected,+
ASV_481,ASV_398,0.998863180926564,undirected,+
ASV_475,ASV_398,0.998538394341275,undirected,+
ASV_1216,ASV_398,0.998733875714761,undirected,+
ASV_905,ASV_398,0.998733875714761,undirected,+
ASV_572,ASV_480,0.999060681870423,undirected,+
ASV_1508,ASV_480,0.999080792132617,undirected,+
ASV_739,ASV_265,0.998583137018572,undirected,+
ASV_266,ASV_255,-0.998996020000691,undirected,-
ASV_61,ASV_1629,0.999348831631183,undirected,+
ASV_1550,ASV_198,0.999716193201347,undirected,+
ASV_164,ASV_198,0.998582046226656,undirected,+
ASV_763,ASV_262,0.999786623571771,undirected,+
ASV_747,ASV_184,0.999742069425672,undirected,+
ASV_664,ASV_1605,0.998670586286784,undirected,+
ASV_1012,ASV_1605,0.999777575121251,undirected,+
ASV_1214,ASV_1605,0.999777575121251,undirected,+
ASV_1207,ASV_1605,0.999777575121251,undirected,+
ASV_992,ASV_1605,-0.999777575121251,undirected,-
ASV_910,ASV_351,0.999665255104513,undirected,+
ASV_355,ASV_351,0.998781511188188,undirected,+
ASV_457,ASV_1627,0.999572647076531,undirected,+
ASV_847,ASV_428,0.999317396536676,undirected,+
ASV_164,ASV_1550,0.998550861276281,undirected,+
ASV_1418,ASV_1550,0.998750246369809,undirected,+
ASV_1112,ASV_1439,0.999220928951256,undirected,+
ASV_910,ASV_112,0.999037607422609,undirected,+
ASV_1308,ASV_359,-0.999055977133034,undirected,-
ASV_508,ASV_359,0.999055977133034,undirected,+
ASV_1275,ASV_359,0.999055977133034,undirected,+
ASV_481,ASV_624,0.999211607268398,undirected,+
ASV_475,ASV_624,0.999167379123396,undirected,+
ASV_1216,ASV_624,0.999593347142715,undirected,+
ASV_905,ASV_624,0.999593347142715,undirected,+
ASV_996,ASV_1554,0.999811931595172,undirected,+
ASV_901,ASV_1554,-0.999811931595172,undirected,-
ASV_842,ASV_527,0.99943832256486,undirected,+
ASV_500,ASV_527,0.999717186566363,undirected,+
ASV_475,ASV_481,0.999957951370228,undirected,+
ASV_1216,ASV_481,0.999769036142763,undirected,+
ASV_905,ASV_481,0.999769036142763,undirected,+
ASV_917,ASV_1238,0.999399234622996,undirected,+
ASV_1607,ASV_1601,0.999314708556471,undirected,+
ASV_846,ASV_598,0.999587032813279,undirected,+
ASV_164,ASV_842,0.998761501155086,undirected,+
ASV_500,ASV_842,0.99990767668355,undirected,+
ASV_581,ASV_329,0.998555127467403,undirected,+
ASV_1216,ASV_475,0.999804270809031,undirected,+
ASV_905,ASV_475,0.999804270809031,undirected,+
ASV_1418,ASV_164,0.999400606715984,undirected,+
ASV_500,ASV_164,0.998503366584589,undirected,+
ASV_1262,ASV_121,1,undirected,+
ASV_384,ASV_637,-0.999193866362195,undirected,-
ASV_355,ASV_910,0.998909022111986,undirected,+
ASV_966,ASV_1018,0.998619633168505,undirected,+
ASV_1002,ASV_657,-1,undirected,-
ASV_815,ASV_771,0.999081769309813,undirected,+
ASV_1198,ASV_89,0.999056296614018,undirected,+
ASV_678,ASV_623,0.998694593877732,undirected,+
ASV_1482,ASV_1309,0.999462941879506,undirected,+
ASV_844,ASV_1223,0.998515512071846,undirected,+
ASV_1558,ASV_1223,0.998515512071846,undirected,+
ASV_958,ASV_1223,0.998515512071846,undirected,+
ASV_1051,ASV_1223,0.998515512071846,undirected,+
ASV_753,ASV_1223,0.998515512071846,undirected,+
ASV_925,ASV_569,-1,undirected,-
ASV_357,ASV_569,1,undirected,+
ASV_1634,ASV_569,-1,undirected,-
ASV_1384,ASV_569,-1,undirected,-
ASV_915,ASV_791,1,undirected,+
ASV_1163,ASV_791,1,undirected,+
ASV_684,ASV_1014,-1,undirected,-
ASV_911,ASV_700,0.99863230431688,undirected,+
ASV_1361,ASV_1569,1,undirected,+
ASV_759,ASV_833,1,undirected,+
ASV_1558,ASV_844,1,undirected,+
ASV_958,ASV_844,1,undirected,+
ASV_1051,ASV_844,1,undirected,+
ASV_753,ASV_844,1,undirected,+
ASV_1222,ASV_797,1,undirected,+
ASV_508,ASV_1308,-1,undirected,-
ASV_1275,ASV_1308,-1,undirected,-
ASV_1625,ASV_1011,1,undirected,+
ASV_1531,ASV_1011,1,undirected,+
ASV_1245,ASV_1011,1,undirected,+
ASV_1386,ASV_748,1,undirected,+
ASV_972,ASV_444,1,undirected,+
ASV_415,ASV_1039,1,undirected,+
ASV_642,ASV_1039,1,undirected,+
ASV_1072,ASV_974,1,undirected,+
ASV_830,ASV_903,1,undirected,+
ASV_1106,ASV_1358,1,undirected,+
ASV_1275,ASV_508,1,undirected,+
ASV_901,ASV_996,-1,undirected,-
ASV_1498,ASV_717,1,undirected,+
ASV_1173,ASV_717,1,undirected,+
ASV_630,ASV_717,-1,undirected,-
ASV_1173,ASV_1498,1,undirected,+
ASV_630,ASV_1498,-1,undirected,-
ASV_875,ASV_1533,-1,undirected,-
ASV_1282,ASV_1499,-1,undirected,-
ASV_1425,ASV_1424,1,undirected,+
ASV_1598,ASV_651,1,undirected,+
ASV_456,ASV_942,1,undirected,+
ASV_1087,ASV_1189,1,undirected,+
ASV_357,ASV_925,-1,undirected,-
ASV_1634,ASV_925,1,undirected,+
ASV_1384,ASV_925,1,undirected,+
ASV_1177,ASV_1252,0.999203842659274,undirected,+
ASV_991,ASV_935,1,undirected,+
ASV_1224,ASV_935,1,undirected,+
ASV_1441,ASV_322,1,undirected,+
ASV_345,ASV_447,-1,undirected,-
ASV_958,ASV_1558,1,undirected,+
ASV_1051,ASV_1558,1,undirected,+
ASV_753,ASV_1558,1,undirected,+
ASV_1604,ASV_1070,1,undirected,+
ASV_642,ASV_415,1,undirected,+
ASV_347,ASV_1097,1,undirected,+
ASV_579,ASV_496,-1,undirected,-
ASV_1541,ASV_496,1,undirected,+
ASV_1210,ASV_496,1,undirected,+
ASV_1538,ASV_496,1,undirected,+
ASV_491,ASV_496,-1,undirected,-
ASV_1328,ASV_496,-1,undirected,-
ASV_900,ASV_1213,1,undirected,+
ASV_1276,ASV_1588,-1,undirected,-
ASV_905,ASV_1216,1,undirected,+
ASV_1224,ASV_991,1,undirected,+
ASV_968,ASV_1567,1,undirected,+
ASV_1084,ASV_1567,-1,undirected,-
ASV_1084,ASV_968,-1,undirected,-
ASV_1214,ASV_1012,1,undirected,+
ASV_1207,ASV_1012,1,undirected,+
ASV_992,ASV_1012,-1,undirected,-
ASV_1207,ASV_1214,1,undirected,+
ASV_992,ASV_1214,-1,undirected,-
ASV_992,ASV_1207,-1,undirected,-
ASV_1541,ASV_579,-1,undirected,-
ASV_1210,ASV_579,-1,undirected,-
ASV_1538,ASV_579,-1,undirected,-
ASV_491,ASV_579,1,undirected,+
ASV_1328,ASV_579,1,undirected,+
ASV_1123,ASV_930,1,undirected,+
ASV_1051,ASV_958,1,undirected,+
ASV_753,ASV_958,1,undirected,+
ASV_753,ASV_1051,1,undirected,+
ASV_1531,ASV_1625,1,undirected,+
ASV_1245,ASV_1625,1,undirected,+
ASV_1245,ASV_1531,1,undirected,+
ASV_1311,ASV_1379,1,undirected,+
ASV_961,ASV_439,1,undirected,+
ASV_1210,ASV_1541,1,undirected,+
ASV_1538,ASV_1541,1,undirected,+
ASV_491,ASV_1541,-1,undirected,-
ASV_1328,ASV_1541,-1,undirected,-
ASV_1538,ASV_1210,1,undirected,+
ASV_491,ASV_1210,-1,undirected,-
ASV_1328,ASV_1210,-1,undirected,-
ASV_491,ASV_1538,-1,undirected,-
ASV_1328,ASV_1538,-1,undirected,-
ASV_746,ASV_561,-1,undirected,-
ASV_1107,ASV_561,-1,undirected,-
ASV_1385,ASV_752,1,undirected,+
ASV_671,ASV_752,-1,undirected,-
ASV_671,ASV_1385,-1,undirected,-
ASV_904,ASV_1622,-1,undirected,-
ASV_1595,ASV_1622,-1,undirected,-
ASV_630,ASV_1173,-1,undirected,-
ASV_1634,ASV_357,-1,undirected,-
ASV_1384,ASV_357,-1,undirected,-
ASV_1096,ASV_1563,-1,undirected,-
ASV_1273,ASV_1062,1,undirected,+
ASV_810,ASV_1062,-1,undirected,-
ASV_1256,ASV_1062,-1,undirected,-
ASV_810,ASV_1273,-1,undirected,-
ASV_1256,ASV_1273,-1,undirected,-
ASV_1163,ASV_915,1,undirected,+
ASV_1551,ASV_924,-1,undirected,-
ASV_1387,ASV_606,-1,undirected,-
ASV_1162,ASV_606,-1,undirected,-
ASV_1162,ASV_1387,1,undirected,+
ASV_1256,ASV_810,1,undirected,+
ASV_874,ASV_220,1,undirected,+
ASV_1336,ASV_220,1,undirected,+
ASV_1160,ASV_220,1,undirected,+
ASV_1336,ASV_874,1,undirected,+
ASV_1160,ASV_874,1,undirected,+
ASV_1160,ASV_1336,1,undirected,+
ASV_1384,ASV_1634,1,undirected,+
ASV_1595,ASV_904,1,undirected,+
ASV_1107,ASV_746,1,undirected,+
ASV_1044,ASV_562,1,undirected,+
ASV_1328,ASV_491,1,undirected,+
ASV_1537,ASV_818,1,undirected,+
