"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1241",4,0.2,54.4666666666667,4
"ASV_1203",6,0.177121771217712,139.9,6
"ASV_1266",5,0.201680672268908,196.566666666667,5
"ASV_1320",6,0.229665071770335,407,6
"ASV_1034",4,0.154340836012862,0.833333333333333,4
"ASV_1319",5,0.154340836012862,26.8,5
"ASV_1131",4,0.136752136752137,23,4
"ASV_1084",5,0.176470588235294,107.933333333333,5
"ASV_1274",4,0.136752136752137,23,4
"ASV_147",9,0.258064516129032,148.199744260993,9
"ASV_1347",11,0.280701754385965,75.8178626439785,11
"ASV_1201",8,0.25668449197861,111.886225763727,8
"ASV_1650",10,0.277456647398844,39.6988841166602,10
"ASV_1085",10,0.277456647398844,39.6988841166602,10
"ASV_1129",10,0.277456647398844,39.6988841166602,10
"ASV_400",12,0.282352941176471,115.392193052471,12
"ASV_1105",12,0.282352941176471,115.392193052471,12
"ASV_9",3,1,2,3
"ASV_417",2,0.75,0,2
"ASV_1572",8,0.296296296296296,332.542583044882,8
"ASV_1228",9,0.292682926829268,108.769679012813,9
"ASV_1649",11,0.296296296296296,231.500674347508,11
"ASV_1575",10,0.280701754385965,62.0625683594662,10
"ASV_1128",5,0.265193370165746,12.3876150377481,5
"ASV_1350",8,0.284023668639053,187.577260068975,8
"ASV_1314",4,0.444444444444444,1.6,4
"ASV_157",1,0.315789473684211,0,1
"ASV_549",1,0.315789473684211,0,1
"ASV_1276",5,0.545454545454545,11.0333333333333,5
"ASV_935",5,0.545454545454545,11.0333333333333,5
"ASV_108",11,0.237735849056604,233.608336180657,11
"ASV_617",10,0.253012048192771,135.822453416235,10
"ASV_1117",10,0.258196721311475,127.24153451304,10
"ASV_1518",11,0.264705882352941,644.926593577985,11
"ASV_1346",9,0.250996015936255,64.4978882541279,9
"ASV_1646",9,0.250996015936255,64.4978882541279,9
"ASV_1655",11,0.254032258064516,195.698527934622,11
"ASV_1654",12,0.238636363636364,314.629046363804,12
"ASV_695",8,0.259259259259259,159.184484042758,8
"ASV_1493",11,0.254032258064516,195.698527934622,11
"ASV_722",1,1,0,1
"ASV_369",13,0.236842105263158,430.916513252732,13
"ASV_1573",10,0.224199288256228,7.46083384918855,10
"ASV_1469",12,0.226618705035971,54.219250598536,12
"ASV_1293",10,0.20655737704918,29.6421017010151,10
"ASV_1431",10,0.212837837837838,435.809108051424,10
"ASV_1429",11,0.208609271523179,59.4691270411223,11
