"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_9",1,1,0,1
"ASV_33",1,1,0,1
"ASV_156",1,1,0,1
"ASV_472",1,1,0,1
"ASV_1244",2,1,1,2
"ASV_523",5,0.857142857142857,2,5
"ASV_559",5,0.857142857142857,2,5
"ASV_664",3,0.6,0,3
"ASV_1399",5,0.857142857142857,1,5
"ASV_1130",5,0.857142857142857,1,5
"ASV_269",1,1,0,1
"ASV_318",1,1,0,1
"ASV_199",1,1,0,1
"ASV_258",2,1,0,2
"ASV_987",2,1,0,2
"ASV_418",1,1,0,1
"ASV_522",1,0.666666666666667,0,1
"ASV_1272",1,0.666666666666667,0,1
"ASV_361",1,1,0,1
"ASV_660",5,0.777777777777778,10.3333333333333,5
"ASV_946",2,0.5,0,2
"ASV_434",2,0.545454545454545,0,2
"ASV_818",1,1,0,1
"ASV_1137",1,1,0,1
"ASV_1115",1,1,0,1
"ASV_1239",1,1,0,1
"ASV_543",1,1,0,1
"ASV_1582",1,1,0,1
"ASV_396",3,0.8,0,3
"ASV_1406",3,0.8,0,3
"ASV_1387",4,1,3,4
"ASV_816",1,1,0,1
"ASV_311",2,1,1,2
"ASV_1026",1,1,0,1
"ASV_1396",1,1,0,1
"ASV_286",2,1,1,2
"ASV_1170",1,1,0,1
"ASV_1549",3,0.8,0,3
"ASV_245",4,1,0.333333333333333,4
"ASV_831",4,1,0.333333333333333,4
"ASV_176",3,0.8,0,3
"ASV_375",2,1,1,2
"ASV_1002",1,1,0,1
"ASV_1269",1,1,0,1
"ASV_102",2,0.5,0,2
"ASV_969",3,0.538461538461538,0.333333333333333,3
"ASV_1435",5,0.777777777777778,4.33333333333333,5
"ASV_897",2,1,1,2
"ASV_833",1,1,0,1
"ASV_573",1,1,0,1
"ASV_454",2,1,1,2
"ASV_1261",1,1,0,1
"ASV_834",1,0.666666666666667,0,1
"ASV_265",1,1,0,1
"ASV_636",2,1,1,2
"ASV_849",1,1,0,1
"ASV_919",1,1,0,1
"ASV_998",3,0.636363636363636,1,3
"ASV_794",1,0.6,0,1
"ASV_1123",2,0.75,0,2
"ASV_1341",2,0.75,0,2
"ASV_667",1,1,0,1
"ASV_360",1,1,0,1
"ASV_202",2,0.75,0,2
"ASV_1490",3,1,2,3
"ASV_208",1,1,0,1
"ASV_1526",1,1,0,1
"ASV_493",1,1,0,1
"ASV_682",2,1,0,2
"ASV_783",2,1,0,2
"ASV_461",1,1,0,1
"ASV_1189",1,1,0,1
"ASV_1143",1,1,0,1
"ASV_1052",1,1,0,1
"ASV_1524",1,0.571428571428571,0,1
"ASV_1251",1,1,0,1
"ASV_1101",1,1,0,1
"ASV_993",1,1,0,1
"ASV_1106",1,1,0,1
"ASV_551",1,1,0,1
"ASV_524",1,1,0,1
"ASV_1045",1,1,0,1
"ASV_925",1,1,0,1
"ASV_1068",1,1,0,1
"ASV_1316",1,1,0,1
"ASV_1093",1,1,0,1
"ASV_1",1,1,0,1
"ASV_6",1,1,0,1
"ASV_40",1,1,0,1
"ASV_10",1,1,0,1
"ASV_109",1,0.666666666666667,0,1
"ASV_136",5,0.857142857142857,1,5
"ASV_104",1,1,0,1
"ASV_155",1,1,0,1
"ASV_64",1,1,0,1
"ASV_170",2,1,0,2
"ASV_195",1,1,0,1
"ASV_216",2,1,1,2
"ASV_274",1,1,0,1
"ASV_510",2,0.5,0,2
"ASV_127",1,1,0,1
"ASV_346",1,1,0,1
"ASV_110",1,1,0,1
"ASV_444",1,1,0,1
"ASV_251",1,1,0,1
"ASV_121",1,1,0,1
"ASV_578",3,0.8,0,3
"ASV_596",1,1,0,1
"ASV_1253",1,0.666666666666667,0,1
"ASV_566",1,1,0,1
"ASV_1540",1,0.666666666666667,0,1
"ASV_15",1,1,0,1
"ASV_198",1,0.666666666666667,0,1
"ASV_591",1,1,0,1
"ASV_35",4,1,0.333333333333333,4
"ASV_575",1,0.666666666666667,0,1
"ASV_649",1,1,0,1
"ASV_711",1,1,0,1
"ASV_87",4,0.7,3,4
"ASV_767",1,0.666666666666667,0,1
"ASV_395",1,0.666666666666667,0,1
"ASV_277",1,1,0,1
"ASV_287",1,1,0,1
"ASV_852",1,0.666666666666667,0,1
"ASV_490",1,1,0,1
"ASV_710",1,0.666666666666667,0,1
"ASV_712",1,1,0,1
"ASV_1450",1,0.666666666666667,0,1
"ASV_673",1,0.666666666666667,0,1
"ASV_272",1,1,0,1
"ASV_134",1,1,0,1
"ASV_927",3,1,2,3
"ASV_602",1,1,0,1
"ASV_1041",1,1,0,1
"ASV_435",2,0.75,0,2
"ASV_615",1,1,0,1
"ASV_1132",1,0.6,0,1
"ASV_650",1,1,0,1
"ASV_647",1,0.666666666666667,0,1
"ASV_1022",1,0.666666666666667,0,1
"ASV_882",1,1,0,1
"ASV_971",2,1,0,2
"ASV_856",1,1,0,1
"ASV_948",1,1,0,1
"ASV_645",1,1,0,1
"ASV_880",1,1,0,1
"ASV_1010",1,1,0,1
"ASV_358",1,1,0,1
"ASV_986",1,1,0,1
"ASV_1423",1,1,0,1
"ASV_726",1,1,0,1
"ASV_844",1,1,0,1
"ASV_1075",1,1,0,1
"ASV_1027",1,1,0,1
"ASV_1531",1,1,0,1
"ASV_687",1,1,0,1
"ASV_719",1,1,0,1
