"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1528",1,1,0,1
"ASV_9",1,1,0,1
"ASV_1507",2,1,1,2
"ASV_51",13,0.604651162790698,2.42360192205142,13
"ASV_500",15,0.634146341463415,6.91948771019624,15
"ASV_424",12,0.577777777777778,2.76005792303746,12
"ASV_1439",14,0.619047619047619,4.51673039035352,14
"ASV_124",11,0.52,0.513409961685824,11
"ASV_664",13,0.604651162790698,2.42360192205142,13
"ASV_1491",16,0.684210526315789,29.7092910487557,16
"ASV_303",10,0.5,25,10
"ASV_1370",15,0.666666666666667,34.0116144369224,15
"ASV_966",15,0.619047619047619,12.7555694559759,15
"ASV_812",16,0.65,12.8385353292439,16
"ASV_309",12,0.619047619047619,17.3657707261977,12
"ASV_1488",12,0.52,1.75,12
"ASV_1501",18,0.722222222222222,59.0948340584688,18
"ASV_956",16,0.65,12.8385353292439,16
"ASV_798",6,0.509803921568627,1.59347826086956,6
"ASV_742",7,0.5,13.775364170713,7
"ASV_1364",7,0.5,1.27222222222222,7
"ASV_471",2,0.376811594202899,25,2
"ASV_736",2,1,0,2
"ASV_927",2,1,0,2
"ASV_201",3,0.583333333333333,0,3
"ASV_622",3,0.583333333333333,0,3
"ASV_782",6,0.875,13.5,6
"ASV_266",1,1,0,1
"ASV_643",1,1,0,1
"ASV_437",1,1,0,1
"ASV_1223",1,1,0,1
"ASV_399",1,1,0,1
"ASV_1552",1,1,0,1
"ASV_1022",2,1,1,2
"ASV_697",1,1,0,1
"ASV_578",1,1,0,1
"ASV_1261",1,1,0,1
"ASV_767",1,1,0,1
"ASV_776",1,1,0,1
"ASV_141",1,1,0,1
"ASV_257",1,1,0,1
"ASV_685",1,1,0,1
"ASV_1527",1,1,0,1
"ASV_427",5,0.433333333333333,0,5
"ASV_898",1,1,0,1
"ASV_1474",2,1,1,2
"ASV_1040",1,1,0,1
"ASV_693",1,1,0,1
"ASV_708",1,1,0,1
"ASV_992",1,1,0,1
"ASV_462",1,1,0,1
"ASV_940",1,1,0,1
"ASV_705",1,1,0,1
"ASV_145",1,1,0,1
"ASV_771",3,1,2,3
"ASV_33",1,1,0,1
"ASV_700",1,1,0,1
"ASV_936",1,1,0,1
"ASV_345",3,0.448275862068966,0,3
"ASV_941",2,0.346666666666667,0,2
"ASV_1092",2,0.466666666666667,0.5,2
"ASV_472",1,1,0,1
"ASV_402",1,1,0,1
"ASV_1463",1,1,0,1
"ASV_985",2,0.75,0,2
"ASV_967",1,1,0,1
"ASV_1354",1,1,0,1
"ASV_968",1,0.666666666666667,0,1
"ASV_523",1,0.666666666666667,0,1
"ASV_795",2,0.583333333333333,0,2
"ASV_563",1,0.276595744680851,0,1
"ASV_1209",1,0.337662337662338,0,1
"ASV_1248",1,1,0,1
"ASV_939",1,1,0,1
"ASV_1042",1,1,0,1
"ASV_867",1,1,0,1
"ASV_1080",1,1,0,1
"ASV_919",1,1,0,1
"ASV_1114",1,1,0,1
"ASV_996",1,1,0,1
"ASV_1151",1,1,0,1
"ASV_176",1,1,0,1
"ASV_490",1,1,0,1
"ASV_1400",1,1,0,1
"ASV_804",1,1,0,1
"ASV_984",1,1,0,1
"ASV_701",1,1,0,1
"ASV_582",1,1,0,1
"ASV_249",1,1,0,1
"ASV_1215",1,1,0,1
"ASV_384",2,1,0,2
"ASV_1380",2,1,0,2
"ASV_1221",1,0.666666666666667,0,1
"ASV_1262",1,1,0,1
"ASV_521",1,1,0,1
"ASV_1305",1,1,0,1
"ASV_1416",1,1,0,1
"ASV_56",1,1,0,1
"ASV_1",1,1,0,1
"ASV_60",1,0.666666666666667,0,1
"ASV_164",15,0.634146341463415,6.91948771019624,15
"ASV_156",8,0.565217391304348,49.6937715925277,8
"ASV_2",2,1,0,2
"ASV_154",3,0.583333333333333,0,3
"ASV_157",1,1,0,1
"ASV_183",1,1,0,1
"ASV_42",1,1,0,1
"ASV_136",1,1,0,1
"ASV_215",1,1,0,1
"ASV_193",1,1,0,1
"ASV_152",1,0.666666666666667,0,1
"ASV_140",1,1,0,1
"ASV_1658",1,1,0,1
"ASV_104",1,1,0,1
