var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	4.50371307457955	7.2162276965663	2.71251462198675	3.65903651120613	0.0130953652641884	5.32001074360163	1.39611720277322	7.61130894638589	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum	5.0702392337002	7.41862740513099	2.34838817143079	4.43111825811486	0.00941372821313014	4.35303794635876	1.99241238503438	8.14806608236603	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	-0.891532646108127	0.215064563629945	1.10659720973807	-6.79691945603373	0.00123980144940965	4.79252483510884	-1.23314662866562	-0.549918663550634	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	-0.24656585450453	0.205983946277218	0.452549800781748	-3.60661407269257	0.0185822047472223	4.48844551484552	-0.428502077712807	-0.0646296312962541	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	-2.91843698793761	0.557588614500825	3.47602560243843	-5.72899679453596	0.00387482160059702	4.22816560436028	-4.30320185127064	-1.53367212460457	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	-2.09960381053823	0.501366295083674	2.60097010562191	-5.16686367424472	0.00614476539133333	4.12117411577076	-3.21487525264837	-0.984332368428102	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	1.08531903933601	1.14750005110695	0.0621810117709358	4.09526492277248	0.0142692243435702	4.08726284859495	0.355665312523412	1.81497276614861	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster	3.32732142634956	6.15292372892547	2.8256023025759	2.83143639364531	0.0254181173660129	6.98314590028893	0.547207387318025	6.1074354653811	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	0.382095132720927	0.387628282765068	0.00553315004414033	10.4647183939445	0.000462240656874294	4.01490817671739	0.280867906330918	0.483322359110937	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium_IV	0.353171126186585	0.84809848350399	0.494927357317405	3.0647782305506	0.0159447166777267	7.80116664356159	0.0862541344771813	0.620088117895989	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Lawsonibacter	0.474828450628229	0.915192038680144	0.440363588051915	3.52568284688714	0.0143722718155768	5.49662917325034	0.13783009898587	0.811826802270589	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter	-0.311862470605718	0.161771626047288	0.473634096653006	-5.16262219370358	0.00454713390060485	4.59705584756669	-0.471330138262771	-0.152394802948665	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum	0.479027294896156	0.50046285552651	0.0214355606303543	4.42383042820447	0.0114403179868712	4.00565278011003	0.178551693552357	0.779502896239954	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	0.400365960951458	0.441725620025419	0.0413596590739609	3.51701593373687	0.0241532555818552	4.03654700544541	0.0854296168819279	0.715302305020988	Welch Two Sample t-test	two.sided
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	3.09119959894361	3.6689568184015	0.577757219457886	5.5889348415023	0.00235641536734497	5.11259938605449	1.67879609732619	4.50360310056103	Welch Two Sample t-test	two.sided
