Phylum	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Firmicutes	64.4	76.7	84.9	74.1	89	79	87.5	78.7	53.8	66.2	66.3	63.9	81.3	88.6	78.4	62.9	67.5	70.9	85.1	17.8	85.4	10.1	80.6	78.2	76.7	73.7	57.2	66.4	86.4	87	61.7	75.3	68.1	65.2	74.9	68	60	63.7	54.3	78.2	70.1	63.5	57.9	54	68.4	72.9
Bacteroidetes	11.2	21.3	12.1	22.5	4.88	16.8	8.52	15.7	31.9	30.1	17.8	32.7	16	7.46	14.6	19.3	30.6	26.9	10.9	60.6	12.2	57.8	17	19.2	21.1	23.2	40.9	31.5	9.31	10.9	30.2	12.4	24.3	31.1	19.5	29.4	33.2	26.4	37.6	16	22.1	14.8	23.8	24.1	17.6	19.6
Actinobacteria	0.45	0.19	0.35	0.4	0.2	0.12	0.15	0.52	0.61	0.27	0.21	0.18	0.09	0.05	0.1	0.54	0.57	0.24	0.28	0.2	0.24	0.05	0.17	0.17	0.4	0.23	0.51	0.35	0.08	0.07	1.4	0.64	0.51	0.57	0.59	0.45	0.79	4.41	1.2	1	3.6	1.13	1.05	3.24	0.57	3.0
Proteobacteria	1.45	1.48	2.04	1.87	2.69	1.96	2.17	2.33	0.75	1.85	3.08	0.98	1.55	3.12	2.89	1.29	0.94	1.74	3.39	21	2.06	31.8	1.89	2.15	1.6	2.48	0.99	1.34	1.79	1.36	0.91	9.71	0.95	1.08	1.24	1.41	3.27	0.75	0.92	0.76	0.48	18.6	15.5	10.2	9.93	2.7
Candidatus_Saccharibacteria	0.01	0.01	0.03	0.08	0.01	0.02	0.02	0.01	0.02	0.04	0.01	0.01	0	0	0.01	0	0.02	0.03	0	0.02	0.02	0.03	0.15	0.04	0.01	0.04	0.01	0.03	0.01	0	0.38	0.14	0.24	0.18	0.24	0.08	0.36	0.71	0.53	0.25	1.02	0.25	0.17	0.17	0.16	0.4
Campilobacterota	0	0.02	0	0.02	0.01	0.02	0.01	0	0	0.06	0.07	0.01	0	0	0.01	0	0	0.04	0	0.01	0	0.01	0	0	0	0	0.03	0	0	0	0.06	0	0	0.01	0.07	0.06	0	0.06	0	0.01	0	0	0.02	0.06	0	0.3
Unassigned	0.03	0.04	0.04	0.05	0.01	0.01	0.03	0.04	0.05	0.06	0.03	0.03	0.05	0.02	0.02	0.07	0.05	0	0.02	0.03	0.02	0.1	0.05	0.06	0.04	0.03	0.06	0.03	0.01	0	0.44	0.26	5.43	0.82	2.94	0.32	1.23	0.05	0.32	0.12	0.06	1.04	0.64	5.82	0.87	0.2
Synergistetes	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0.02	0.01	0	0	0	0	0.01	0.02	0	0	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	0	0.01	0.01	0.02	0.03	0	0	0.02	0.01	0.01	0.2
Tenericutes	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.01	0	0.01	0.01	0.01	0	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.2
Acidobacteria	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.11	0.08	0.05	0.01	0.02	0.1	0.07	0.02	0.03	0.14	0.02	0.06	0.07	0.47	0.1	0.2
Thermotogae	0.03	0	0.02	0.02	0.01	0	0	0.03	0	0	0.02	0.02	0.01	0	0	0.02	0.02	0.01	0.02	0.01	0	0.02	0.02	0.02	0.02	0.04	0.02	0.01	0.01	0.01	0	0.05	0.01	0	0	0.01	0.03	0.01	0	0.01	0.01	0	0	0.02	0.02	0.1
Verrucomicrobia	1.6	0.08	0.28	0.18	0.11	0.13	0.05	1.9	12.8	1.2	3.74	0.16	0.06	0.05	0.12	15.8	0.09	0.16	0.11	0.27	0.03	0.05	0.14	0.08	0.1	0.1	0.19	0.16	0.22	0.08	4.65	1.16	0.4	0.96	0.36	0.19	1.01	3.71	4.86	2.39	2.46	0.6	0.43	1.85	2.2	0.1
Deferribacteres	20.9	0.18	0.2	0.76	3.08	1.88	1.58	0.81	0.1	0.14	8.71	1.96	0.96	0.66	3.82	0.1	0.12	0.08	0.1	0.03	0.05	0	0.03	0.11	0.08	0.15	0.03	0.15	2.12	0.53	0.12	0.23	0.02	0.02	0.06	0.06	0.03	0.15	0.2	1.09	0.09	0.07	0.38	0.02	0.19	0.1
Atribacteria	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0.1
