DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	HDC
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.0), Max. (4.2)
LEGEND_SHAPES	1
LEGEND_TITLE	HDC
MARGIN	5
WIDTH	200
DATA
ASV_1	1.0843752
ASV_2	3.03418143
ASV_4	0.40864489
ASV_15	4.1894327
ASV_3	0.1401554
ASV_6	0.20864678
ASV_9	0.5664422
ASV_8	0.96884941
ASV_12	3.96737543
ASV_7	0.025937356
ASV_5	1.51897745
ASV_13	0.8525651
ASV_26	1.6266111
ASV_11	0.05821003
ASV_14	0.36762786
ASV_16	1.54665885
ASV_10	1.2348154
ASV_22	0.09056159
ASV_27	2.76897339
ASV_97	0.8690204
ASV_21	2.26442005
ASV_24	0.03958874
ASV_19	0.19803883
ASV_17	0.01081186
ASV_23	0.1888173
ASV_20	0.1030125
ASV_28	1.553592538
ASV_31	0.01940666
ASV_29	2.32501299
ASV_41	0.76455652
ASV_25	1.69490061
ASV_201	1.96778956
ASV_51	0.607434503
ASV_44	0.6581174
ASV_46	1.1655118
ASV_32	0.2281127
ASV_30	0.04428214
ASV_35	1.21381894
ASV_52	0.55860567
ASV_50	0.25246968
ASV_36	0.02994092
ASV_33	0.09176868
ASV_417	0.3065279
ASV_43	0.006575229
ASV_38	0.78246174
ASV_56	0.11026467
ASV_34	0.02428243
ASV_1253	0.81265033
ASV_53	0.004943416
ASV_42	0.05319498
ASV_45	0.006308834
ASV_37	0.70733833
ASV_39	0.37961329
ASV_59	1.15582552
ASV_109	0.06906867
ASV_58	0.0730696
ASV_40	0.004478346
ASV_48	0.43039483
ASV_64	0.5927021
ASV_55	0.72469081
ASV_74	0.1510722
ASV_89	0.077291111
ASV_73	0.04833663
ASV_1365	0.76083125
ASV_57	0.0300158
ASV_82	0.2317325
ASV_47	0.045156796
ASV_54	0.08110854
ASV_75	0.3338965
ASV_49	0.4587405
ASV_76	1.17492661
ASV_507	0.06783462
ASV_61	0.08291591
ASV_465	0.05216601
ASV_63	0.024577764
ASV_1412	0.5977255
ASV_67	0.003387222
ASV_62	0.03196161
ASV_81	0.05727644
ASV_91	0.603382857
ASV_80	0.01938228
ASV_60	0.037346412
ASV_94	0.08749078
ASV_71	0.34005831
ASV_392	0.016002944
ASV_88	0.1918386
ASV_68	0.2423971
ASV_98	0.17863004
ASV_72	0.06479873
ASV_83	0.1507403
ASV_300	0.63459213
ASV_157	0.4626503
ASV_102	0.50194997
ASV_125	0.07182498
ASV_87	0.94710684
ASV_206	0.868332682
ASV_117	0.81376482
ASV_77	0.001447377
ASV_720	0.008280278
ASV_122	0.04246361
ASV_95	0.11828
ASV_78	0.52093406
ASV_130	0.52297984
ASV_85	0.81207905
ASV_142	0.142882653
ASV_1658	0.1127131
ASV_118	0.55604408
ASV_93	0.14674235
ASV_1450	0.53985173
ASV_126	0.04204327
ASV_101	0.16102289
ASV_333	0.10839498
ASV_100	0.24183211
ASV_96	0.55810935
ASV_90	0.54526686
ASV_84	0.80074153
ASV_103	0.13718664
ASV_107	0.165188454
ASV_99	0.06033785
ASV_104	0.06736629
ASV_119	0.021068407
ASV_106	0.16012515
ASV_112	1.737333603
ASV_86	0.16399661
