DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	HDA
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.0), Max. (8.7)
LEGEND_SHAPES	1
LEGEND_TITLE	HDA
MARGIN	5
WIDTH	200
DATA
ASV_1	0.6827907
ASV_2	1.49380686
ASV_4	0.06540107
ASV_15	1.489289
ASV_3	4.3815991
ASV_6	1.91364523
ASV_9	0.3683197
ASV_8	8.68806305
ASV_12	0.8302006
ASV_7	0.028675434
ASV_5	6.03115046
ASV_13	0.978228
ASV_26	1.5191568
ASV_11	1.82839919
ASV_14	4.6132294
ASV_16	1.64646693
ASV_10	0.6775661
ASV_22	0.45564214
ASV_27	0.45800877
ASV_97	1.3220095
ASV_21	0.83867872
ASV_24	0.06866607
ASV_19	1.16570793
ASV_17	0.10482434
ASV_23	0.6511966
ASV_20	0.3395226
ASV_28	0.84181442
ASV_31	0.01315492
ASV_29	0.44092457
ASV_41	0.06607115
ASV_25	0.1823979
ASV_201	0.404851
ASV_51	3.241850802
ASV_44	0.7573734
ASV_46	0.2446258
ASV_32	0.6436341
ASV_30	0.244754809
ASV_35	0.49742638
ASV_52	0.61855857
ASV_50	0.12105694
ASV_36	0.64671953
ASV_33	0.71350354
ASV_417	0.1338994
ASV_43	0.018992205
ASV_38	0.57549591
ASV_56	0.06950918
ASV_34	0.05379947
ASV_1253	0.2463139
ASV_53	0.002177969
ASV_42	0.01953113
ASV_45	0.016760078
ASV_37	0.63423746
ASV_39	0.1428693
ASV_59	0.25307779
ASV_109	0.16384446
ASV_58	0.004386247
ASV_40	0.651848131
ASV_48	0.36603695
ASV_64	0.607826
ASV_55	0.30790522
ASV_74	0.1367437
ASV_89	0.009951264
ASV_73	0.03950769
ASV_1365	0.2750952
ASV_57	0.85437638
ASV_82	0.1548635
ASV_47	0.020798731
ASV_54	0.22452
ASV_75	0.3420829
ASV_49	0.2632094
ASV_76	0.16435819
ASV_507	0.15763897
ASV_61	0.05487361
ASV_465	0.30332766
ASV_63	0.026868184
ASV_1412	0.1761168
ASV_67	0.296766773
ASV_62	0.91003635
ASV_81	0.61152181
ASV_91	0.205812159
ASV_80	0.0238391
ASV_60	0.006487977
ASV_94	0.06822143
ASV_71	0.10546857
ASV_392	0.009860818
ASV_88	0.2783745
ASV_68	0.2766231
ASV_98	0.10018691
ASV_72	0.4918351
ASV_83	0.2337317
ASV_300	0.33873078
ASV_157	0.09431065
ASV_102	0.31931985
ASV_125	0.05456224
ASV_87	0.11980615
ASV_206	0.113439582
ASV_117	0.04661184
ASV_77	0.0007222563
ASV_720	0.023469884
ASV_122	0.04072623
ASV_95	0.1976506
ASV_78	0.24998255
ASV_130	0.11606156
ASV_85	0.18580846
ASV_142	0.434031988
ASV_1658	0.2111175
ASV_118	0.193724712
ASV_93	0.28559528
ASV_1450	0.14234774
ASV_126	0.02386787
ASV_101	0.35396162
ASV_333	0.07755731
ASV_100	0.29194069
ASV_96	0.246042062
ASV_90	0.15209844
ASV_84	0.09734405
ASV_103	0.35812655
ASV_107	0.712427094
ASV_99	0.06976481
ASV_104	0.173217
ASV_119	0.579319929
ASV_106	0.36623819
ASV_112	0.005179166
ASV_86	0.15208612
