DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	MDA
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.0), Max. (4.5)
LEGEND_SHAPES	1
LEGEND_TITLE	MDA
MARGIN	5
WIDTH	200
DATA
ASV_1	4.4599663
ASV_2	2.17199683
ASV_4	0.08247556
ASV_15	1.0365458
ASV_3	3.3625167
ASV_6	1.61005559
ASV_9	2.4581164
ASV_8	1.74207446
ASV_12	1.67849046
ASV_7	0.015253245
ASV_5	0.11475555
ASV_13	1.2218418
ASV_26	1.7925981
ASV_11	1.58644176
ASV_14	1.23568165
ASV_16	1.60230814
ASV_10	1.024572
ASV_22	0.49820046
ASV_27	1.23225813
ASV_97	1.5944377
ASV_21	0.54400371
ASV_24	0.05904537
ASV_19	3.33884024
ASV_17	0.08239213
ASV_23	0.7912349
ASV_20	0.4976589
ASV_28	1.145925139
ASV_31	0.02883359
ASV_29	0.92572246
ASV_41	0.20789414
ASV_25	0.08667144
ASV_201	0.67206466
ASV_51	0.810181654
ASV_44	1.0141394
ASV_46	0.5789158
ASV_32	0.5280057
ASV_30	1.357184176
ASV_35	0.7655595
ASV_52	0.40639549
ASV_50	0.15051569
ASV_36	0.84273226
ASV_33	0.6282876
ASV_417	0.812112
ASV_43	1.197064648
ASV_38	0.48336985
ASV_56	0.05317479
ASV_34	0.03476103
ASV_1253	0.30834129
ASV_53	0.005139689
ASV_42	0.03012629
ASV_45	0.17955586
ASV_37	0.4064856
ASV_39	0.08483351
ASV_59	0.52573315
ASV_109	0.05200309
ASV_58	0.007250896
ASV_40	0.015101621
ASV_48	0.38423628
ASV_64	0.6309168
ASV_55	0.58788588
ASV_74	0.7185454
ASV_89	0.007332249
ASV_73	0.04032927
ASV_1365	0.239847
ASV_57	0.23642243
ASV_82	0.1574781
ASV_47	0.023923402
ASV_54	0.3706562
ASV_75	0.227956
ASV_49	0.3774903
ASV_76	0.06660077
ASV_507	0.33859865
ASV_61	0.05210571
ASV_465	0.61182656
ASV_63	0.017644158
ASV_1412	0.2765278
ASV_67	1.445219793
ASV_62	0.16365797
ASV_81	0.43879565
ASV_91	0.196342779
ASV_80	1.17434714
ASV_60	0.005396324
ASV_94	0.08158838
ASV_71	0.05436317
ASV_392	0.010452678
ASV_88	0.2382658
ASV_68	0.4944522
ASV_98	0.03793008
ASV_72	0.23730108
ASV_83	0.2339373
ASV_300	0.34352526
ASV_157	0.07676142
ASV_102	0.32122163
ASV_125	0.06281571
ASV_87	0.17819153
ASV_206	0.155310911
ASV_117	0.0519201
ASV_77	0.0029212089
ASV_720	0.024760929
ASV_122	0.08609899
ASV_95	0.2091294
ASV_78	0.1711663
ASV_130	0.26288894
ASV_85	0.13480513
ASV_142	0.379230427
ASV_1658	0.2382248
ASV_118	0.166205024
ASV_93	0.21695381
ASV_1450	0.28225156
ASV_126	0.03872658
ASV_101	0.41434479
ASV_333	0.29935546
ASV_100	0.40562635
ASV_96	0.372833283
ASV_90	0.22601392
ASV_84	0.14014702
ASV_103	0.43826044
ASV_107	0.231754434
ASV_99	0.32881474
ASV_104	0.15758442
ASV_119	0.101881814
ASV_106	0.35782928
ASV_112	0.002892548
ASV_86	0.13808447
